fold,period,target_exit_config,feature_set,model_type,probability_variant,train_end,validation_start,validation_end,test_start,test_end,threshold,selected_for_test,strategy_return,buy_and_hold_return,excess_return,max_drawdown,sharpe,profit_factor,win_rate,beats_buy_and_hold,total_signals,executable_signals,symbols_with_signals,closed_trades
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,False,-0.016167773397804324,-0.44250347900204695,0.42633570560424267,-0.021302558738383846,-1.1597371114888995,0.22910338390837487,0.10208333333333333,True,102,93,8,26
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.5,False,-0.010817608496512286,-0.44250347900204695,0.43168587050553475,-0.013799339057172722,-1.1797433401033643,0.2049508193781616,0.09722222222222221,True,41,40,6,15
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.55,False,-0.003477621677742514,-0.44250347900204695,0.43902585732430444,-0.005577585967778342,-1.0102802017867925,0.49514914256550274,0.125,True,11,10,4,6
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.6,False,0.0019654533859575166,-0.44250347900204695,0.4444689323880045,-0.0008438303408322079,1.1038439964066542,,1.0,True,3,3,1,1
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.65,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.7,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.15,False,0.0019654533859575166,-0.44250347900204695,0.4444689323880045,-0.0008438303408322079,1.1038439964066542,,1.0,True,2,2,1,1
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.2,False,0.0019654533859575166,-0.44250347900204695,0.4444689323880045,-0.0008438303408322079,1.1038439964066542,,1.0,True,2,2,1,1
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.25,False,0.0019654533859575166,-0.44250347900204695,0.4444689323880045,-0.0008438303408322079,1.1038439964066542,,1.0,True,2,2,1,1
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.3,False,0.0019654533859575166,-0.44250347900204695,0.4444689323880045,-0.0008438303408322079,1.1038439964066542,,1.0,True,2,2,1,1
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.35,False,0.0019654533859575166,-0.44250347900204695,0.4444689323880045,-0.0008438303408322079,1.1038439964066542,,1.0,True,2,2,1,1
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.4,False,0.0019654533859575166,-0.44250347900204695,0.4444689323880045,-0.0008438303408322079,1.1038439964066542,,1.0,True,2,2,1,1
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,False,0.0019654533859575166,-0.44250347900204695,0.4444689323880045,-0.0008438303408322079,1.1038439964066542,,1.0,True,2,2,1,1
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,True,-0.011811555090836364,-0.44250347900204695,0.4306919239112107,-0.02889841520602754,-0.6117400998950475,0.6322409838635634,0.32689594356261026,True,138,130,10,42
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.5,False,-0.010642801102463623,-0.44250347900204695,0.4318606778995834,-0.017133376524378695,-0.9594164999286037,0.14036166126932106,0.1875,True,43,38,9,15
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.55,False,-0.005138573359835529,-0.44250347900204695,0.4373649056422114,-0.0063876061475842015,-0.9825853078047493,0.0,0.2,True,12,11,5,6
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.6,False,-0.0020591297520343504,-0.44250347900204695,0.44044434925001263,-0.002228599201800752,-1.2088952891438223,0.0,0.0,True,3,2,2,2
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.65,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.7,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.15,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.2,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.25,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.3,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.35,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.4,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,False,-0.0138107001372543,-0.44250347900204695,0.4286927788647926,-0.02066841810115889,-1.2262659566968472,0.34367737082326383,0.11875,True,41,37,8,21
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.5,False,-0.00784476926345269,-0.44250347900204695,0.4346587097385942,-0.012009662238555074,-1.2736675100199335,0.29786934508595503,0.08333333333333333,True,17,15,7,10
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.55,False,-0.0035815989302132797,-0.44250347900204695,0.43892188007183364,-0.007695613510360855,-0.7839533572511711,0.4468040176289325,0.125,True,10,8,5,6
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.6,False,-0.0047239696499007545,-0.44250347900204695,0.43777950935214627,-0.00600591243325258,-1.1494946888549558,0.0,0.0,True,5,4,4,4
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.65,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,1,0,1,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.7,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.15,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,1,0,1,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.2,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,1,0,1,0
