status,symbol,signal_date,entry_date,exit_date,lookback_days,amihud_illiq_20d,avg_dollar_volume_20d,rolling_volatility_20d,pnl,return_pct,toxicity_label,amihud_median_threshold,liquidity_bucket
evaluated,CRMD,2024-12-31,2025-01-02,2025-02-04,20,1.200041e-08,2758426.6065,0.0313328778,29862.620437,0.298632238,winner,8.08089e-09,high_illiq
evaluated,CRMD,2025-01-31,2025-02-03,2025-03-05,20,8.08089e-09,4708063.1565,0.0810326873,-1232.395461,-0.0094900446,loser,8.08089e-09,high_illiq
evaluated,CRMD,2025-02-28,2025-03-03,2025-04-01,20,1.106318e-08,2900087.383,0.0335752566,-52688.381603,-0.4096112806,loser,8.08089e-09,high_illiq
evaluated,CRMD,2025-03-31,2025-04-01,2025-05-01,20,1.122484e-08,5124377.033,0.0862190792,45929.727566,0.6048150318,winner,8.08089e-09,high_illiq
evaluated,CRMD,2025-04-30,2025-05-01,2025-06-02,20,1.016963e-08,3675610.906,0.0341468994,46861.703373,0.3845204924,winner,8.08089e-09,high_illiq
evaluated,CRMD,2025-05-30,2025-06-02,2025-07-02,20,4.60403e-09,10312257.1505,0.0581746604,-7703.904097,-0.0456598611,loser,8.08089e-09,low_illiq
evaluated,CRMD,2025-06-30,2025-07-01,2025-07-31,20,5.14763e-09,10208020.959,0.0709575292,-9846.473523,-0.0611471027,loser,8.08089e-09,low_illiq
evaluated,CRMD,2025-07-31,2025-08-01,2025-09-02,20,2.59898e-09,7534182.3675,0.0229399064,39286.661902,0.2598811338,winner,8.08089e-09,low_illiq
evaluated,AEHR,2025-08-29,2025-09-02,2025-10-01,20,8.65218e-09,10986224.36,0.1020410076,66657.140802,0.3499632018,winner,8.08089e-09,high_illiq
evaluated,AEHR,2025-09-30,2025-10-01,2025-10-30,20,3.40261e-09,9990154.8635,0.0422685677,-35910.761711,-0.1396774576,loser,8.08089e-09,low_illiq
evaluated,AEHR,2025-10-31,2025-11-03,2025-12-03,20,5.93648e-09,12184451.1205,0.0758779794,-11852.684787,-0.0535811546,loser,8.08089e-09,low_illiq
