symbol,universe_status,is_delisted,first_date,last_date,row_count,provider
A,active,False,2024-06-03,2026-06-05,504,Norgate Data
AA,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAA,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAAA,active,False,2025-07-16,2026-06-05,225,Norgate Data
AAAC,active,False,2025-12-11,2026-06-05,121,Norgate Data
AAAU,active,False,2024-06-03,2026-06-05,504,Norgate Data
AABB,active,False,2024-06-03,2026-06-05,504,Norgate Data
AABVF,active,False,2024-06-03,2026-06-04,162,Norgate Data
AACAY,active,False,2024-06-03,2026-06-05,497,Norgate Data
AACB,active,False,2025-04-07,2026-06-04,201,Norgate Data
AACBR,active,False,2025-04-07,2026-06-05,151,Norgate Data
AACBU,active,False,2025-02-13,2026-06-04,136,Norgate Data
AACG,active,False,2024-06-03,2026-06-05,504,Norgate Data
AACTF,active,False,2024-06-03,2026-06-05,407,Norgate Data
AADR,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAEQ,active,False,2025-12-10,2026-06-05,122,Norgate Data
AAFRF,active,False,2024-06-07,2026-06-04,294,Norgate Data
AAGAF,active,False,2024-12-19,2026-06-05,349,Norgate Data
AAGC,active,False,2024-06-03,2026-06-05,503,Norgate Data
AAGFF,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAGH,active,False,2024-06-04,2026-06-04,260,Norgate Data
AAGIY,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAGR,active,False,2024-06-03,2026-06-05,468,Norgate Data
AAGRW,active,False,2024-06-03,2026-05-19,104,Norgate Data
AAIGF,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAIRF,active,False,2024-06-03,2026-06-05,495,Norgate Data
AAL,active,False,2024-06-03,2026-06-05,504,Norgate Data
AALG,active,False,2025-07-11,2026-06-05,228,Norgate Data
AAMCF,active,False,2024-06-03,2025-11-11,173,Norgate Data
AAME,active,False,2024-06-03,2026-06-05,502,Norgate Data
AAMI,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAMMF,active,False,2024-06-04,2026-06-05,468,Norgate Data
AAMTF,active,False,2024-06-11,2026-06-01,94,Norgate Data
AAOI,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAON,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAP,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAPB,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAPD,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAPG,active,False,2025-01-24,2026-06-05,337,Norgate Data
AAPI,active,False,2024-06-14,2026-06-05,186,Norgate Data
AAPJ,active,False,2024-06-03,2026-05-11,234,Norgate Data
AAPL,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAPR,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAPT,active,False,2024-06-18,2026-05-29,171,Norgate Data
AAPU,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAPW,active,False,2025-02-19,2026-06-05,326,Norgate Data
AAPX,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAPY,active,False,2024-06-03,2026-06-05,504,Norgate Data
AARD,active,False,2025-02-13,2026-06-05,329,Norgate Data
AASP,active,False,2024-06-06,2026-06-05,341,Norgate Data
AASZF,active,False,2024-06-03,2026-05-28,273,Norgate Data
AAT,active,False,2024-06-03,2026-06-05,504,Norgate Data
AATC,active,False,2024-06-03,2026-06-05,493,Norgate Data
AATV,active,False,2024-06-05,2026-06-04,145,Norgate Data
AAUAF,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAUC,active,False,2024-06-03,2026-06-05,481,Norgate Data
AAUKF,active,False,2024-06-03,2026-06-05,294,Norgate Data
AAUM,active,False,2025-10-01,2026-06-05,171,Norgate Data
AAUS,active,False,2025-07-23,2026-06-05,220,Norgate Data
AAVM,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAVMY,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAVVF,active,False,2024-06-03,2026-06-05,493,Norgate Data
AAWH,active,False,2024-06-03,2026-06-05,504,Norgate Data
AAXJ,active,False,2024-06-03,2026-06-05,504,Norgate Data
AB,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABAT,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABBNY,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABBRF,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABBV,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABCB,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABCFF,active,False,2024-06-04,2026-06-04,343,Norgate Data
ABCL,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABCP,active,False,2024-06-03,2026-06-05,393,Norgate Data
ABCS,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABEO,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABEPF,active,False,2024-06-03,2026-06-05,437,Norgate Data
ABEQ,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABEV,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABFL,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABG,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABI,active,False,2025-06-26,2026-06-05,238,Norgate Data
ABIG,active,False,2025-04-09,2026-06-05,291,Norgate Data
ABIT,active,False,2024-06-03,2026-06-05,499,Norgate Data
ABLD,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABLG,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABLS,active,False,2025-02-19,2026-06-05,326,Norgate Data
ABLV,active,False,2024-06-03,2026-06-05,494,Norgate Data
ABLVW,active,False,2024-06-05,2026-06-04,276,Norgate Data
ABLZF,active,False,2024-06-03,2026-06-05,501,Norgate Data
ABM,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABMBF,active,False,2024-06-03,2026-06-05,328,Norgate Data
ABMRF,active,False,2024-06-13,2026-06-02,96,Norgate Data
ABNAF,active,False,2024-06-06,2026-06-02,251,Norgate Data
ABNB,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABNG,active,False,2025-11-17,2026-06-05,138,Norgate Data
ABNY,active,False,2024-06-25,2026-06-05,489,Norgate Data
ABOS,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABOT,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABPO,active,False,2024-06-06,2026-06-05,462,Norgate Data
ABPWW,active,False,2024-06-12,2026-06-01,256,Norgate Data
ABR,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABR-D,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABR-E,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABR-F,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABSI,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABSSF,active,False,2024-06-05,2026-06-04,321,Norgate Data
ABT,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABTC,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABTS,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABUS,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABVC,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABVEF,active,False,2024-06-03,2026-06-05,503,Norgate Data
ABVG,active,False,2024-06-24,2026-06-05,105,Norgate Data
ABVWF,active,False,2024-06-03,2026-06-02,495,Norgate Data
ABVX,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABX,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABXB,active,False,2024-06-03,2026-06-05,504,Norgate Data
ABXL,active,False,2024-06-03,2026-06-05,498,Norgate Data
ABXXF,active,False,2024-06-03,2026-06-05,504,Norgate Data
ACA,active,False,2024-06-03,2026-06-05,504,Norgate Data
ACAD,active,False,2024-06-03,2026-06-05,504,Norgate Data
ACAN,active,False,2024-06-03,2026-06-02,365,Norgate Data
ACAZF,active,False,2024-06-03,2026-06-05,463,Norgate Data
ACB,active,False,2024-06-03,2026-06-05,504,Norgate Data
ACCL,active,False,2025-10-17,2026-06-05,159,Norgate Data
ACCMF,active,False,2024-06-04,2026-06-01,96,Norgate Data
ACCO,active,False,2024-06-03,2026-06-05,504,Norgate Data
ACCR,active,False,2024-06-03,2026-06-02,290,Norgate Data
ACCS,active,False,2024-06-03,2026-06-05,503,Norgate Data
