symbol,date,open,high,low,close,volume,provider_dataset
AEHR,2022-01-03,24.88,24.88,22.13,23.59,346525,XNAS.ITCH
AEHR,2022-01-04,23.45,24.41,21.22,22.0,463670,XNAS.ITCH
AEHR,2022-01-05,21.65,22.46,19.69,20.39,461797,XNAS.ITCH
AEHR,2022-01-06,20.13,22.01,19.0,21.37,464503,XNAS.ITCH
AEHR,2022-01-07,20.96,21.0,16.055,16.25,1134086,XNAS.ITCH
AEHR,2022-01-10,16.22,16.5,13.26,15.16,833100,XNAS.ITCH
AEHR,2022-01-11,15.24,15.51,14.52,15.3,370991,XNAS.ITCH
AEHR,2022-01-12,15.74,15.75,14.46,14.86,392583,XNAS.ITCH
AEHR,2022-01-13,14.65,15.48,13.54,13.61,408465,XNAS.ITCH
AEHR,2022-01-14,13.67,14.14,13.06,13.7,382140,XNAS.ITCH
AEHR,2022-01-18,13.1,13.51,12.61,12.64,378962,XNAS.ITCH
AEHR,2022-01-19,12.67,13.0,11.53,11.99,533740,XNAS.ITCH
AEHR,2022-01-20,11.86,12.67,11.53,11.53,335680,XNAS.ITCH
AEHR,2022-01-21,11.7,11.84,10.81,11.59,486678,XNAS.ITCH
AEHR,2022-01-24,11.05,12.0,10.2,11.83,589489,XNAS.ITCH
AEHR,2022-01-25,11.81,11.96,11.04,11.26,376316,XNAS.ITCH
AEHR,2022-01-26,11.9,12.9,11.76,11.76,414034,XNAS.ITCH
AEHR,2022-01-27,12.09,12.29,10.85,11.3,395388,XNAS.ITCH
AEHR,2022-01-28,11.05,11.53,10.56,11.33,185251,XNAS.ITCH
AEHR,2022-01-31,11.38,12.86,11.38,12.75,251732,XNAS.ITCH
AEHR,2022-02-01,13.0,13.59,12.39,13.35,210176,XNAS.ITCH
AEHR,2022-02-02,13.53,13.98,12.03,12.3,300922,XNAS.ITCH
AEHR,2022-02-03,12.0,12.55,11.65,12.29,161918,XNAS.ITCH
AEHR,2022-02-04,12.22,12.34,11.37,12.12,159110,XNAS.ITCH
AEHR,2022-02-07,12.13,12.62,11.91,12.29,179088,XNAS.ITCH
AEHR,2022-02-08,12.17,13.5,12.15,13.5,176137,XNAS.ITCH
AEHR,2022-02-09,13.59,14.86,13.52,14.86,293868,XNAS.ITCH
AEHR,2022-02-10,14.69,15.31,13.8,14.29,288714,XNAS.ITCH
AEHR,2022-02-11,14.32,14.67,12.93,13.27,254569,XNAS.ITCH
AEHR,2022-02-14,13.0,13.84,12.87,13.2,167213,XNAS.ITCH
AEHR,2022-02-15,13.83,14.58,13.55,14.48,211233,XNAS.ITCH
AEHR,2022-02-16,14.3,14.58,13.78,14.45,118267,XNAS.ITCH
AEHR,2022-02-17,14.29,14.4,13.585,13.64,107576,XNAS.ITCH
