symbol,timestamp,open,high,low,close,volume,provider_dataset,schema
CRMD,2025-05-05T13:30:00Z,9.35,9.35,9.3,9.3,19934,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:31:00Z,9.28,9.28,9.21,9.21,548,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:32:00Z,9.25,9.26,9.25,9.26,200,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:34:00Z,9.35,9.35,9.35,9.35,100,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:35:00Z,9.32,9.32,9.28,9.28,806,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:37:00Z,9.27,9.27,9.165,9.21,7901,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:39:00Z,9.18,9.18,9.15,9.15,1100,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:42:00Z,9.13,9.13,9.12,9.12,205,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:44:00Z,9.14,9.14,9.135,9.135,100,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:45:00Z,9.12,9.12,9.095,9.095,258,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:46:00Z,9.1,9.11,9.1,9.11,157,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:47:00Z,9.07,9.09,9.07,9.09,916,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:48:00Z,9.12,9.15,9.12,9.15,836,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:49:00Z,9.17,9.17,9.17,9.17,2,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:50:00Z,9.15,9.15,9.08,9.08,224,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:51:00Z,9.06,9.06,9.06,9.06,201,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:55:00Z,9.07,9.07,8.96,8.965,3657,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:56:00Z,8.99,9.0,8.99,9.0,287,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:58:00Z,8.99,8.99,8.98,8.98,205,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T13:59:00Z,8.99,8.99,8.99,8.99,6,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:01:00Z,8.99,9.01,8.99,8.99,389,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:04:00Z,8.985,8.99,8.98,8.98,361,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:05:00Z,8.98,9.03,8.98,9.03,642,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:06:00Z,9.025,9.04,9.025,9.04,132,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:07:00Z,9.04,9.04,9.02,9.025,449,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:08:00Z,9.02,9.04,9.02,9.04,203,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:09:00Z,9.025,9.025,9.01,9.01,148,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:10:00Z,8.99,8.99,8.99,8.99,11,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:11:00Z,8.99,8.99,8.98,8.98,279,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:12:00Z,8.975,8.99,8.975,8.99,182,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:13:00Z,8.98,8.98,8.98,8.98,100,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:14:00Z,8.98,9.0,8.975,8.98,1014,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:15:00Z,8.98,8.99,8.97,8.99,624,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:16:00Z,8.99,9.0,8.99,9.0,104,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:18:00Z,9.01,9.04,9.01,9.025,968,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:19:00Z,9.025,9.025,9.0,9.0,562,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:20:00Z,9.015,9.015,9.01,9.01,28,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:21:00Z,9.02,9.05,9.02,9.05,552,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:22:00Z,9.04,9.04,9.03,9.03,160,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:23:00Z,9.03,9.08,9.03,9.05,2664,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:24:00Z,9.04,9.04,9.02,9.02,334,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:25:00Z,9.03,9.08,9.03,9.07,1569,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:26:00Z,9.09,9.09,9.09,9.09,100,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:27:00Z,9.09,9.09,9.08,9.08,244,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:28:00Z,9.085,9.09,9.085,9.09,406,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:29:00Z,9.085,9.09,9.085,9.09,110,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:30:00Z,9.08,9.08,9.08,9.08,381,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:31:00Z,9.08,9.08,9.06,9.07,2347,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:32:00Z,9.06,9.06,9.05,9.05,229,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:33:00Z,9.03,9.03,9.02,9.02,400,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:35:00Z,9.035,9.04,9.035,9.04,165,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:36:00Z,9.02,9.02,9.02,9.02,1,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:38:00Z,9.035,9.035,8.92,8.96,7422,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:39:00Z,8.945,8.96,8.94,8.95,588,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:40:00Z,8.95,8.95,8.94,8.94,197,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:41:00Z,8.94,8.96,8.94,8.955,451,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:42:00Z,8.97,8.97,8.945,8.945,740,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:43:00Z,8.95,8.95,8.95,8.95,40,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:44:00Z,8.95,8.95,8.95,8.95,40,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:45:00Z,8.94,8.94,8.91,8.91,684,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:47:00Z,8.93,8.975,8.93,8.97,3010,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:48:00Z,8.97,8.98,8.97,8.98,104,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:49:00Z,8.99,8.99,8.97,8.97,2783,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:50:00Z,8.98,8.98,8.98,8.98,10,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:51:00Z,8.98,8.98,8.98,8.98,350,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:52:00Z,8.98,8.98,8.98,8.98,231,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:53:00Z,8.99,9.0,8.99,8.995,361,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:54:00Z,8.98,8.99,8.97,8.97,1523,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:56:00Z,8.96,8.96,8.96,8.96,5,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:58:00Z,8.96,8.96,8.96,8.96,100,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T14:59:00Z,8.96,8.96,8.96,8.96,41,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:01:00Z,8.95,8.95,8.95,8.95,462,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:02:00Z,8.95,8.95,8.95,8.95,82,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:03:00Z,8.94,8.94,8.94,8.94,34,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:04:00Z,8.95,8.95,8.95,8.95,8,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:05:00Z,8.94,8.94,8.93,8.94,846,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:06:00Z,8.94,8.94,8.93,8.94,1012,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:07:00Z,8.94,8.94,8.935,8.935,282,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:08:00Z,8.95,8.96,8.95,8.96,424,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:09:00Z,8.95,8.95,8.95,8.95,266,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:10:00Z,8.93,8.93,8.92,8.93,474,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:11:00Z,8.935,8.935,8.935,8.935,6,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:12:00Z,8.935,8.935,8.935,8.935,6,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:13:00Z,8.925,8.93,8.925,8.93,88,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:14:00Z,8.94,8.94,8.935,8.935,210,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:16:00Z,8.94,8.94,8.94,8.94,38,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:17:00Z,8.94,8.95,8.94,8.95,1013,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:19:00Z,8.945,8.945,8.9,8.93,4939,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:20:00Z,8.92,8.92,8.915,8.915,638,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:21:00Z,8.915,8.915,8.915,8.915,5,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:22:00Z,8.91,8.91,8.91,8.91,157,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:23:00Z,8.91,8.91,8.87,8.88,4862,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:24:00Z,8.89,8.89,8.89,8.89,324,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:25:00Z,8.9,8.905,8.895,8.895,1077,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:26:00Z,8.895,8.9,8.895,8.9,130,XNAS.ITCH,ohlcv-1m
CRMD,2025-05-05T15:27:00Z,8.91,8.93,8.91,8.92,636,XNAS.ITCH,ohlcv-1m
