symbol,timestamp,open,high,low,close,volume,provider_dataset,schema
AEHR,2025-04-04T13:30:00Z,6.62,6.68,6.62,6.68,12010,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:32:00Z,6.68,6.68,6.63,6.66,121,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:33:00Z,6.65,6.66,6.6,6.6,80,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:34:00Z,6.6,6.6,6.57,6.57,273,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:35:00Z,6.57,6.57,6.53,6.53,373,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:36:00Z,6.53,6.53,6.53,6.53,128,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:37:00Z,6.52,6.54,6.52,6.54,2923,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:38:00Z,6.54,6.55,6.54,6.55,500,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:39:00Z,6.54,6.54,6.51,6.51,828,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:40:00Z,6.5,6.5,6.5,6.5,1257,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:41:00Z,6.48,6.48,6.46,6.46,331,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:42:00Z,6.45,6.45,6.45,6.45,30,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:43:00Z,6.43,6.45,6.43,6.45,1086,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:44:00Z,6.46,6.51,6.46,6.48,1444,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:45:00Z,6.49,6.495,6.49,6.495,347,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:46:00Z,6.51,6.53,6.51,6.53,338,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:47:00Z,6.53,6.53,6.52,6.52,400,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:48:00Z,6.58,6.6,6.58,6.6,900,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:49:00Z,6.6,6.6,6.6,6.6,400,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:50:00Z,6.595,6.61,6.58,6.61,759,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:51:00Z,6.63,6.65,6.575,6.575,1186,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:52:00Z,6.56,6.57,6.56,6.57,133,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:53:00Z,6.58,6.605,6.58,6.605,103,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:54:00Z,6.585,6.585,6.58,6.58,121,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:55:00Z,6.56,6.56,6.56,6.56,10,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:56:00Z,6.55,6.58,6.55,6.56,2111,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:57:00Z,6.575,6.6,6.575,6.6,430,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:58:00Z,6.61,6.63,6.605,6.62,329,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T13:59:00Z,6.64,6.64,6.62,6.62,408,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T14:00:00Z,6.64,6.685,6.64,6.67,3747,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T14:01:00Z,6.67,6.67,6.66,6.67,449,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T14:02:00Z,6.68,6.68,6.68,6.68,175,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T14:03:00Z,6.67,6.67,6.65,6.66,552,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T14:04:00Z,6.68,6.68,6.66,6.66,170,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T14:05:00Z,6.67,6.69,6.67,6.69,1190,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T14:06:00Z,6.68,6.68,6.66,6.66,253,XNAS.ITCH,ohlcv-1m
AEHR,2025-04-04T14:07:00Z,6.66,6.66,6.64,6.64,177,XNAS.ITCH,ohlcv-1m
