symbol,timestamp,open,high,low,close,volume,provider_dataset,schema
ARRY,2024-11-05T14:30:00Z,7.31,7.49,7.31,7.48,96093,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:31:00Z,7.49,7.49,7.41,7.44,6802,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:32:00Z,7.44,7.48,7.41,7.43,7519,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:33:00Z,7.42,7.46,7.395,7.46,9721,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:34:00Z,7.49,7.51,7.49,7.51,397,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:35:00Z,7.52,7.56,7.51,7.54,6749,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:36:00Z,7.52,7.52,7.45,7.46,2166,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:37:00Z,7.46,7.48,7.42,7.42,9333,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:38:00Z,7.42,7.5,7.42,7.49,1577,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:39:00Z,7.48,7.48,7.46,7.47,1800,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:40:00Z,7.45,7.49,7.41,7.44,5662,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:41:00Z,7.47,7.49,7.465,7.47,8612,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:42:00Z,7.46,7.46,7.46,7.46,1101,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:43:00Z,7.465,7.49,7.45,7.45,3336,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:44:00Z,7.46,7.465,7.42,7.43,1674,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:45:00Z,7.44,7.44,7.42,7.43,1603,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:46:00Z,7.43,7.43,7.42,7.43,1550,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:47:00Z,7.45,7.53,7.45,7.53,2395,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:48:00Z,7.53,7.53,7.51,7.52,450,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:49:00Z,7.51,7.51,7.5,7.5,927,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:50:00Z,7.505,7.51,7.49,7.51,2089,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:51:00Z,7.5,7.52,7.5,7.51,1464,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:52:00Z,7.52,7.54,7.52,7.53,1046,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:53:00Z,7.53,7.57,7.52,7.57,6131,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:54:00Z,7.56,7.56,7.54,7.54,2208,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:55:00Z,7.54,7.54,7.54,7.54,882,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:56:00Z,7.53,7.53,7.53,7.53,100,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:57:00Z,7.52,7.53,7.52,7.53,577,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:58:00Z,7.51,7.51,7.49,7.495,1439,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T14:59:00Z,7.5,7.51,7.49,7.505,1006,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T15:00:00Z,7.5,7.5,7.47,7.48,3167,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T15:01:00Z,7.5,7.54,7.5,7.53,1304,XNAS.ITCH,ohlcv-1m
ARRY,2024-11-05T15:02:00Z,7.54,7.54,7.53,7.535,1025,XNAS.ITCH,ohlcv-1m
