symbol,timestamp,open,high,low,close,volume,provider_dataset,schema
CABA,2022-06-22T13:30:00Z,0.98,0.98,0.98,0.98,2667,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T13:41:00Z,1.03,1.03,1.03,1.03,3,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T13:45:00Z,1.03,1.03,1.03,1.03,48,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T13:52:00Z,1.02,1.02,1.02,1.02,100,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T14:11:00Z,1.03,1.03,1.03,1.03,77,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T14:12:00Z,1.03,1.03,1.03,1.03,4823,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T14:26:00Z,1.03,1.03,1.03,1.03,14477,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T14:30:00Z,1.04,1.04,1.04,1.04,6,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T14:33:00Z,1.06,1.06,1.06,1.06,1,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T14:37:00Z,1.07,1.07,1.07,1.07,1,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T14:40:00Z,1.06,1.06,1.06,1.06,728,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T15:18:00Z,1.06,1.06,1.06,1.06,1,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T15:24:00Z,1.06,1.06,1.06,1.06,800,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T15:35:00Z,1.06,1.06,1.06,1.06,4,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T15:52:00Z,1.06,1.06,1.06,1.06,5,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T15:58:00Z,1.07,1.07,1.07,1.07,5,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T16:01:00Z,1.06,1.06,1.06,1.06,660,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T16:02:00Z,1.06,1.06,1.06,1.06,6,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T16:03:00Z,1.06,1.06,1.06,1.06,30,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T16:07:00Z,1.06,1.06,1.06,1.06,6,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T16:12:00Z,1.06,1.06,1.06,1.06,30,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T16:18:00Z,1.06,1.06,1.06,1.06,6,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T16:21:00Z,1.06,1.06,1.06,1.06,35,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T16:23:00Z,1.06,1.06,1.06,1.06,5,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T16:28:00Z,1.06,1.06,1.06,1.06,6,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T16:33:00Z,1.06,1.06,1.06,1.06,30,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T16:43:00Z,1.06,1.06,1.06,1.06,35,XNAS.ITCH,ohlcv-1m
CABA,2022-06-22T16:51:00Z,1.06,1.06,1.06,1.06,30,XNAS.ITCH,ohlcv-1m
