symbol,timestamp,open,high,low,close,volume,provider_dataset,schema
CRMD,2024-03-11T13:30:00Z,3.68,3.68,3.66,3.66,1047,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:31:00Z,3.66,3.685,3.66,3.685,47,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:32:00Z,3.69,3.69,3.69,3.69,6,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:33:00Z,3.685,3.69,3.68,3.69,381,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:34:00Z,3.69,3.7,3.69,3.7,423,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:37:00Z,3.71,3.71,3.71,3.71,100,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:40:00Z,3.7,3.7,3.69,3.69,127,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:42:00Z,3.68,3.68,3.67,3.67,400,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:46:00Z,3.68,3.68,3.66,3.66,600,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:47:00Z,3.65,3.65,3.645,3.645,230,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:48:00Z,3.64,3.64,3.64,3.64,332,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:49:00Z,3.635,3.64,3.635,3.64,59,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:50:00Z,3.64,3.67,3.64,3.665,1159,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:51:00Z,3.65,3.65,3.645,3.65,697,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:52:00Z,3.66,3.66,3.66,3.66,200,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:53:00Z,3.66,3.66,3.66,3.66,100,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:54:00Z,3.66,3.66,3.66,3.66,112,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:55:00Z,3.65,3.65,3.65,3.65,200,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:56:00Z,3.64,3.64,3.64,3.64,200,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:57:00Z,3.65,3.655,3.65,3.655,22,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:58:00Z,3.655,3.655,3.655,3.655,4,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T13:59:00Z,3.655,3.655,3.65,3.65,50,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:00:00Z,3.645,3.645,3.64,3.64,110,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:02:00Z,3.65,3.655,3.65,3.655,201,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:05:00Z,3.66,3.665,3.66,3.665,524,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:06:00Z,3.66,3.66,3.66,3.66,189,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:07:00Z,3.66,3.66,3.66,3.66,200,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:09:00Z,3.655,3.655,3.655,3.655,10,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:11:00Z,3.65,3.65,3.65,3.65,64,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:12:00Z,3.64,3.64,3.64,3.64,200,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:18:00Z,3.635,3.635,3.635,3.635,10,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:19:00Z,3.635,3.635,3.635,3.635,100,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:21:00Z,3.635,3.635,3.635,3.635,48,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:22:00Z,3.635,3.635,3.635,3.635,74,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:23:00Z,3.63,3.63,3.61,3.61,1199,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:25:00Z,3.605,3.605,3.605,3.605,100,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:26:00Z,3.61,3.615,3.61,3.615,427,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:27:00Z,3.615,3.615,3.615,3.615,205,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:28:00Z,3.61,3.615,3.61,3.615,108,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:29:00Z,3.615,3.615,3.61,3.615,153,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:30:00Z,3.615,3.615,3.61,3.61,94,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:31:00Z,3.605,3.605,3.59,3.59,400,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:32:00Z,3.59,3.59,3.59,3.59,300,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:33:00Z,3.6,3.605,3.6,3.605,1114,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:34:00Z,3.6,3.6,3.6,3.6,315,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:35:00Z,3.61,3.615,3.605,3.605,834,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:36:00Z,3.6,3.6,3.6,3.6,406,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:37:00Z,3.595,3.595,3.595,3.595,20,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:38:00Z,3.595,3.595,3.595,3.595,45,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:39:00Z,3.59,3.59,3.59,3.59,381,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:40:00Z,3.585,3.59,3.585,3.59,335,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:43:00Z,3.595,3.595,3.59,3.59,187,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:45:00Z,3.585,3.585,3.585,3.585,34,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:46:00Z,3.585,3.585,3.585,3.585,15,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:47:00Z,3.58,3.58,3.575,3.575,400,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:48:00Z,3.58,3.585,3.58,3.585,166,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:50:00Z,3.59,3.595,3.59,3.595,45,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:51:00Z,3.59,3.59,3.59,3.59,85,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:56:00Z,3.585,3.585,3.585,3.585,10,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:57:00Z,3.585,3.585,3.585,3.585,38,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T14:58:00Z,3.585,3.585,3.585,3.585,56,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T15:00:00Z,3.585,3.585,3.585,3.585,5,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T15:01:00Z,3.58,3.58,3.575,3.575,10,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T15:10:00Z,3.565,3.565,3.565,3.565,5,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T15:11:00Z,3.565,3.565,3.565,3.565,15,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T15:13:00Z,3.565,3.565,3.565,3.565,105,XNAS.ITCH,ohlcv-1m
CRMD,2024-03-11T15:16:00Z,3.565,3.565,3.56,3.56,575,XNAS.ITCH,ohlcv-1m
