symbol,timestamp,open,high,low,close,volume,provider_dataset,schema
IOVA,2022-11-17T14:30:00Z,7.18,7.25,7.15,7.15,20398,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:31:00Z,7.1,7.15,7.1,7.15,800,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:32:00Z,7.15,7.16,7.09,7.13,3784,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:33:00Z,7.12,7.12,7.09,7.1,1364,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:34:00Z,7.11,7.18,7.1,7.17,2559,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:35:00Z,7.17,7.2,7.14,7.14,4292,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:36:00Z,7.13,7.135,7.11,7.11,3824,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:37:00Z,7.11,7.11,7.06,7.06,2834,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:38:00Z,7.06,7.12,7.06,7.12,3408,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:39:00Z,7.12,7.14,7.11,7.14,1721,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:40:00Z,7.15,7.15,7.07,7.08,16516,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:41:00Z,7.09,7.11,7.09,7.11,3833,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:42:00Z,7.12,7.13,7.11,7.11,2750,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:43:00Z,7.1,7.1,7.09,7.1,1100,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:44:00Z,7.12,7.16,7.12,7.14,6082,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:45:00Z,7.15,7.15,7.13,7.13,600,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:46:00Z,7.14,7.175,7.14,7.17,2590,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:47:00Z,7.17,7.17,7.12,7.14,2004,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:48:00Z,7.13,7.13,7.11,7.11,396,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:49:00Z,7.11,7.11,7.11,7.11,700,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:50:00Z,7.11,7.11,7.08,7.08,1400,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:51:00Z,7.09,7.09,7.08,7.08,2720,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:52:00Z,7.08,7.08,7.06,7.06,1525,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:53:00Z,7.06,7.065,7.05,7.065,5480,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:54:00Z,7.06,7.06,7.04,7.04,647,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:55:00Z,7.045,7.045,7.025,7.03,1172,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:56:00Z,7.03,7.04,7.02,7.035,6049,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:57:00Z,7.04,7.04,7.03,7.04,1911,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:58:00Z,7.04,7.045,7.03,7.045,2596,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T14:59:00Z,7.045,7.05,7.045,7.05,200,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:00:00Z,7.045,7.045,7.0,7.01,4218,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:01:00Z,7.005,7.04,6.985,7.03,11587,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:02:00Z,7.04,7.055,7.04,7.055,662,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:03:00Z,7.06,7.085,7.06,7.07,1549,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:04:00Z,7.07,7.07,7.06,7.06,1259,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:05:00Z,7.07,7.075,7.06,7.07,2947,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:06:00Z,7.07,7.07,7.07,7.07,400,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:07:00Z,7.07,7.085,7.07,7.085,1870,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:08:00Z,7.085,7.095,7.08,7.08,3301,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:09:00Z,7.07,7.07,7.07,7.07,300,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:10:00Z,7.07,7.07,7.065,7.07,400,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:11:00Z,7.07,7.07,7.06,7.06,1200,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:12:00Z,7.06,7.06,7.06,7.06,2386,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:13:00Z,7.07,7.07,7.07,7.07,1033,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:14:00Z,7.08,7.09,7.08,7.09,2052,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:15:00Z,7.1,7.11,7.1,7.105,2041,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:16:00Z,7.1,7.1,7.08,7.1,4096,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:17:00Z,7.11,7.11,7.1,7.1,879,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:18:00Z,7.1,7.11,7.1,7.11,1706,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:19:00Z,7.12,7.125,7.12,7.12,864,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:20:00Z,7.12,7.13,7.11,7.11,2206,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:21:00Z,7.115,7.13,7.11,7.11,3480,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:22:00Z,7.105,7.12,7.105,7.12,704,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:23:00Z,7.12,7.135,7.12,7.13,6675,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:25:00Z,7.14,7.14,7.14,7.14,300,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:26:00Z,7.145,7.15,7.14,7.15,1670,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:27:00Z,7.16,7.16,7.15,7.15,2057,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:28:00Z,7.15,7.15,7.14,7.15,761,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:30:00Z,7.155,7.155,7.14,7.14,1461,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:31:00Z,7.13,7.13,7.13,7.13,150,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:32:00Z,7.13,7.13,7.13,7.13,1688,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:34:00Z,7.125,7.125,7.1,7.1,2894,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:35:00Z,7.11,7.13,7.11,7.13,829,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:36:00Z,7.135,7.145,7.135,7.145,770,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:37:00Z,7.15,7.15,7.15,7.15,200,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:38:00Z,7.18,7.185,7.18,7.18,1461,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:39:00Z,7.18,7.19,7.175,7.19,657,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:40:00Z,7.2,7.2,7.2,7.2,1090,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:41:00Z,7.195,7.195,7.195,7.195,100,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-17T15:42:00Z,7.2,7.205,7.195,7.2,3823,XNAS.ITCH,ohlcv-1m
