symbol,timestamp,open,high,low,close,volume,provider_dataset,schema
AEHR,2022-12-29T14:30:00Z,20.34,20.34,20.34,20.34,6890,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:31:00Z,20.28,20.3,20.28,20.3,201,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:32:00Z,20.21,20.21,20.0,20.0,656,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:33:00Z,20.15,20.19,20.14,20.14,209,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:34:00Z,20.14,20.14,20.14,20.14,1,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:35:00Z,20.21,20.22,20.16,20.16,232,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:37:00Z,20.26,20.3,20.26,20.3,321,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:39:00Z,20.39,20.39,20.36,20.36,1015,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:41:00Z,20.39,20.39,20.35,20.35,210,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:42:00Z,20.32,20.33,20.32,20.33,117,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:43:00Z,20.39,20.5,20.39,20.5,502,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:44:00Z,20.42,20.42,20.23,20.23,1741,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:45:00Z,20.22,20.33,20.22,20.33,419,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:47:00Z,20.3,20.3,20.26,20.26,510,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:48:00Z,20.34,20.34,20.34,20.34,50,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:49:00Z,20.33,20.44,20.33,20.44,592,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:50:00Z,20.4,20.4,20.4,20.4,36,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:51:00Z,20.33,20.34,20.33,20.34,174,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:52:00Z,20.38,20.56,20.38,20.56,1547,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:53:00Z,20.52,20.55,20.52,20.52,296,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:54:00Z,20.59,20.63,20.59,20.63,945,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:55:00Z,20.65,20.68,20.57,20.58,9433,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:56:00Z,20.61,20.61,20.61,20.61,300,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T14:59:00Z,20.56,20.58,20.53,20.53,545,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:00:00Z,20.59,20.59,20.59,20.59,100,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:01:00Z,20.54,20.54,20.44,20.44,527,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:02:00Z,20.4,20.4,20.4,20.4,100,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:03:00Z,20.41,20.41,20.41,20.41,38,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:04:00Z,20.4,20.4,20.36,20.36,315,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:05:00Z,20.39,20.39,20.39,20.39,314,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:06:00Z,20.46,20.5,20.46,20.5,362,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:08:00Z,20.5,20.55,20.5,20.55,1531,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:09:00Z,20.59,20.59,20.59,20.59,5,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:10:00Z,20.53,20.53,20.52,20.52,1274,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:11:00Z,20.57,20.57,20.49,20.52,782,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:12:00Z,20.54,20.55,20.54,20.55,18,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:13:00Z,20.54,20.54,20.54,20.54,88,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:14:00Z,20.55,20.61,20.55,20.6,435,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:15:00Z,20.61,20.62,20.61,20.62,181,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:17:00Z,20.6,20.615,20.6,20.615,182,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:18:00Z,20.64,20.72,20.64,20.67,1179,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:19:00Z,20.66,20.66,20.64,20.64,417,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:20:00Z,20.67,20.71,20.67,20.71,196,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:21:00Z,20.7,20.7,20.65,20.65,600,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:22:00Z,20.61,20.61,20.55,20.55,351,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:23:00Z,20.53,20.53,20.53,20.53,16,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:24:00Z,20.53,20.53,20.5,20.52,1007,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:25:00Z,20.52,20.55,20.52,20.55,107,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:26:00Z,20.55,20.55,20.55,20.55,7,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:27:00Z,20.53,20.56,20.51,20.56,163,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:28:00Z,20.56,20.56,20.56,20.56,10,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:29:00Z,20.53,20.53,20.52,20.52,88,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:30:00Z,20.53,20.58,20.53,20.57,541,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:31:00Z,20.54,20.6,20.53,20.6,712,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:32:00Z,20.63,20.63,20.63,20.63,85,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:33:00Z,20.6,20.65,20.59,20.65,734,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:35:00Z,20.65,20.71,20.65,20.71,405,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:36:00Z,20.71,20.72,20.71,20.72,6,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:37:00Z,20.7,20.7,20.7,20.7,100,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:38:00Z,20.72,20.73,20.72,20.73,331,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:39:00Z,20.725,20.74,20.725,20.74,144,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:40:00Z,20.71,20.71,20.66,20.66,742,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:42:00Z,20.64,20.64,20.63,20.63,195,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:43:00Z,20.65,20.65,20.65,20.65,135,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:44:00Z,20.65,20.65,20.59,20.59,816,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:46:00Z,20.6,20.6,20.6,20.6,1,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:47:00Z,20.56,20.56,20.53,20.53,301,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:49:00Z,20.52,20.52,20.52,20.52,700,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:50:00Z,20.55,20.63,20.55,20.63,427,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:51:00Z,20.65,20.68,20.65,20.65,761,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:54:00Z,20.625,20.625,20.625,20.625,17,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:55:00Z,20.625,20.625,20.58,20.58,262,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:56:00Z,20.605,20.605,20.605,20.605,5,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:57:00Z,20.6,20.6,20.59,20.59,516,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T15:59:00Z,20.61,20.65,20.61,20.63,403,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T16:01:00Z,20.63,20.63,20.59,20.59,2483,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T16:02:00Z,20.58,20.58,20.48,20.48,1000,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T16:03:00Z,20.51,20.52,20.51,20.52,120,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T16:04:00Z,20.515,20.515,20.515,20.515,100,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T16:05:00Z,20.54,20.55,20.53,20.53,1291,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T16:06:00Z,20.52,20.52,20.48,20.5,671,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T16:09:00Z,20.48,20.52,20.48,20.52,5015,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T16:10:00Z,20.54,20.62,20.54,20.615,1015,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T16:11:00Z,20.6,20.6,20.58,20.58,108,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T16:12:00Z,20.54,20.54,20.51,20.51,380,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T16:14:00Z,20.51,20.51,20.51,20.51,15,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T16:15:00Z,20.53,20.55,20.53,20.55,101,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T16:16:00Z,20.56,20.57,20.56,20.57,463,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T16:17:00Z,20.58,20.61,20.58,20.61,137,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T16:20:00Z,20.6,20.6,20.54,20.54,359,XNAS.ITCH,ohlcv-1m
AEHR,2022-12-29T16:21:00Z,20.52,20.52,20.52,20.52,610,XNAS.ITCH,ohlcv-1m
