symbol,timestamp,open,high,low,close,volume,provider_dataset,schema
ARRY,2023-08-02T13:30:00Z,18.33,18.38,18.05,18.32,58530,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:31:00Z,18.31,18.31,18.145,18.2,6452,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:32:00Z,18.2,18.28,18.2,18.22,4404,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:33:00Z,18.21,18.24,18.21,18.23,974,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:34:00Z,18.22,18.35,18.18,18.35,6598,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:35:00Z,18.33,18.33,18.21,18.25,2146,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:36:00Z,18.28,18.29,18.23,18.23,1283,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:37:00Z,18.21,18.265,18.21,18.23,1352,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:38:00Z,18.205,18.21,18.11,18.18,9754,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:39:00Z,18.18,18.32,18.16,18.3,3828,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:40:00Z,18.29,18.3,18.23,18.25,3004,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:41:00Z,18.27,18.29,18.23,18.23,2632,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:42:00Z,18.23,18.23,18.17,18.19,5575,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:43:00Z,18.2,18.23,18.19,18.21,1298,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:44:00Z,18.21,18.245,18.2,18.2,2049,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:45:00Z,18.2,18.2,18.12,18.13,10199,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:46:00Z,18.16,18.23,18.15,18.21,4246,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:47:00Z,18.21,18.26,18.21,18.24,1809,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:48:00Z,18.27,18.3,18.25,18.25,3605,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:49:00Z,18.26,18.33,18.26,18.3,6577,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:50:00Z,18.295,18.31,18.255,18.31,3987,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:51:00Z,18.29,18.29,18.25,18.25,1655,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:52:00Z,18.24,18.25,18.2,18.245,5829,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:53:00Z,18.25,18.27,18.24,18.25,2109,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:54:00Z,18.26,18.275,18.25,18.265,3662,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:55:00Z,18.265,18.3,18.24,18.24,8582,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:56:00Z,18.24,18.25,18.21,18.22,3687,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:57:00Z,18.22,18.22,18.18,18.21,4167,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:58:00Z,18.2,18.21,18.19,18.21,2741,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T13:59:00Z,18.22,18.245,18.22,18.23,3520,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:00:00Z,18.225,18.25,18.22,18.23,2358,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:01:00Z,18.23,18.23,18.2,18.21,2475,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:02:00Z,18.2,18.2,18.175,18.19,2924,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:03:00Z,18.19,18.21,18.19,18.2,6312,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:04:00Z,18.19,18.22,18.17,18.19,2671,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:05:00Z,18.19,18.19,18.15,18.15,4292,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:06:00Z,18.15,18.15,18.12,18.15,4397,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:07:00Z,18.14,18.19,18.14,18.19,2846,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:08:00Z,18.19,18.2,18.14,18.14,5921,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:09:00Z,18.14,18.145,18.12,18.12,4577,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:10:00Z,18.12,18.125,18.08,18.09,4794,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:11:00Z,18.11,18.12,18.09,18.12,2934,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:12:00Z,18.12,18.12,18.05,18.07,3334,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:13:00Z,18.07,18.07,18.02,18.02,3456,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:14:00Z,18.015,18.015,17.99,17.99,6959,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:15:00Z,18.0,18.005,17.995,18.0,2023,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:16:00Z,17.995,18.005,17.99,17.99,5509,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:17:00Z,17.985,18.04,17.985,18.04,4683,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:18:00Z,18.04,18.16,18.035,18.13,4130,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:19:00Z,18.125,18.14,18.1,18.1,2645,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:20:00Z,18.1,18.1,18.035,18.04,4338,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:21:00Z,18.05,18.08,18.05,18.07,2306,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:22:00Z,18.075,18.075,18.02,18.04,3246,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:23:00Z,18.035,18.05,18.03,18.05,4216,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:24:00Z,18.05,18.1,18.05,18.055,4994,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:25:00Z,18.06,18.06,18.0,18.0,3530,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:26:00Z,17.995,18.04,17.995,18.02,1082,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:27:00Z,18.02,18.05,18.0,18.0,2285,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:28:00Z,18.0,18.03,18.0,18.03,973,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:29:00Z,18.03,18.03,18.015,18.015,1203,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:30:00Z,18.015,18.02,17.96,17.98,13687,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:31:00Z,17.985,17.99,17.95,17.97,515,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:32:00Z,17.97,17.97,17.93,17.93,1828,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:33:00Z,17.93,17.94,17.9,17.93,4385,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:34:00Z,17.92,17.92,17.89,17.89,5227,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:35:00Z,17.885,17.925,17.88,17.915,4567,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:36:00Z,17.91,17.91,17.81,17.81,4819,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:37:00Z,17.81,17.81,17.77,17.775,4510,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:38:00Z,17.77,17.78,17.76,17.77,3443,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:39:00Z,17.765,17.83,17.765,17.83,3547,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:40:00Z,17.82,17.83,17.81,17.83,4415,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:41:00Z,17.825,17.845,17.8,17.81,10050,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:42:00Z,17.815,17.815,17.75,17.75,23748,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:43:00Z,17.745,17.745,17.705,17.705,4022,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:44:00Z,17.7,17.705,17.69,17.7,3870,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:45:00Z,17.7,17.7,17.68,17.69,4189,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:46:00Z,17.68,17.73,17.67,17.715,1751,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:47:00Z,17.73,17.8,17.73,17.8,8201,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:48:00Z,17.8,17.835,17.79,17.83,7476,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:49:00Z,17.83,17.875,17.83,17.875,3368,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:50:00Z,17.875,17.92,17.86,17.9,4462,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:51:00Z,17.9,17.9,17.82,17.83,8927,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:52:00Z,17.83,17.83,17.745,17.8,4782,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:53:00Z,17.79,17.79,17.755,17.755,921,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:54:00Z,17.755,17.775,17.75,17.77,6718,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:55:00Z,17.76,17.765,17.745,17.765,3883,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:56:00Z,17.76,17.765,17.75,17.755,3341,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:57:00Z,17.75,17.8,17.75,17.8,4860,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:58:00Z,17.79,17.8,17.78,17.79,1562,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T14:59:00Z,17.78,17.785,17.745,17.765,1908,XNAS.ITCH,ohlcv-1m
ARRY,2023-08-02T15:00:00Z,17.775,17.775,17.76,17.76,942,XNAS.ITCH,ohlcv-1m
