symbol,timestamp,open,high,low,close,volume,provider_dataset,schema
IOVA,2022-02-17T14:30:00Z,17.07,17.07,17.0,17.04,7654,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:31:00Z,17.0,17.02,17.0,17.02,632,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:32:00Z,17.01,17.02,17.01,17.02,209,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:33:00Z,16.96,17.0,16.96,17.0,477,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:34:00Z,17.0,17.0,16.98,17.0,1776,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:35:00Z,16.98,16.98,16.98,16.98,400,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:36:00Z,17.02,17.02,17.02,17.02,4,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:37:00Z,17.05,17.09,17.05,17.08,638,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:38:00Z,17.09,17.1,17.04,17.04,788,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:39:00Z,17.03,17.07,17.03,17.07,416,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:41:00Z,17.05,17.06,17.03,17.06,1529,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:42:00Z,17.08,17.12,17.08,17.08,376,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:43:00Z,17.05,17.05,17.04,17.045,207,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:44:00Z,17.04,17.05,17.04,17.05,132,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:45:00Z,17.07,17.07,17.03,17.03,222,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:46:00Z,16.95,16.95,16.88,16.89,457,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:47:00Z,16.89,16.92,16.89,16.92,224,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:48:00Z,16.9,16.9,16.9,16.9,6,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:50:00Z,16.89,16.98,16.89,16.97,2122,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:51:00Z,17.03,17.03,17.01,17.01,120,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:52:00Z,16.98,16.98,16.92,16.94,955,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:53:00Z,16.98,16.98,16.94,16.94,2499,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:55:00Z,16.93,16.96,16.93,16.96,107,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:56:00Z,16.94,16.94,16.94,16.94,200,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:57:00Z,16.89,16.89,16.88,16.88,171,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:58:00Z,16.85,16.86,16.8,16.8,705,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T14:59:00Z,16.78,16.83,16.78,16.83,757,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:00:00Z,16.82,16.82,16.81,16.81,521,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:01:00Z,16.82,16.87,16.82,16.87,254,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:02:00Z,16.87,16.87,16.87,16.87,100,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:03:00Z,16.87,16.92,16.87,16.88,1259,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:04:00Z,16.89,16.89,16.89,16.89,115,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:07:00Z,16.93,16.95,16.92,16.95,618,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:08:00Z,16.96,16.96,16.96,16.96,138,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:09:00Z,16.92,16.94,16.91,16.92,1318,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:10:00Z,16.91,16.91,16.91,16.91,1,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:11:00Z,16.87,16.87,16.83,16.84,926,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:12:00Z,16.83,16.83,16.79,16.79,280,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:13:00Z,16.82,16.84,16.76,16.77,1122,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:14:00Z,16.75,16.8,16.73,16.8,1660,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:15:00Z,16.81,16.85,16.81,16.85,232,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:16:00Z,16.79,16.79,16.79,16.79,500,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:17:00Z,16.75,16.75,16.75,16.75,7,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:18:00Z,16.76,16.76,16.72,16.72,330,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:19:00Z,16.72,16.72,16.68,16.68,206,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:20:00Z,16.68,16.71,16.66,16.71,302,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:21:00Z,16.67,16.7,16.67,16.67,318,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:22:00Z,16.69,16.7,16.69,16.7,98,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:23:00Z,16.67,16.67,16.66,16.67,402,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:24:00Z,16.66,16.66,16.64,16.66,385,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:25:00Z,16.65,16.65,16.63,16.63,232,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:26:00Z,16.66,16.67,16.64,16.64,138,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:27:00Z,16.63,16.65,16.63,16.64,116,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:28:00Z,16.63,16.63,16.6,16.6,187,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:29:00Z,16.58,16.6,16.58,16.6,242,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:30:00Z,16.61,16.65,16.61,16.63,552,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:31:00Z,16.65,16.67,16.65,16.66,1488,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:32:00Z,16.68,16.7,16.67,16.67,441,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:33:00Z,16.67,16.67,16.66,16.66,476,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:34:00Z,16.67,16.68,16.67,16.68,201,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:35:00Z,16.67,16.7,16.67,16.7,233,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:36:00Z,16.73,16.73,16.73,16.73,53,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:37:00Z,16.71,16.71,16.7,16.7,2192,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:38:00Z,16.7,16.7,16.7,16.7,37,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:39:00Z,16.69,16.74,16.69,16.74,150,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:40:00Z,16.71,16.71,16.69,16.7,2559,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:41:00Z,16.72,16.73,16.71,16.73,238,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:42:00Z,16.73,16.73,16.73,16.73,101,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:43:00Z,16.69,16.7,16.68,16.68,870,XNAS.ITCH,ohlcv-1m
IOVA,2022-02-17T15:44:00Z,16.68,16.68,16.67,16.67,853,XNAS.ITCH,ohlcv-1m
