symbol,timestamp,open,high,low,close,volume,provider_dataset,schema
AEHR,2022-09-30T13:30:00Z,13.87,13.87,13.75,13.75,4853,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:32:00Z,13.9,13.9,13.9,13.9,500,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:35:00Z,14.03,14.03,14.03,14.03,100,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:39:00Z,13.83,13.86,13.775,13.86,2816,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:40:00Z,13.9,13.9,13.9,13.9,200,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:41:00Z,13.9,13.94,13.9,13.94,200,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:42:00Z,13.99,14.0,13.99,14.0,112,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:43:00Z,14.05,14.15,14.05,14.15,265,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:44:00Z,14.13,14.18,14.13,14.13,700,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:45:00Z,14.13,14.18,14.13,14.18,267,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:46:00Z,14.15,14.15,14.12,14.12,223,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:50:00Z,14.18,14.18,14.18,14.18,129,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:51:00Z,14.22,14.23,14.22,14.23,715,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:53:00Z,14.29,14.31,14.29,14.31,56,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:55:00Z,14.27,14.36,14.27,14.36,980,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:56:00Z,14.39,14.43,14.38,14.43,1082,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:58:00Z,14.45,14.48,14.4,14.4,1476,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T13:59:00Z,14.4,14.42,14.4,14.41,166,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:00:00Z,14.29,14.29,14.26,14.26,101,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:01:00Z,14.25,14.25,14.25,14.25,10,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:02:00Z,14.25,14.29,14.25,14.26,1711,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:03:00Z,14.34,14.4,14.34,14.4,112,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:04:00Z,14.43,14.43,14.43,14.43,2,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:06:00Z,14.33,14.33,14.33,14.33,701,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:07:00Z,14.38,14.38,14.38,14.38,28,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:08:00Z,14.3,14.32,14.3,14.32,208,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:09:00Z,14.36,14.44,14.36,14.43,156,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:10:00Z,14.425,14.425,14.37,14.38,502,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:11:00Z,14.39,14.46,14.39,14.445,323,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:12:00Z,14.39,14.4,14.35,14.36,702,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:15:00Z,14.38,14.38,14.38,14.38,8,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:16:00Z,14.41,14.41,14.41,14.41,100,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:17:00Z,14.4,14.4,14.38,14.38,600,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:19:00Z,14.39,14.47,14.39,14.45,361,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:20:00Z,14.47,14.47,14.47,14.47,15,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:21:00Z,14.45,14.45,14.45,14.45,4,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:22:00Z,14.43,14.43,14.43,14.43,200,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:23:00Z,14.43,14.43,14.43,14.43,113,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:25:00Z,14.49,14.49,14.49,14.49,255,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:26:00Z,14.49,14.49,14.42,14.42,1061,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:28:00Z,14.4,14.4,14.4,14.4,600,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:29:00Z,14.46,14.47,14.42,14.42,321,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:30:00Z,14.41,14.41,14.41,14.41,200,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:31:00Z,14.43,14.43,14.41,14.41,700,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:32:00Z,14.4,14.42,14.4,14.42,870,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:33:00Z,14.46,14.51,14.46,14.48,744,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:37:00Z,14.51,14.56,14.51,14.56,408,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:38:00Z,14.57,14.59,14.56,14.56,583,XNAS.ITCH,ohlcv-1m
AEHR,2022-09-30T14:39:00Z,14.53,14.55,14.53,14.55,277,XNAS.ITCH,ohlcv-1m
