symbol,timestamp,open,high,low,close,volume,provider_dataset,schema
ARRY,2022-05-04T13:30:00Z,8.33,8.38,8.24,8.38,53909,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:31:00Z,8.37,8.37,8.3,8.32,5020,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:32:00Z,8.34,8.47,8.31,8.35,27460,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:33:00Z,8.36,8.4,8.36,8.39,1339,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:34:00Z,8.4,8.41,8.34,8.34,3372,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:35:00Z,8.3,8.3,8.27,8.29,6724,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:36:00Z,8.29,8.305,8.27,8.29,8252,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:37:00Z,8.3,8.3,8.23,8.23,7515,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:38:00Z,8.21,8.22,8.185,8.21,3833,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:39:00Z,8.22,8.26,8.22,8.23,4602,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:40:00Z,8.24,8.29,8.22,8.25,3925,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:41:00Z,8.23,8.24,8.23,8.23,2882,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:42:00Z,8.23,8.27,8.23,8.26,4967,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:43:00Z,8.26,8.28,8.22,8.23,4408,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:44:00Z,8.22,8.29,8.22,8.28,5212,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:45:00Z,8.26,8.27,8.15,8.15,4601,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:46:00Z,8.145,8.2,8.13,8.2,3384,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:47:00Z,8.21,8.25,8.21,8.22,1550,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:48:00Z,8.22,8.27,8.2,8.27,3964,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:49:00Z,8.27,8.35,8.27,8.35,5915,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:50:00Z,8.36,8.38,8.34,8.37,4643,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:51:00Z,8.38,8.43,8.38,8.42,1341,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:52:00Z,8.415,8.44,8.41,8.42,1264,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:53:00Z,8.41,8.42,8.39,8.39,2146,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:54:00Z,8.38,8.44,8.38,8.44,2267,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:55:00Z,8.44,8.45,8.42,8.42,4579,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:56:00Z,8.42,8.49,8.415,8.48,8804,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:57:00Z,8.48,8.545,8.48,8.52,8666,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:58:00Z,8.52,8.52,8.475,8.51,7258,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T13:59:00Z,8.53,8.58,8.53,8.58,5101,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:00:00Z,8.57,8.57,8.48,8.48,2814,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:01:00Z,8.45,8.49,8.43,8.46,6259,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:02:00Z,8.47,8.53,8.45,8.52,6242,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:03:00Z,8.51,8.51,8.47,8.51,3570,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:04:00Z,8.5,8.5,8.42,8.44,9422,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:05:00Z,8.445,8.45,8.365,8.365,1203,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:06:00Z,8.36,8.4,8.35,8.38,4615,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:07:00Z,8.375,8.39,8.37,8.375,4015,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:08:00Z,8.365,8.38,8.36,8.37,1747,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:09:00Z,8.36,8.36,8.325,8.325,2173,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:10:00Z,8.325,8.395,8.325,8.39,6827,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:11:00Z,8.41,8.42,8.39,8.39,3840,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:12:00Z,8.38,8.385,8.37,8.37,1617,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:13:00Z,8.375,8.41,8.375,8.41,3763,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:14:00Z,8.405,8.41,8.395,8.4,4796,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:15:00Z,8.385,8.415,8.385,8.415,3215,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:16:00Z,8.41,8.42,8.405,8.42,1171,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:17:00Z,8.43,8.44,8.425,8.44,5031,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:18:00Z,8.44,8.44,8.415,8.43,3306,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:19:00Z,8.43,8.465,8.43,8.45,3043,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:20:00Z,8.465,8.52,8.465,8.48,5461,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:21:00Z,8.49,8.52,8.49,8.52,1070,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:22:00Z,8.525,8.555,8.525,8.555,834,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:23:00Z,8.56,8.57,8.53,8.55,9714,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:24:00Z,8.55,8.575,8.54,8.54,7992,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:25:00Z,8.54,8.54,8.53,8.53,831,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:26:00Z,8.53,8.565,8.53,8.565,8462,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:27:00Z,8.57,8.57,8.54,8.55,5416,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:28:00Z,8.56,8.59,8.56,8.59,2011,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:29:00Z,8.595,8.625,8.59,8.59,10527,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:30:00Z,8.595,8.62,8.56,8.62,13424,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:31:00Z,8.62,8.625,8.595,8.62,4919,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:32:00Z,8.62,8.63,8.62,8.63,818,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:33:00Z,8.62,8.635,8.615,8.625,3066,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:34:00Z,8.62,8.62,8.61,8.615,2801,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:35:00Z,8.615,8.63,8.6,8.63,8202,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:36:00Z,8.63,8.635,8.615,8.62,1827,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:37:00Z,8.62,8.62,8.58,8.58,3628,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:38:00Z,8.58,8.59,8.58,8.59,1196,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:39:00Z,8.585,8.59,8.585,8.59,680,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:40:00Z,8.59,8.62,8.585,8.62,1442,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:41:00Z,8.64,8.68,8.625,8.63,11499,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:42:00Z,8.64,8.67,8.64,8.67,1461,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:43:00Z,8.69,8.695,8.655,8.655,7115,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:44:00Z,8.665,8.73,8.66,8.73,4333,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:45:00Z,8.73,8.76,8.73,8.74,4812,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:46:00Z,8.735,8.76,8.735,8.76,576,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:47:00Z,8.76,8.78,8.76,8.78,1976,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:48:00Z,8.79,8.79,8.76,8.77,7072,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:49:00Z,8.77,8.775,8.76,8.775,4276,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:50:00Z,8.77,8.77,8.7,8.7,8030,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:51:00Z,8.695,8.695,8.67,8.67,3123,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:52:00Z,8.66,8.67,8.645,8.66,1916,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:53:00Z,8.66,8.665,8.66,8.665,342,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:54:00Z,8.665,8.665,8.655,8.665,1908,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:55:00Z,8.67,8.685,8.67,8.675,1187,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:56:00Z,8.675,8.675,8.66,8.675,3606,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:57:00Z,8.675,8.675,8.67,8.675,407,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:58:00Z,8.675,8.675,8.655,8.67,4684,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T14:59:00Z,8.67,8.68,8.665,8.665,4024,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:00:00Z,8.66,8.67,8.62,8.67,6078,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:01:00Z,8.675,8.69,8.675,8.685,1459,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:02:00Z,8.68,8.685,8.675,8.675,3861,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:03:00Z,8.67,8.67,8.63,8.63,3149,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:04:00Z,8.62,8.62,8.58,8.58,3291,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:05:00Z,8.575,8.585,8.535,8.555,3982,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:06:00Z,8.565,8.57,8.56,8.56,3238,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:07:00Z,8.56,8.575,8.555,8.575,1144,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:08:00Z,8.58,8.59,8.56,8.575,2274,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:09:00Z,8.57,8.57,8.555,8.56,1662,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:10:00Z,8.555,8.555,8.55,8.55,610,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:11:00Z,8.55,8.565,8.545,8.55,5476,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:12:00Z,8.55,8.55,8.52,8.52,1319,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:13:00Z,8.51,8.51,8.505,8.505,529,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:14:00Z,8.505,8.505,8.48,8.48,3325,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:15:00Z,8.48,8.48,8.475,8.48,1067,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:16:00Z,8.48,8.5,8.475,8.5,2797,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:17:00Z,8.5,8.56,8.5,8.56,6122,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:18:00Z,8.56,8.565,8.545,8.55,4688,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:19:00Z,8.55,8.575,8.55,8.56,3209,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:20:00Z,8.56,8.57,8.56,8.56,2700,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:21:00Z,8.55,8.55,8.535,8.535,3021,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:22:00Z,8.53,8.53,8.52,8.525,1039,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:24:00Z,8.525,8.525,8.525,8.525,400,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:25:00Z,8.53,8.53,8.53,8.53,1200,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:26:00Z,8.535,8.55,8.53,8.55,2718,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:27:00Z,8.55,8.55,8.545,8.545,1889,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:28:00Z,8.55,8.55,8.55,8.55,361,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:29:00Z,8.55,8.55,8.545,8.545,225,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:30:00Z,8.55,8.56,8.55,8.555,2383,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:31:00Z,8.55,8.555,8.55,8.555,1060,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:32:00Z,8.56,8.56,8.54,8.545,2391,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:33:00Z,8.55,8.565,8.55,8.565,1505,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:34:00Z,8.57,8.58,8.57,8.58,2003,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:35:00Z,8.58,8.635,8.58,8.63,1935,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:36:00Z,8.635,8.65,8.63,8.65,689,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:37:00Z,8.66,8.66,8.64,8.64,2144,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:38:00Z,8.635,8.64,8.63,8.63,599,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:39:00Z,8.64,8.665,8.64,8.665,1568,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:40:00Z,8.66,8.68,8.66,8.68,993,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:41:00Z,8.685,8.7,8.67,8.7,4676,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:42:00Z,8.69,8.69,8.66,8.66,1967,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:43:00Z,8.65,8.66,8.645,8.66,2479,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:44:00Z,8.66,8.66,8.66,8.66,237,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:45:00Z,8.66,8.665,8.655,8.66,514,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-04T15:46:00Z,8.65,8.67,8.65,8.67,921,XNAS.ITCH,ohlcv-1m
