symbol,timestamp,open,high,low,close,volume,provider_dataset,schema
CABA,2022-11-03T13:30:00Z,2.0,2.0,2.0,2.0,7886,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T13:33:00Z,1.985,1.985,1.985,1.985,200,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T13:34:00Z,1.985,1.99,1.98,1.98,889,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T13:35:00Z,1.99,1.99,1.95,1.98,1805,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T13:36:00Z,1.99,1.99,1.99,1.99,1091,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T13:38:00Z,1.98,1.98,1.98,1.98,10,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T13:42:00Z,1.98,1.98,1.98,1.98,15,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T13:46:00Z,1.96,1.96,1.96,1.96,100,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T13:47:00Z,1.96,1.96,1.95,1.95,431,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T13:48:00Z,1.95,1.95,1.95,1.95,216,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T13:50:00Z,1.94,1.94,1.94,1.94,400,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T14:04:00Z,1.97,1.97,1.97,1.97,669,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T14:09:00Z,1.97,1.97,1.97,1.97,200,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T14:11:00Z,1.97,1.97,1.97,1.97,100,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T14:13:00Z,1.99,1.99,1.96,1.96,1100,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T14:17:00Z,1.97,1.97,1.97,1.97,1090,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T14:18:00Z,1.97,1.97,1.97,1.97,30,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T14:44:00Z,1.99,1.99,1.99,1.99,200,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T14:50:00Z,1.995,1.995,1.995,1.995,70,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T14:55:00Z,2.0,2.05,2.0,2.04,5123,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T14:56:00Z,2.03,2.05,2.03,2.03,699,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T14:57:00Z,2.06,2.07,2.06,2.07,3451,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T14:58:00Z,2.08,2.09,2.07,2.09,2541,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T14:59:00Z,2.08,2.08,2.06,2.075,1468,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:00:00Z,2.07,2.07,2.07,2.07,806,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:02:00Z,2.065,2.08,2.065,2.08,100,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:06:00Z,2.07,2.07,2.07,2.07,100,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:14:00Z,2.05,2.05,2.0,2.0,7201,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:17:00Z,2.045,2.05,2.045,2.05,100,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:35:00Z,2.05,2.05,2.05,2.05,200,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:38:00Z,2.07,2.08,2.07,2.08,665,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:39:00Z,2.09,2.09,2.09,2.09,3699,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:40:00Z,2.1,2.11,2.1,2.105,8688,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:41:00Z,2.11,2.14,2.11,2.14,700,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:42:00Z,2.14,2.14,2.14,2.14,200,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:44:00Z,2.11,2.12,2.11,2.12,100,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:45:00Z,2.12,2.12,2.12,2.12,200,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:46:00Z,2.12,2.12,2.12,2.12,291,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:48:00Z,2.12,2.12,2.12,2.12,100,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:50:00Z,2.125,2.125,2.12,2.12,174,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:51:00Z,2.11,2.11,2.09,2.09,551,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:52:00Z,2.08,2.1,2.08,2.095,1788,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:53:00Z,2.12,2.12,2.12,2.12,201,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:54:00Z,2.13,2.14,2.13,2.13,107,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:57:00Z,2.14,2.14,2.13,2.13,120,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T15:59:00Z,2.135,2.15,2.135,2.15,206,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:00:00Z,2.15,2.19,2.15,2.18,3346,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:01:00Z,2.19,2.19,2.18,2.19,503,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:02:00Z,2.2,2.24,2.2,2.24,5400,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:03:00Z,2.235,2.235,2.225,2.225,300,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:04:00Z,2.23,2.25,2.23,2.25,4522,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:05:00Z,2.25,2.25,2.23,2.23,370,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:06:00Z,2.225,2.225,2.225,2.225,100,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:07:00Z,2.22,2.23,2.22,2.23,302,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:08:00Z,2.2,2.2,2.2,2.2,610,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:10:00Z,2.2,2.22,2.2,2.22,2997,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:11:00Z,2.22,2.22,2.22,2.22,300,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:12:00Z,2.22,2.23,2.22,2.23,398,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:13:00Z,2.24,2.27,2.24,2.26,2892,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:14:00Z,2.26,2.26,2.25,2.25,769,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:15:00Z,2.235,2.25,2.235,2.25,200,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:16:00Z,2.24,2.24,2.21,2.21,995,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:17:00Z,2.22,2.22,2.22,2.22,1,XNAS.ITCH,ohlcv-1m
CABA,2022-11-03T16:22:00Z,2.21,2.21,2.2,2.2,311,XNAS.ITCH,ohlcv-1m
