symbol,timestamp,open,high,low,close,volume,provider_dataset,schema
CRMD,2022-03-23T13:30:00Z,5.1,5.13,5.1,5.13,1252,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:31:00Z,5.1,5.1,5.1,5.1,718,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:32:00Z,5.07,5.07,5.07,5.07,100,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:33:00Z,5.09,5.13,5.09,5.13,104,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:34:00Z,5.15,5.15,5.15,5.15,5,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:35:00Z,5.13,5.13,5.12,5.12,40,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:36:00Z,5.15,5.15,5.15,5.15,5,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:37:00Z,5.13,5.13,5.13,5.13,104,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:38:00Z,5.13,5.13,5.12,5.12,436,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:39:00Z,5.11,5.11,5.09,5.1,1560,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:41:00Z,5.09,5.09,5.06,5.06,245,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:42:00Z,5.1,5.1,5.1,5.1,4,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:43:00Z,5.07,5.1,5.07,5.1,317,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:46:00Z,5.1,5.11,5.1,5.11,45,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:47:00Z,5.1,5.1,5.1,5.1,300,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:48:00Z,5.12,5.12,5.12,5.12,100,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:49:00Z,5.16,5.16,5.16,5.16,101,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:53:00Z,5.16,5.16,5.16,5.16,1,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T13:57:00Z,5.17,5.17,5.17,5.17,110,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:00:00Z,5.15,5.15,5.15,5.15,579,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:04:00Z,5.14,5.14,5.14,5.14,19,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:06:00Z,5.13,5.13,5.13,5.13,8,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:08:00Z,5.14,5.14,5.14,5.14,107,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:09:00Z,5.15,5.15,5.15,5.15,210,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:10:00Z,5.16,5.18,5.16,5.18,128,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:12:00Z,5.16,5.16,5.16,5.16,40,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:17:00Z,5.19,5.2,5.19,5.2,140,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:18:00Z,5.22,5.22,5.22,5.22,104,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:19:00Z,5.25,5.25,5.25,5.25,417,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:21:00Z,5.27,5.27,5.25,5.25,65,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:24:00Z,5.28,5.29,5.28,5.29,390,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:25:00Z,5.285,5.285,5.285,5.285,100,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:26:00Z,5.29,5.29,5.29,5.29,104,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:27:00Z,5.3,5.32,5.3,5.31,1125,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:29:00Z,5.31,5.31,5.31,5.31,104,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:35:00Z,5.29,5.29,5.29,5.29,500,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:36:00Z,5.26,5.26,5.26,5.26,771,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:38:00Z,5.26,5.26,5.26,5.26,103,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:39:00Z,5.27,5.33,5.27,5.33,2843,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:40:00Z,5.34,5.37,5.34,5.37,1107,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:41:00Z,5.35,5.35,5.34,5.34,200,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:42:00Z,5.32,5.32,5.32,5.32,4,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:44:00Z,5.32,5.32,5.32,5.32,99,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:46:00Z,5.32,5.32,5.32,5.32,402,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:47:00Z,5.33,5.35,5.33,5.35,109,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:50:00Z,5.31,5.31,5.31,5.31,250,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:56:00Z,5.31,5.32,5.31,5.32,410,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T14:59:00Z,5.32,5.32,5.32,5.32,32,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:00:00Z,5.32,5.32,5.32,5.32,250,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:01:00Z,5.34,5.37,5.34,5.37,299,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:04:00Z,5.35,5.35,5.33,5.33,1467,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:06:00Z,5.35,5.35,5.34,5.34,910,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:10:00Z,5.32,5.32,5.32,5.32,3,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:11:00Z,5.33,5.33,5.33,5.33,103,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:12:00Z,5.33,5.34,5.33,5.34,227,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:14:00Z,5.38,5.46,5.38,5.46,2309,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:15:00Z,5.42,5.42,5.41,5.41,601,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:16:00Z,5.42,5.44,5.42,5.44,29,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:18:00Z,5.38,5.38,5.38,5.38,3,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:21:00Z,5.38,5.41,5.38,5.4,2985,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:22:00Z,5.45,5.45,5.45,5.45,312,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:24:00Z,5.45,5.45,5.42,5.42,300,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:28:00Z,5.4,5.43,5.4,5.41,768,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:36:00Z,5.44,5.44,5.44,5.44,6,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:37:00Z,5.45,5.45,5.45,5.45,30,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:38:00Z,5.46,5.46,5.46,5.46,100,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:40:00Z,5.45,5.45,5.45,5.45,500,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:41:00Z,5.46,5.46,5.44,5.45,1839,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:42:00Z,5.46,5.46,5.46,5.46,3,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:43:00Z,5.46,5.46,5.43,5.44,622,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:45:00Z,5.44,5.44,5.42,5.42,578,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:49:00Z,5.43,5.48,5.43,5.48,135,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:51:00Z,5.45,5.45,5.45,5.45,300,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:52:00Z,5.45,5.45,5.45,5.45,300,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:54:00Z,5.45,5.46,5.45,5.46,1608,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:56:00Z,5.48,5.48,5.48,5.48,112,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T15:59:00Z,5.46,5.46,5.46,5.46,701,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:01:00Z,5.44,5.44,5.43,5.43,821,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:02:00Z,5.44,5.45,5.44,5.45,121,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:03:00Z,5.46,5.46,5.46,5.46,96,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:05:00Z,5.43,5.43,5.42,5.42,1400,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:07:00Z,5.41,5.41,5.41,5.41,2108,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:08:00Z,5.425,5.425,5.41,5.42,2110,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:09:00Z,5.44,5.44,5.4,5.4,980,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:10:00Z,5.405,5.405,5.39,5.39,1682,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:14:00Z,5.4,5.41,5.4,5.41,680,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:16:00Z,5.44,5.44,5.44,5.44,3,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:18:00Z,5.45,5.45,5.45,5.45,7,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:19:00Z,5.46,5.47,5.46,5.47,429,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:24:00Z,5.49,5.51,5.49,5.51,1363,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:29:00Z,5.53,5.56,5.53,5.56,798,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:31:00Z,5.565,5.565,5.565,5.565,3,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:32:00Z,5.55,5.55,5.55,5.55,123,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:33:00Z,5.56,5.56,5.56,5.56,96,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:34:00Z,5.56,5.56,5.56,5.56,110,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:38:00Z,5.57,5.63,5.57,5.61,1654,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:42:00Z,5.6,5.6,5.6,5.6,7,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:45:00Z,5.61,5.61,5.58,5.58,442,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:46:00Z,5.57,5.57,5.57,5.57,200,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:47:00Z,5.56,5.56,5.525,5.525,502,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:48:00Z,5.53,5.54,5.53,5.53,207,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:52:00Z,5.57,5.57,5.57,5.57,300,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:54:00Z,5.57,5.57,5.57,5.57,10,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:55:00Z,5.6,5.65,5.6,5.65,214,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-23T16:57:00Z,5.64,5.64,5.64,5.64,301,XNAS.ITCH,ohlcv-1m
