symbol,timestamp,open,high,low,close,volume,provider_dataset,schema
IOVA,2022-04-29T13:30:00Z,15.59,15.59,15.55,15.55,10892,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:31:00Z,15.69,15.69,15.67,15.67,130,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:32:00Z,15.63,15.75,15.63,15.66,1617,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:33:00Z,15.67,15.76,15.67,15.76,496,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:34:00Z,15.76,15.765,15.76,15.765,150,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:35:00Z,15.71,15.71,15.64,15.64,417,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:36:00Z,15.65,15.76,15.65,15.75,190,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:37:00Z,15.66,15.66,15.63,15.63,2,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:38:00Z,15.62,15.67,15.62,15.67,952,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:39:00Z,15.68,15.69,15.63,15.63,675,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:40:00Z,15.67,15.69,15.67,15.69,146,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:41:00Z,15.67,15.67,15.56,15.56,615,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:42:00Z,15.57,15.6,15.57,15.6,2116,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:43:00Z,15.56,15.56,15.54,15.54,877,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:45:00Z,15.56,15.56,15.52,15.55,1104,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:46:00Z,15.54,15.54,15.53,15.53,216,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:47:00Z,15.54,15.63,15.54,15.61,1667,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:48:00Z,15.72,15.73,15.72,15.73,107,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:49:00Z,15.73,15.73,15.705,15.705,116,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:50:00Z,15.74,15.75,15.74,15.74,1165,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:51:00Z,15.78,15.8,15.76,15.78,1225,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:53:00Z,15.89,15.89,15.87,15.87,115,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:54:00Z,15.87,15.87,15.87,15.87,118,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:55:00Z,15.91,15.91,15.91,15.91,211,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:56:00Z,15.96,15.96,15.95,15.95,212,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:57:00Z,15.98,15.98,15.96,15.98,541,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:58:00Z,15.99,16.05,15.99,16.05,2434,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T13:59:00Z,16.06,16.06,16.02,16.03,1175,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:00:00Z,16.01,16.04,16.0,16.04,377,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:01:00Z,16.05,16.05,16.01,16.01,301,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:02:00Z,16.02,16.04,15.94,15.94,510,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:03:00Z,15.93,16.06,15.93,16.06,2370,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:05:00Z,16.05,16.07,16.05,16.07,449,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:06:00Z,16.08,16.09,16.05,16.06,1192,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:07:00Z,16.03,16.04,15.99,15.99,1180,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:08:00Z,15.98,15.99,15.98,15.99,8,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:09:00Z,16.0,16.0,15.98,15.98,675,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:10:00Z,15.96,15.96,15.95,15.95,174,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:11:00Z,15.96,15.96,15.93,15.94,2114,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:12:00Z,15.95,15.96,15.95,15.96,440,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:13:00Z,15.86,15.86,15.86,15.86,153,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:14:00Z,15.82,15.84,15.81,15.84,2417,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:15:00Z,15.85,15.89,15.84,15.84,1644,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:16:00Z,15.8,15.8,15.77,15.78,447,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:17:00Z,15.78,15.78,15.75,15.75,600,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:18:00Z,15.75,15.75,15.75,15.75,112,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:19:00Z,15.74,15.74,15.71,15.71,1082,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:20:00Z,15.71,15.71,15.69,15.69,181,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:21:00Z,15.69,15.72,15.68,15.72,1813,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:22:00Z,15.77,15.82,15.77,15.8,927,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:23:00Z,15.8,15.8,15.77,15.77,692,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:24:00Z,15.76,15.78,15.75,15.76,282,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:25:00Z,15.76,15.78,15.71,15.72,836,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:26:00Z,15.72,15.73,15.71,15.72,843,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:27:00Z,15.7,15.7,15.68,15.68,505,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:28:00Z,15.71,15.72,15.68,15.72,1005,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:29:00Z,15.77,15.79,15.76,15.78,895,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:30:00Z,15.8,15.82,15.8,15.82,189,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:31:00Z,15.84,15.85,15.83,15.83,726,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:32:00Z,15.82,15.83,15.8,15.8,306,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:33:00Z,15.8,15.805,15.74,15.77,873,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:34:00Z,15.78,15.795,15.78,15.795,1202,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:35:00Z,15.8,15.81,15.8,15.8,1057,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:36:00Z,15.8,15.8,15.76,15.76,626,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:37:00Z,15.75,15.81,15.75,15.79,1324,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:38:00Z,15.81,15.82,15.81,15.82,542,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:39:00Z,15.84,15.85,15.83,15.83,749,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:40:00Z,15.82,15.83,15.81,15.83,745,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:41:00Z,15.81,15.81,15.79,15.79,734,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:42:00Z,15.77,15.77,15.77,15.77,100,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:43:00Z,15.76,15.78,15.76,15.77,486,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:44:00Z,15.76,15.79,15.76,15.78,595,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:45:00Z,15.77,15.77,15.77,15.77,601,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:46:00Z,15.76,15.76,15.73,15.75,505,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:47:00Z,15.74,15.75,15.74,15.74,800,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:48:00Z,15.73,15.73,15.69,15.69,1489,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:49:00Z,15.685,15.685,15.68,15.68,490,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:50:00Z,15.67,15.67,15.67,15.67,237,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:51:00Z,15.66,15.68,15.66,15.66,1934,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:52:00Z,15.69,15.71,15.69,15.71,364,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:54:00Z,15.71,15.72,15.71,15.72,1338,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:55:00Z,15.73,15.74,15.73,15.73,1233,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:57:00Z,15.72,15.74,15.72,15.74,973,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:58:00Z,15.74,15.74,15.74,15.74,201,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T14:59:00Z,15.77,15.77,15.77,15.77,179,XNAS.ITCH,ohlcv-1m
IOVA,2022-04-29T15:00:00Z,15.78,15.78,15.75,15.75,1151,XNAS.ITCH,ohlcv-1m
