symbol,event_date,control_dates,start,end,dataset,schema
IOVA,2022-02-25,2022-02-17|2022-02-18|2022-02-22|2022-02-23|2022-02-24,2022-02-17T14:30:00+00:00,2022-02-25T21:00:00+00:00,XNAS.ITCH,ohlcv-1m
CABA,2022-03-17,2022-03-10|2022-03-11|2022-03-14|2022-03-15|2022-03-16,2022-03-10T14:30:00+00:00,2022-03-17T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
CRMD,2022-03-30,2022-03-23|2022-03-24|2022-03-25|2022-03-28|2022-03-29,2022-03-23T13:30:00+00:00,2022-03-30T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
AEHR,2022-04-01,2022-03-25|2022-03-28|2022-03-29|2022-03-30|2022-03-31,2022-03-25T13:30:00+00:00,2022-04-01T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
ARRY,2022-04-06,2022-03-30|2022-03-31|2022-04-01|2022-04-04|2022-04-05,2022-03-30T13:30:00+00:00,2022-04-06T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
IOVA,2022-05-06,2022-04-29|2022-05-02|2022-05-03|2022-05-04|2022-05-05,2022-04-29T13:30:00+00:00,2022-05-06T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
ARRY,2022-05-11,2022-05-04|2022-05-05|2022-05-06|2022-05-09|2022-05-10,2022-05-04T13:30:00+00:00,2022-05-11T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
CABA,2022-05-12,2022-05-05|2022-05-06|2022-05-09|2022-05-10|2022-05-11,2022-05-05T13:30:00+00:00,2022-05-12T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
CRMD,2022-05-13,2022-05-06|2022-05-09|2022-05-10|2022-05-11|2022-05-12,2022-05-06T13:30:00+00:00,2022-05-13T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
IOVA,2022-08-05,2022-07-29|2022-08-01|2022-08-02|2022-08-03|2022-08-04,2022-07-29T13:30:00+00:00,2022-08-05T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
ARRY,2022-08-10,2022-08-03|2022-08-04|2022-08-05|2022-08-08|2022-08-09,2022-08-03T13:30:00+00:00,2022-08-10T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
CABA,2022-08-11,2022-08-04|2022-08-05|2022-08-08|2022-08-09|2022-08-10,2022-08-04T13:30:00+00:00,2022-08-11T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
CRMD,2022-08-11,2022-08-04|2022-08-05|2022-08-08|2022-08-09|2022-08-10,2022-08-04T13:30:00+00:00,2022-08-11T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
AEHR,2022-10-07,2022-09-30|2022-10-03|2022-10-04|2022-10-05|2022-10-06,2022-09-30T13:30:00+00:00,2022-10-07T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
IOVA,2022-11-04,2022-10-28|2022-10-31|2022-11-01|2022-11-02|2022-11-03,2022-10-28T13:30:00+00:00,2022-11-04T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
ARRY,2022-11-09,2022-11-02|2022-11-03|2022-11-04|2022-11-07|2022-11-08,2022-11-02T13:30:00+00:00,2022-11-09T21:00:00+00:00,XNAS.ITCH,ohlcv-1m
CABA,2022-11-10,2022-11-03|2022-11-04|2022-11-07|2022-11-08|2022-11-09,2022-11-03T13:30:00+00:00,2022-11-10T21:00:00+00:00,XNAS.ITCH,ohlcv-1m
CRMD,2022-11-10,2022-11-03|2022-11-04|2022-11-07|2022-11-08|2022-11-09,2022-11-03T13:30:00+00:00,2022-11-10T21:00:00+00:00,XNAS.ITCH,ohlcv-1m
AEHR,2023-01-06,2022-12-29|2022-12-30|2023-01-03|2023-01-04|2023-01-05,2022-12-29T14:30:00+00:00,2023-01-06T21:00:00+00:00,XNAS.ITCH,ohlcv-1m
IOVA,2023-03-01,2023-02-22|2023-02-23|2023-02-24|2023-02-27|2023-02-28,2023-02-22T14:30:00+00:00,2023-03-01T21:00:00+00:00,XNAS.ITCH,ohlcv-1m
ARRY,2023-03-02,2023-02-23|2023-02-24|2023-02-27|2023-02-28|2023-03-01,2023-02-23T14:30:00+00:00,2023-03-02T21:00:00+00:00,XNAS.ITCH,ohlcv-1m
CABA,2023-03-16,2023-03-09|2023-03-10|2023-03-13|2023-03-14|2023-03-15,2023-03-09T14:30:00+00:00,2023-03-16T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
ARRY,2023-03-22,2023-03-15|2023-03-16|2023-03-17|2023-03-20|2023-03-21,2023-03-15T13:30:00+00:00,2023-03-22T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
CRMD,2023-03-30,2023-03-23|2023-03-24|2023-03-27|2023-03-28|2023-03-29,2023-03-23T13:30:00+00:00,2023-03-30T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
AEHR,2023-03-31,2023-03-24|2023-03-27|2023-03-28|2023-03-29|2023-03-30,2023-03-24T13:30:00+00:00,2023-03-31T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
ARRY,2023-05-10,2023-05-03|2023-05-04|2023-05-05|2023-05-08|2023-05-09,2023-05-03T13:30:00+00:00,2023-05-10T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
IOVA,2023-05-10,2023-05-03|2023-05-04|2023-05-05|2023-05-08|2023-05-09,2023-05-03T13:30:00+00:00,2023-05-10T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
CABA,2023-05-11,2023-05-04|2023-05-05|2023-05-08|2023-05-09|2023-05-10,2023-05-04T13:30:00+00:00,2023-05-11T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
CRMD,2023-05-16,2023-05-09|2023-05-10|2023-05-11|2023-05-12|2023-05-15,2023-05-09T13:30:00+00:00,2023-05-16T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
IOVA,2023-07-11,2023-07-03|2023-07-05|2023-07-06|2023-07-07|2023-07-10,2023-07-03T13:30:00+00:00,2023-07-11T20:00:00+00:00,XNAS.ITCH,ohlcv-1m
