status,symbol,bars_path,time_bar_count,dollar_bar_count,target_dollar_bucket,time_return_std,dollar_return_std,time_abs_skew,dollar_abs_skew,time_pearson_kurtosis,dollar_pearson_kurtosis,time_outlier_rate_3sigma,dollar_outlier_rate_3sigma,stability_score_delta,diagnostic_verdict
evaluated,AEHR,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/AEHR_2023-03-02/bars.csv,751,310,88091.285985,0.009668001,0.0148581018,13.392350703,8.9261992404,280.2441839812,121.6797392147,0.0066666667,0.0097087379,163.000176,DOLLAR_BARS_DISTRIBUTION_IMPROVED_DIAGNOSTIC_ONLY
evaluated,AEHR,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/AEHR_2025-04-07/bars.csv,702,263,7157.066887,0.0055968654,0.0089904074,2.7385119977,1.8167525227,42.4163217384,18.1090014355,0.0156918688,0.0038167939,25.347831,DOLLAR_BARS_DISTRIBUTION_IMPROVED_DIAGNOSTIC_ONLY
evaluated,ARRY,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/ARRY_2024-11-06/bars.csv,742,305,58195.820499,0.0063929714,0.0098799635,15.2032941252,9.9553378424,339.2836926403,143.3236343135,0.008097166,0.0032894737,201.256092,DOLLAR_BARS_DISTRIBUTION_IMPROVED_DIAGNOSTIC_ONLY
evaluated,CABA,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/CABA_2022-04-04/bars.csv,124,34,1793.87629,0.008427858,0.0152668534,1.5636316341,1.2405762343,10.0012917493,5.2679977519,0.0243902439,0.0,5.300252,DOLLAR_BARS_DISTRIBUTION_IMPROVED_DIAGNOSTIC_ONLY
evaluated,CABA,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/CABA_2022-06-21/bars.csv,230,86,473.450848,0.0126809583,0.0152286688,0.7259009575,1.3844611087,7.4895107199,7.4857538049,0.0174672489,0.0352941176,-0.833072,DOLLAR_BARS_NO_STABILITY_IMPROVEMENT
evaluated,CABA,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/CABA_2022-06-23/bars.csv,131,42,896.864962,0.0103119739,0.0158252802,0.868565813,0.8652037486,7.7713087467,3.993091903,0.0076923077,0.0243902439,3.6146,DOLLAR_BARS_DISTRIBUTION_IMPROVED_DIAGNOSTIC_ONLY
evaluated,CABA,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/CABA_2022-07-28/bars.csv,185,67,939.931459,0.0110855463,0.0169839311,0.6052558105,0.6102106576,29.2923993783,14.8286052261,0.0108695652,0.0303030303,14.264505,DOLLAR_BARS_DISTRIBUTION_IMPROVED_DIAGNOSTIC_ONLY
evaluated,CABA,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/CABA_2025-06-11/bars.csv,651,209,4950.773756,0.0088880559,0.0155632988,9.5071993452,5.3977770835,173.3716090819,56.3811624394,0.0107692308,0.0096153846,121.111407,DOLLAR_BARS_DISTRIBUTION_IMPROVED_DIAGNOSTIC_ONLY
evaluated,CABA,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/CABA_2025-09-18/bars.csv,442,146,4184.095362,0.0043135518,0.007751213,1.1868499802,0.8253652087,10.0690453446,4.2082922297,0.0136054422,0.0206896552,6.151396,DOLLAR_BARS_DISTRIBUTION_IMPROVED_DIAGNOSTIC_ONLY
evaluated,CRMD,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/CRMD_2024-03-12/bars.csv,439,142,2102.114784,0.0039107541,0.0067873812,1.2336557168,0.4862427555,15.0155031434,5.4094708004,0.0273972603,0.0212765957,10.414652,DOLLAR_BARS_DISTRIBUTION_IMPROVED_DIAGNOSTIC_ONLY
evaluated,IOVA,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/IOVA_2022-11-18/bars.csv,737,308,24808.289376,0.0069158275,0.0107933022,10.4299704975,6.5239124619,199.6708662507,80.7168441322,0.0135869565,0.016286645,122.833083,DOLLAR_BARS_DISTRIBUTION_IMPROVED_DIAGNOSTIC_ONLY
evaluated,IOVA,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/IOVA_2025-04-07/bars.csv,721,333,21138.666068,0.0052681504,0.0077175689,5.4387431505,3.821413391,91.1104615661,43.2676223991,0.0111111111,0.0090361446,49.480919,DOLLAR_BARS_DISTRIBUTION_IMPROVED_DIAGNOSTIC_ONLY
