symbol,side,signal_date,exit_date,momentum_score,entry_close,exit_close,gross_return,net_return_500bps,active_only_survivorship_bias_declared,promotion_allowed
CRMD,long,2022-04-04,2022-05-04,0.15257732,5.59,3.63,-0.35062612,-0.40062612,True,False
IOVA,long,2022-05-04,2022-06-03,0.03190184,16.82,7.85,-0.5332937,-0.5832937,True,False
ARRY,long,2022-06-03,2022-07-06,0.18020833,11.33,10.9,-0.03795234,-0.08795234,True,False
ARRY,long,2022-07-06,2022-08-04,-0.09166667,10.9,17.4,0.59633028,0.54633028,True,False
ARRY,long,2022-08-04,2022-09-02,0.89130435,17.4,20.16,0.15862069,0.10862069,True,False
ARRY,long,2022-09-02,2022-10-04,0.77934687,20.16,18.47,-0.08382937,-0.13382937,True,False
AEHR,long,2022-10-04,2022-11-02,1.1260745,14.84,17.79,0.19878706,0.14878706,True,False
CABA,long,2022-11-02,2022-12-02,0.58139535,2.04,4.94,1.42156863,1.37156863,True,False
CABA,long,2022-12-02,2023-01-04,3.89108911,4.94,10.55,1.13562753,1.08562753,True,False
CABA,long,2023-01-04,2023-02-03,13.13451233,10.55,12.31,0.16682464,0.11682464,True,False
CABA,long,2023-02-03,2023-03-07,5.03431373,12.31,9.05,-0.26482535,-0.31482535,True,False
CABA,long,2023-03-07,2023-04-05,0.83198381,9.05,7.8,-0.13812155,-0.18812155,True,False
AEHR,long,2023-04-05,2023-05-05,0.53418566,27.6,27.17,-0.01557971,-0.06557971,True,False
CRMD,long,2023-05-05,2023-06-06,0.10290828,4.93,5.14,0.04259635,-0.00740365,True,False
AEHR,long,2023-06-06,2023-07-07,0.36488647,42.68,39.25,-0.08036551,-0.13036551,True,False
CABA,long,2023-07-07,2023-08-07,0.60897436,12.55,11.77,-0.06215139,-0.11215139,True,False
AEHR,long,2023-08-07,2023-09-06,0.77548767,48.24,52.81,0.09473466,0.04473466,True,False
AEHR,long,2023-09-06,2023-10-05,0.2373477,52.81,38.85,-0.26434387,-0.31434387,True,False
CABA,long,2023-10-05,2023-11-03,0.15537849,14.5,16.0,0.10344828,0.05344828,True,False
CABA,long,2023-11-03,2023-12-05,0.35938828,16.0,15.91,-0.005625,-0.055625,True,False
CABA,long,2023-12-05,2024-01-05,0.11884669,15.91,22.64,0.4230044,0.3730044,True,False
IOVA,long,2024-01-05,2024-02-06,1.03846154,8.48,8.27,-0.02476415,-0.07476415,True,False
IOVA,long,2024-02-06,2024-03-07,0.94588235,8.27,16.56,1.00241838,0.95241838,True,False
IOVA,long,2024-03-07,2024-04-08,1.64114833,16.56,12.95,-0.21799517,-0.26799517,True,False
IOVA,long,2024-04-08,2024-05-07,0.52712264,12.95,13.98,0.07953668,0.02953668,True,False
CRMD,long,2024-05-07,2024-06-06,1.00337838,5.93,5.19,-0.12478921,-0.17478921,True,False
CRMD,long,2024-06-06,2024-07-09,0.43370166,5.19,4.3,-0.17148362,-0.22148362,True,False
AEHR,long,2024-07-09,2024-08-07,0.22003425,14.25,13.14,-0.07789474,-0.12789474,True,False
AEHR,long,2024-08-07,2024-09-06,0.1445993,13.14,13.34,0.0152207,-0.0347793,True,False
IOVA,long,2024-09-06,2024-10-07,0.21717791,9.92,9.93,0.00100806,-0.04899194,True,False
CRMD,long,2024-10-07,2024-11-05,1.13255814,9.17,10.1,0.10141767,0.05141767,True,False
CRMD,long,2024-11-05,2024-12-05,1.56345178,10.1,9.7,-0.03960396,-0.08960396,True,False
CRMD,long,2024-12-05,2025-01-07,0.68402778,9.7,10.47,0.07938144,0.02938144,True,False
AEHR,long,2025-01-07,2025-02-07,0.41897233,17.95,10.78,-0.3994429,-0.4494429,True,False
CRMD,long,2025-02-07,2025-03-11,0.00594059,10.16,10.59,0.04232283,-0.00767717,True,False
CRMD,long,2025-03-11,2025-04-09,0.09175258,10.59,7.03,-0.33616619,-0.38616619,True,False
CRMD,long,2025-04-09,2025-05-09,-0.32855778,7.03,11.57,0.6458037,0.5958037,True,False
CRMD,long,2025-05-09,2025-06-10,0.13877953,11.57,14.82,0.28089888,0.23089888,True,False
AEHR,long,2025-06-10,2025-07-11,0.46754808,12.21,14.1,0.15479115,0.10479115,True,False
AEHR,long,2025-07-11,2025-08-11,0.64335664,14.1,17.5,0.24113475,0.19113475,True,False
AEHR,long,2025-08-11,2025-09-10,1.07345972,17.5,26.38,0.50742857,0.45742857,True,False
AEHR,long,2025-09-10,2025-10-09,1.16052416,26.38,25.14,-0.04700531,-0.09700531,True,False
AEHR,long,2025-10-09,2025-11-07,0.78297872,25.14,24.53,-0.02426412,-0.07426412,True,False
CABA,long,2025-11-07,2025-12-09,0.93129771,2.53,2.5,-0.01185771,-0.06185771,True,False
