sleeve,regime_label,trade_count,weighted_net_return_sum,median_net_return,win_rate,best_symbol
Mean Reversion,DRAWDOWN_STRESS,4,-0.1450852379419928,-0.21200948416943216,0.25,APLD
Mean Reversion,INSUFFICIENT_HISTORY,3,-0.0904435698388838,-0.1215384079295493,0.0,AISP
Mean Reversion,RANGE_LOW_VOL,1,-0.0080496838609978,-0.0321987354439913,0.0,GEOS
Mean Reversion,RECOVERY_BOUNCE,6,0.0185224529943828,-0.0101108407612279,0.5,CORT
Mean Reversion,RISK_OFF,1,0.0488714554772428,0.1954858219089712,1.0,DSGR
Mean Reversion,TREND_UP_HIGH_VOL,2,0.053181860781536305,0.10636372156307275,0.5,NGNE
Mean Reversion,TREND_UP_LOW_VOL,2,-0.043709692056241804,-0.0874193841124836,0.5,KULR
Momentum,DRAWDOWN_STRESS,8,-0.17325269779582822,-0.07988034481731295,0.0,THRD-202507
Momentum,INSUFFICIENT_HISTORY,6,-0.10302928225933838,-0.0464298392719972,0.0,APLD
Momentum,RECOVERY_BOUNCE,16,0.28599450677398863,0.00126066792154515,0.625,FCEL
Momentum,RISK_OFF,2,0.2989689641551422,0.5979379283102846,1.0,FSLY
Momentum,TREND_UP_HIGH_VOL,6,0.29288932447439714,-0.0593370449094435,0.3333333333333333,TERN-202605
Momentum,TREND_UP_LOW_VOL,4,0.055355294849175604,0.05535529484917551,0.5,CDTX-202601
