symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,sleeve_weight,weighted_net_return,forced_end_of_history_exit,component_id,component_template,component_weight,regime_label
APPS,Momentum,2024-08-28,2024-08-29,2024-09-27,3.539999961853028,3.140000104904175,0.4663864881185409,-0.1129943110901817,0.01,-0.1229943110901817,0.25,-0.0307485777725454,False,28fb7b03aa56a91e,Momentum,0.25,INSUFFICIENT_HISTORY
APLD,Momentum,2024-09-26,2024-09-27,2024-10-25,8.260000228881836,8.039999961853027,0.8707483640484233,-0.0266344141564981,0.01,-0.0366344141564981,0.25,-0.0091586035391245,False,28fb7b03aa56a91e,Momentum,0.25,INSUFFICIENT_HISTORY
ALTM-202503,Momentum,2024-10-24,2024-10-25,2024-11-22,5.489999771118164,5.289999961853027,0.9503546560993688,-0.0364298392719972,0.01,-0.0464298392719972,0.25,-0.0116074598179993,False,28fb7b03aa56a91e,Momentum,0.25,INSUFFICIENT_HISTORY
SMLR-202601,Momentum,2024-11-21,2024-11-22,2024-12-23,64.86000061035156,61.65999984741211,1.4016630756196848,-0.0493370449094435,0.01,-0.0593370449094435,0.25,-0.0148342612273608,False,28fb7b03aa56a91e,Momentum,0.25,TREND_UP_HIGH_VOL
KULR,Momentum,2024-12-20,2024-12-23,2025-01-24,23.84000015258789,19.68000030517578,6.074340714732596,-0.1744966367779377,0.01,-0.1844966367779377,0.25,-0.0461241591944844,False,28fb7b03aa56a91e,Momentum,0.25,DRAWDOWN_STRESS
ITCI-202504,Momentum,2025-01-23,2025-01-24,2025-02-24,127.1999969482422,128.57000732421875,0.5227082605363818,0.0107705220821194,0.01,0.0007705220821194,0.25,0.0001926305205298,False,28fb7b03aa56a91e,Momentum,0.25,RECOVERY_BOUNCE
APPS,Momentum,2025-02-21,2025-02-24,2025-03-24,4.269999980926514,3.650000095367432,0.8800000084771051,-0.1451990370792819,0.01,-0.1551990370792819,0.25,-0.0387997592698204,False,28fb7b03aa56a91e,Momentum,0.25,DRAWDOWN_STRESS
RDUS-202507,Momentum,2025-03-21,2025-03-24,2025-04-22,28.72378921508789,28.8799991607666,1.2057705539991592,0.0054383474446559,0.01,-0.004561652555344,0.25,-0.001140413138836,False,28fb7b03aa56a91e,Momentum,0.25,DRAWDOWN_STRESS
THRD-202507,Momentum,2025-04-21,2025-04-22,2025-05-20,5.159999847412109,5.199999809265137,0.471428598676409,0.0077519308209066,0.01,-0.0022480691790933,0.25,-0.0005620172947733,False,28fb7b03aa56a91e,Momentum,0.25,DRAWDOWN_STRESS
FL-202509,Momentum,2025-05-19,2025-05-20,2025-06-18,23.799999237060547,23.989999771118164,1.0812227354295012,0.0079832159726187,0.01,-0.0020167840273812,0.25,-0.0005041960068453,False,28fb7b03aa56a91e,Momentum,0.25,RECOVERY_BOUNCE
