date,period_net_return,cumulative_weighted_net_return,drawdown
2025-02-07,-0.014214283897763203,-0.014214283897763203,0.0
2025-02-24,0.00019263052052987057,-0.014021653377233333,0.0
2025-06-04,-0.008484080435136675,-0.022505733812370008,-0.008484080435136675
2025-06-18,-0.0005041960068453122,-0.02300992981921532,-0.008988276441981986
2025-08-29,0.012636364252114098,-0.010373565567101221,0.0
2025-09-15,0.0004377034402427448,-0.009935862126858477,0.0
2025-10-13,-0.0009775256088195273,-0.010913387735678005,-0.0009775256088195277
2025-12-23,-0.007593408992659677,-0.01850679672833768,-0.008570934601479204
2026-01-08,-0.018941369101357294,-0.03744816582969497,-0.027512303702836492
2026-01-23,0.019493149430784465,-0.017955016398910506,-0.008019154272052029
2026-02-06,0.008421679206526702,-0.009533337192383804,0.0
2026-05-05,0.003269850371118934,-0.006263486821264871,0.0
2026-05-19,0.005571240840414094,-0.0006922459808507767,0.0
2026-06-01,0.15109848056559821,0.15040623458474744,0.0
