symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,sleeve_weight,weighted_net_return,forced_end_of_history_exit,regime_label,route_weight
ITCI-202504,Momentum,2025-01-23,2025-01-24,2025-02-24,127.19999694824219,128.57000732421875,0.5227082605363818,0.010770522082119482,0.01,0.0007705220821194823,0.25,0.00019263052052987057,False,RECOVERY_BOUNCE,0.25
WKHS,Mean Reversion,2025-01-23,2025-01-24,2025-02-07,84.0,72.9000015258789,-0.19842717980042934,-0.13214283897763202,0.01,-0.14214283897763202,0.1,-0.014214283897763203,False,RECOVERY_BOUNCE,0.1
FL-202509,Momentum,2025-05-19,2025-05-20,2025-06-18,23.799999237060547,23.989999771118164,1.0812227354295012,0.007983215972618751,0.01,-0.002016784027381249,0.25,-0.0005041960068453122,False,RECOVERY_BOUNCE,0.25
AUR,Mean Reversion,2025-05-19,2025-05-20,2025-06-04,6.28000020980835,5.809999942779541,-0.20807057430617337,-0.07484080435136675,0.01,-0.08484080435136675,0.1,-0.008484080435136675,False,RECOVERY_BOUNCE,0.1
YMAB-202509,Momentum,2025-08-14,2025-08-15,2025-09-15,8.510000228881836,8.609999656677246,0.9699073821122273,0.01175081376097098,0.01,0.0017508137609709793,0.25,0.0004377034402427448,False,RECOVERY_BOUNCE,0.25
ACDC,Mean Reversion,2025-08-14,2025-08-15,2025-08-29,3.5199999809265137,4.0,-0.4264705790688741,0.13636364252114097,0.01,0.12636364252114096,0.1,0.012636364252114098,False,RECOVERY_BOUNCE,0.1
TRML-202510,Momentum,2025-09-12,2025-09-15,2025-10-13,47.619998931884766,47.90999984741211,1.1263957975971666,0.006089897564721891,0.01,-0.003910102435278109,0.25,-0.0009775256088195273,False,RECOVERY_BOUNCE,0.25
OLMA,Momentum,2025-12-08,2025-12-09,2026-01-08,27.3700008392334,25.56999969482422,2.3508979956850524,-0.06576547640542918,0.01,-0.07576547640542917,0.25,-0.018941369101357294,False,RECOVERY_BOUNCE,0.25
BDTX,Mean Reversion,2025-12-08,2025-12-09,2025-12-23,2.7300000190734863,2.549999952316284,-0.27055702548726246,-0.06593408992659677,0.01,-0.07593408992659677,0.1,-0.007593408992659677,False,RECOVERY_BOUNCE,0.1
ISSC,Momentum,2026-01-07,2026-01-08,2026-02-06,18.770000457763672,19.59000015258789,0.7536091156208451,0.04368671682610681,0.01,0.033686716826106806,0.25,0.008421679206526702,False,RECOVERY_BOUNCE,0.25
CORT,Mean Reversion,2026-01-07,2026-01-08,2026-01-23,36.5,43.97999954223633,-0.4728969276891646,0.20493149430784463,0.01,0.19493149430784462,0.1,0.019493149430784465,False,RECOVERY_BOUNCE,0.1
FSLY,Momentum,2026-04-06,2026-04-07,2026-05-05,31.6299991607666,32.36000061035156,0.5660378287666823,0.023079401484475737,0.01,0.013079401484475736,0.25,0.003269850371118934,False,RECOVERY_BOUNCE,0.25
FCEL,Momentum,2026-05-04,2026-05-05,2026-06-01,13.199999809265137,21.309999465942383,0.9520240343082544,0.6143939222623929,0.01,0.6043939222623929,0.25,0.15109848056559821,True,RECOVERY_BOUNCE,0.25
CCOI,Mean Reversion,2026-05-04,2026-05-05,2026-05-19,16.589841842651367,17.68000030517578,-0.3367098882094752,0.06571240840414094,0.01,0.05571240840414094,0.1,0.005571240840414094,False,RECOVERY_BOUNCE,0.1
