symbol,sleeve,regime_label,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit
ITCI-202504,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-01-23,2025-01-24,2025-02-24,127.19999694824219,128.57000732421875,0.5227082605363818,0.010770522082119482,0.01,0.0007705220821194823,0.05,3.8526104105974116e-05,False
NARI-202502,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-01-23,2025-01-24,2025-02-18,79.54000091552734,79.97000122070312,0.433002668912144,0.005406088763217909,0.01,-0.004593911236782091,0.05,-0.00022969556183910457,True
VERV-202507,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-01-23,2025-01-24,2025-02-24,7.989999771118164,7.03000020980835,0.39198607834816945,-0.12015013627158921,0.01,-0.13015013627158922,0.05,-0.006507506813579461,False
ISSC,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-01-23,2025-01-24,2025-02-24,11.300000190734863,7.449999809265137,0.37914114076303784,-0.3407079926092773,0.01,-0.3507079926092773,0.05,-0.017535399630463865,False
CRK,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-01-23,2025-01-24,2025-02-24,21.190000534057617,19.100000381469727,0.3413400583248416,-0.098631434634876,0.01,-0.108631434634876,0.05,-0.005431571731743801,False
FL-202509,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-05-19,2025-05-20,2025-06-18,23.799999237060547,23.989999771118164,1.0812227354295012,0.007983215972618751,0.01,-0.002016784027381249,0.05,-0.00010083920136906246,False
LSEA-202506,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-05-19,2025-05-20,2025-06-18,11.220000267028809,11.300000190734863,0.8920742987900316,0.007130117807674585,0.01,-0.002869882192325415,0.05,-0.00014349410961627076,False
ISSC,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-05-19,2025-05-20,2025-06-18,10.770000457763672,12.350000381469727,0.8277026275982389,0.14670379355156804,0.01,0.13670379355156803,0.05,0.006835189677578402,False
EWCZ-202605,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-05-19,2025-05-20,2025-06-18,5.5,5.534999847412109,0.7444795194684934,0.006363608620383543,0.01,-0.0036363913796164573,0.05,-0.00018181956898082288,False
APLD,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-05-19,2025-05-20,2025-06-18,6.849999904632568,10.609999656677246,0.7265823010965866,0.548905080933189,0.01,0.538905080933189,0.05,0.026945254046659452,False
YMAB-202509,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-08-14,2025-08-15,2025-09-15,8.510000228881836,8.609999656677246,0.9699073821122273,0.01175081376097098,0.01,0.0017508137609709793,0.05,8.754068804854897e-05,False
SCS-202512,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-08-14,2025-08-15,2025-09-15,16.1456356048584,16.771976470947266,0.5712899941775225,0.038793199686755875,0.01,0.028793199686755873,0.05,0.0014396599843377938,False
GEOS,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-08-14,2025-08-15,2025-09-15,15.710000038146973,17.204999923706055,0.4871795104018881,0.0951623094798808,0.01,0.08516230947988081,0.05,0.004258115473994041,False
SPNS-202512,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-08-14,2025-08-15,2025-09-15,42.650001525878906,43.0,0.41949430895000206,0.008206294527532965,0.01,-0.0017937054724670356,0.05,-8.968527362335178e-05,False
VREX,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-08-14,2025-08-15,2025-09-15,10.859999656677246,11.479999542236328,0.37324839031011003,0.05709023067766639,0.01,0.047090230677666385,0.05,0.0023545115338833196,False
TRML-202510,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-09-12,2025-09-15,2025-10-13,47.619998931884766,47.90999984741211,1.1263957975971666,0.006089897564721891,0.01,-0.003910102435278109,0.05,-0.00019550512176390547,False
VMEO-202511,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-09-12,2025-09-15,2025-10-13,7.730000019073486,7.760000228881836,0.934837035523711,0.0038810103149191644,0.01,-0.006118989685080836,0.05,-0.00030594948425404184,False
FCEL,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-09-12,2025-09-15,2025-10-13,6.940000057220459,10.170000076293945,0.6241134407994271,0.4654178663461186,0.01,0.4554178663461186,0.05,0.022770893317305932,False
LTRX,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-09-12,2025-09-15,2025-10-13,4.480000019073486,5.03000020980835,0.49831641966261286,0.12276789919492215,0.01,0.11276789919492215,0.05,0.005638394959746108,False
OLMA,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-09-12,2025-09-15,2025-10-13,7.769999980926514,10.75,0.47718624388315867,0.3835263869226089,0.01,0.37352638692260887,0.05,0.018676319346130444,False
OLMA,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-12-08,2025-12-09,2026-01-08,27.3700008392334,25.56999969482422,2.3508979956850524,-0.06576547640542918,0.01,-0.07576547640542917,0.05,-0.003788273820271459,False
MRSN-202601,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-12-08,2025-12-09,2026-01-05,27.850000381469727,29.079999923706055,2.319857382029011,0.04416515351485306,0.01,0.03416515351485306,0.05,0.0017082576757426532,True
TERN-202605,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-12-08,2025-12-09,2026-01-08,40.0,37.77000045776367,1.178126748123296,-0.05574998855590818,0.01,-0.06574998855590818,0.05,-0.003287499427795409,False
CDTX-202601,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-12-08,2025-12-09,2026-01-06,220.05999755859375,221.3800048828125,1.1081522043388516,0.005998397431897118,0.01,-0.004001602568102882,0.05,-0.00020008012840514412,True
EB-202603,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-12-08,2025-12-09,2026-01-08,4.429999828338623,4.460000038146973,0.684410507822486,0.006772056652562197,0.01,-0.003227943347437803,0.05,-0.00016139716737189016,False
ISSC,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-01-07,2026-01-08,2026-02-06,18.770000457763672,19.59000015258789,0.7536091156208451,0.04368671682610681,0.01,0.033686716826106806,0.05,0.0016843358413053404,False
