symbol,as_of_date,kronos_forecast_return_mean,kronos_forecast_return_median,kronos_forecast_return_std,kronos_probability_up,kronos_forecast_drawdown_proxy,kronos_sample_path_agreement
ADTN,2026-04-06,0.0026598293210664758,0.01786026171241839,0.0446838127912739,0.8,-0.06313847498260816,0.8
ADV,2026-04-06,-0.03601275194213453,-0.03472694784847019,0.057005932573216296,0.2,-0.13072571094701524,0.8
ADV,2026-05-04,0.003743485308521266,0.015986840700725313,0.011933597342420922,0.6,-0.09121062741510266,0.6
APLD,2025-05-19,-0.09304425349361867,-0.08894138447917466,0.047137552509727024,0.0,-0.154564523582009,1.0
AVNS,2026-05-04,0.018374047930604088,0.014247724214402124,0.014445794100799395,1.0,-0.006511205634614159,1.0
CDTX-202601,2025-12-08,0.06717037009097174,0.07652115706921436,0.03289874129714545,1.0,0.05510282954947909,1.0
CRK,2025-01-23,-0.03023834398269689,-0.016810735011470568,0.05337224834600658,0.2,-0.10898987729959331,0.8
DVAX-202602,2026-01-07,-0.02346459671272607,-0.024703383148840796,0.01003720455115092,0.0,-0.02398178401584894,1.0
EB-202603,2025-12-08,0.026702494396624976,0.03266700630103192,0.03357690701957751,0.8,0.05019728465446471,0.8
EWCZ-202605,2025-05-19,-0.13679755659336856,-0.14638408705649297,0.010690097379655244,0.0,-0.238785122439792,1.0
FCEL,2025-09-12,-0.18555252795188928,-0.17466385756131175,0.03349707179861955,0.0,-0.3000474616090555,1.0
FCEL,2026-05-04,0.005172005631219556,0.00033283378966131316,0.036433405873700225,0.6,-0.11533174241125776,0.6
FL-202509,2025-05-19,-0.13310861890269746,-0.1336810476058372,0.06293310393774135,0.0,-0.12148978415904932,1.0
FSLY,2026-04-06,0.04784675222199457,0.04841472361829702,0.02510789091997659,1.0,-0.015414448582744433,1.0
FTAI,2026-01-07,-0.06512381688873066,-0.06683934055693697,0.02359032021472002,0.0,-0.10910828260125827,1.0
GEOS,2025-08-14,0.13006514947596629,0.11259410378363888,0.03872039810439598,1.0,-0.005325960525434326,1.0
ISSC,2025-01-23,-0.047955785485721415,-0.07085503352538614,0.023989790801412697,0.2,-0.11748317536900155,0.8
ISSC,2025-05-19,-0.0667225121439234,-0.04405023554522325,0.023142369384463343,0.0,-0.17220626301386477,1.0
ISSC,2026-01-07,0.021619556793715456,0.015382631213709308,0.028473910525816125,0.8,-0.057498816805228614,0.8
ITCI-202504,2025-01-23,0.02581712184557978,0.022291197184515,0.022273767739130885,1.0,0.02832086254247068,1.0
LSEA-202506,2025-05-19,-0.05662555865806638,-0.06019104255044805,0.04742318599362913,0.0,-0.0472299119177243,1.0
LTRX,2025-09-12,0.007769895736604115,-0.0010954396578087833,0.015146309332989934,0.4,-0.04076797145749089,0.6
MRSN-202601,2025-12-08,-0.025248336176480545,-0.027420527539019468,0.013085918497483312,0.2,-0.021681744535381298,0.8
NARI-202502,2025-01-23,-0.034376769386329165,-0.036187968081746846,0.013795426044622128,0.0,-0.04356368965051405,1.0
OLMA,2025-09-12,-0.0348294135007267,-0.028417530890548326,0.029998821533163536,0.2,-0.08434604974780102,0.8
OLMA,2025-12-08,-0.030588705414702443,-0.03265260936613168,0.036642497110811044,0.2,-0.05436761711891103,0.8
PAYS,2026-04-06,-0.04605352819219115,-0.03904619682097821,0.036551851778455144,0.0,-0.10532261416303001,1.0
RPAY,2026-05-04,-0.003746509552001953,-0.008226156234741211,0.04358939085514962,0.4,-0.04626023769378662,0.6
SCS-202512,2025-08-14,-0.03850591074445466,-0.03416592907201399,0.015399787933372992,0.0,-0.03220284567451359,1.0
SPNS-202512,2025-08-14,-0.1718837399661925,-0.17163465372345577,0.05310230332856368,0.0,-0.22589159500661737,1.0
TERN-202605,2025-12-08,-0.026011323857371104,-0.053345455404026465,0.055536906981321445,0.4,-0.26771541921892483,0.6
TRML-202510,2025-09-12,-0.12439680350647672,-0.13966775517608176,0.05506499784541302,0.0,-0.13788347682449253,1.0
TZOO,2026-05-04,0.019501105932944452,0.01720728784091019,0.013361790803745388,1.0,-0.02799923870662424,1.0
VERV-202507,2025-01-23,-0.06954231509161601,-0.0731015256163613,0.03238896099233177,0.2,-0.18160024406424258,0.8
VMEO-202511,2025-09-12,-0.09122504101757052,-0.1003524209647021,0.015328608126592938,0.0,-0.11412943275586007,1.0
VREX,2025-08-14,-0.03786034049712621,-0.042004754393912935,0.014661347681984732,0.0,-0.08028372077016899,1.0
YMAB-202509,2025-08-14,0.010173452173178266,-0.015469022843581093,0.02618657230374115,0.4,0.014468281196523991,0.6
