symbol,sleeve,regime_label,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,as_of_date,kronos_forecast_return_mean,kronos_forecast_return_median,kronos_forecast_return_std,kronos_probability_up,kronos_forecast_drawdown_proxy,kronos_sample_path_agreement,kronos_keep_trade,overlay_weighted_net_return,throttle_weight_multiplier,throttle_weighted_net_return,binary_overlay_weighted_net_return
ITCI-202504,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-01-23,2025-01-24,2025-02-24,127.1999969482422,128.57000732421875,0.5227082605363818,0.0107705220821194,0.01,0.0007705220821194,0.05,3.852610410597412e-05,False,2025-01-23,0.0258171218455797,0.022291197184515,0.0222737677391308,1.0,0.0283208625424706,1.0,True,3.852610410597412e-05,1.0,3.852610410597412e-05,3.852610410597412e-05
NARI-202502,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-01-23,2025-01-24,2025-02-18,79.54000091552734,79.97000122070312,0.433002668912144,0.0054060887632179,0.01,-0.004593911236782,0.05,-0.0002296955618391,True,2025-01-23,-0.0343767693863291,-0.0361879680817468,0.0137954260446221,0.0,-0.043563689650514,1.0,False,0.0,0.5,-0.00011484778091955,0.0
VERV-202507,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-01-23,2025-01-24,2025-02-24,7.989999771118164,7.03000020980835,0.3919860783481694,-0.1201501362715892,0.01,-0.1301501362715892,0.05,-0.0065075068135794,False,2025-01-23,-0.069542315091616,-0.0731015256163613,0.0323889609923317,0.2,-0.1816002440642425,0.8,False,0.0,0.5,-0.0032537534067897,0.0
ISSC,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-01-23,2025-01-24,2025-02-24,11.300000190734863,7.449999809265137,0.3791411407630378,-0.3407079926092773,0.01,-0.3507079926092773,0.05,-0.0175353996304638,False,2025-01-23,-0.0479557854857214,-0.0708550335253861,0.0239897908014126,0.2,-0.1174831753690015,0.8,False,0.0,0.5,-0.0087676998152319,0.0
CRK,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-01-23,2025-01-24,2025-02-24,21.190000534057617,19.100000381469727,0.3413400583248416,-0.098631434634876,0.01,-0.108631434634876,0.05,-0.0054315717317438,False,2025-01-23,-0.0302383439826968,-0.0168107350114705,0.0533722483460065,0.2,-0.1089898772995933,0.8,False,0.0,0.5,-0.0027157858658719,0.0
FL-202509,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-05-19,2025-05-20,2025-06-18,23.799999237060547,23.989999771118164,1.0812227354295012,0.0079832159726187,0.01,-0.0020167840273812,0.05,-0.000100839201369,False,2025-05-19,-0.1331086189026974,-0.1336810476058372,0.0629331039377413,0.0,-0.1214897841590493,1.0,False,0.0,0.5,-5.04196006845e-05,0.0
LSEA-202506,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-05-19,2025-05-20,2025-06-18,11.220000267028809,11.300000190734863,0.8920742987900316,0.0071301178076745,0.01,-0.0028698821923254,0.05,-0.0001434941096162,False,2025-05-19,-0.0566255586580663,-0.060191042550448,0.0474231859936291,0.0,-0.0472299119177243,1.0,False,0.0,0.5,-7.17470548081e-05,0.0
ISSC,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-05-19,2025-05-20,2025-06-18,10.770000457763672,12.350000381469728,0.8277026275982389,0.146703793551568,0.01,0.136703793551568,0.05,0.0068351896775784,False,2025-05-19,-0.0667225121439234,-0.0440502355452232,0.0231423693844633,0.0,-0.1722062630138647,1.0,False,0.0,0.5,0.0034175948387892,0.0
EWCZ-202605,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-05-19,2025-05-20,2025-06-18,5.5,5.534999847412109,0.7444795194684934,0.0063636086203835,0.01,-0.0036363913796164,0.05,-0.0001818195689808,False,2025-05-19,-0.1367975565933685,-0.1463840870564929,0.0106900973796552,0.0,-0.238785122439792,1.0,False,0.0,0.5,-9.09097844904e-05,0.0
APLD,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-05-19,2025-05-20,2025-06-18,6.849999904632568,10.609999656677246,0.7265823010965866,0.548905080933189,0.01,0.538905080933189,0.05,0.0269452540466594,False,2025-05-19,-0.0930442534936186,-0.0889413844791746,0.047137552509727,0.0,-0.154564523582009,1.0,False,0.0,0.5,0.0134726270233297,0.0
YMAB-202509,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-08-14,2025-08-15,2025-09-15,8.510000228881836,8.609999656677246,0.9699073821122272,0.0117508137609709,0.01,0.0017508137609709,0.05,8.754068804854897e-05,False,2025-08-14,0.0101734521731782,-0.015469022843581,0.0261865723037411,0.4,0.0144682811965239,0.6,False,0.0,0.5,4.3770344024274484e-05,0.0
SCS-202512,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-08-14,2025-08-15,2025-09-15,16.1456356048584,16.771976470947266,0.5712899941775225,0.0387931996867558,0.01,0.0287931996867558,0.05,0.0014396599843377,False,2025-08-14,-0.0385059107444546,-0.0341659290720139,0.0153997879333729,0.0,-0.0322028456745135,1.0,False,0.0,0.5,0.00071982999216885,0.0
GEOS,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-08-14,2025-08-15,2025-09-15,15.710000038146973,17.204999923706055,0.4871795104018881,0.0951623094798808,0.01,0.0851623094798808,0.05,0.004258115473994,False,2025-08-14,0.1300651494759662,0.1125941037836388,0.0387203981043959,1.0,-0.0053259605254343,1.0,True,0.004258115473994,1.0,0.004258115473994,0.004258115473994
SPNS-202512,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-08-14,2025-08-15,2025-09-15,42.650001525878906,43.0,0.419494308950002,0.0082062945275329,0.01,-0.001793705472467,0.05,-8.968527362335178e-05,False,2025-08-14,-0.1718837399661925,-0.1716346537234557,0.0531023033285636,0.0,-0.2258915950066173,1.0,False,0.0,0.5,-4.484263681167589e-05,0.0
VREX,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-08-14,2025-08-15,2025-09-15,10.859999656677246,11.479999542236328,0.37324839031011,0.0570902306776663,0.01,0.0470902306776663,0.05,0.0023545115338833,False,2025-08-14,-0.0378603404971262,-0.0420047543939129,0.0146613476819847,0.0,-0.0802837207701689,1.0,False,0.0,0.5,0.00117725576694165,0.0
TRML-202510,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-09-12,2025-09-15,2025-10-13,47.619998931884766,47.90999984741211,1.1263957975971666,0.0060898975647218,0.01,-0.0039101024352781,0.05,-0.0001955051217639,False,2025-09-12,-0.1243968035064767,-0.1396677551760817,0.055064997845413,0.0,-0.1378834768244925,1.0,False,0.0,0.5,-9.775256088195e-05,0.0
VMEO-202511,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-09-12,2025-09-15,2025-10-13,7.730000019073486,7.760000228881836,0.934837035523711,0.0038810103149191,0.01,-0.0061189896850808,0.05,-0.000305949484254,False,2025-09-12,-0.0912250410175705,-0.1003524209647021,0.0153286081265929,0.0,-0.11412943275586,1.0,False,0.0,0.5,-0.000152974742127,0.0
FCEL,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-09-12,2025-09-15,2025-10-13,6.940000057220459,10.170000076293944,0.6241134407994271,0.4654178663461186,0.01,0.4554178663461186,0.05,0.0227708933173059,False,2025-09-12,-0.1855525279518892,-0.1746638575613117,0.0334970717986195,0.0,-0.3000474616090555,1.0,False,0.0,0.5,0.01138544665865295,0.0
LTRX,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-09-12,2025-09-15,2025-10-13,4.480000019073486,5.03000020980835,0.4983164196626128,0.1227678991949221,0.01,0.1127678991949221,0.05,0.0056383949597461,False,2025-09-12,0.0077698957366041,-0.0010954396578087,0.0151463093329899,0.4,-0.0407679714574908,0.6,False,0.0,0.5,0.00281919747987305,0.0
OLMA,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-09-12,2025-09-15,2025-10-13,7.769999980926514,10.75,0.4771862438831586,0.3835263869226089,0.01,0.3735263869226088,0.05,0.0186763193461304,False,2025-09-12,-0.0348294135007267,-0.0284175308905483,0.0299988215331635,0.2,-0.084346049747801,0.8,False,0.0,0.5,0.0093381596730652,0.0
OLMA,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-12-08,2025-12-09,2026-01-08,27.3700008392334,25.56999969482422,2.3508979956850524,-0.0657654764054291,0.01,-0.0757654764054291,0.05,-0.0037882738202714,False,2025-12-08,-0.0305887054147024,-0.0326526093661316,0.036642497110811,0.2,-0.054367617118911,0.8,False,0.0,0.5,-0.0018941369101357,0.0
MRSN-202601,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-12-08,2025-12-09,2026-01-05,27.850000381469727,29.07999992370605,2.319857382029011,0.044165153514853,0.01,0.034165153514853,0.05,0.0017082576757426,True,2025-12-08,-0.0252483361764805,-0.0274205275390194,0.0130859184974833,0.2,-0.0216817445353812,0.8,False,0.0,0.5,0.0008541288378713,0.0
TERN-202605,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-12-08,2025-12-09,2026-01-08,40.0,37.77000045776367,1.178126748123296,-0.0557499885559081,0.01,-0.0657499885559081,0.05,-0.0032874994277954,False,2025-12-08,-0.0260113238573711,-0.0533454554040264,0.0555369069813214,0.4,-0.2677154192189248,0.6,False,0.0,0.5,-0.0016437497138977,0.0
