sleeve,regime_label,trade_count,gross_return_sum,net_return_sum,weighted_net_return_sum,median_net_return,win_rate,cost_return_sum,best_symbol,worst_symbol
mean_reversion_5d,DRAWDOWN_STRESS,20,1.3808067887257622,0.38080678872576224,0.038080678872576004,0.014639945504815548,0.55,1.0000000000000002,AAOI,ACON
mean_reversion_5d,INSUFFICIENT_HISTORY,10,-0.12879879239611408,-0.628798792396114,-0.06287987923961091,-0.0785500925311563,0.1,0.5,AMPS-202504,ACB
mean_reversion_5d,RANGE_HIGH_VOL,5,-0.9713428749477226,-1.2213428749477229,-0.12213428749477198,-0.2935065081473368,0.0,0.25,AZULQ-202601,AKYA-202507
mean_reversion_5d,RECOVERY_BOUNCE,8,0.33840308271258446,-0.06159691728741551,-0.006159691728741704,0.0061751832804463,0.625,0.4,AVDL-202602,EHAB-202605
mean_reversion_5d,RISK_OFF,10,0.7787762036365178,0.27877620363651784,0.0278776203636517,-0.0405290956199438,0.5,0.5,CFLT-202603,ABAT
mean_reversion_5d,TREND_UP_HIGH_VOL,8,-0.7723160002403222,-1.172316000240322,-0.117231600024032,-0.07387753476591741,0.25,0.4,ABTC,ABVEF
mean_reversion_5d,TREND_UP_LOW_VOL,34,0.921744804039669,-0.7782551959603305,-0.07782551959603251,-0.0307618247701276,0.3235294117647059,1.7000000000000002,ABCL,APLT-202602
momentum_60d,DRAWDOWN_STRESS,7,0.42613214496547247,0.07613214496547249,0.007613214496547595,-0.0448550046772684,0.14285714285714285,0.35,AAOI,ACMR
momentum_60d,INSUFFICIENT_HISTORY,9,0.7204668949902446,0.27046689499024446,0.027046689499024498,-0.0807414104882459,0.4444444444444444,0.45,AAOI,APLT-202602
momentum_60d,RANGE_HIGH_VOL,4,0.2574117253785093,0.05741172537850925,0.005741172537850996,-0.17462082912032345,0.25,0.2,CMRX-202504,AAOI
momentum_60d,RECOVERY_BOUNCE,8,0.6657427364555344,0.2657427364555347,0.026574273645553592,-0.021098706422957,0.375,0.4,CDTX-202601,AAOI
momentum_60d,RISK_OFF,7,-0.5316524759034225,-0.8816524759034224,-0.08816524759034221,-0.1396796170134412,0.2857142857142857,0.35,CMRX-202504,ABAT
momentum_60d,TREND_UP_HIGH_VOL,7,-1.0715210533371304,-1.4215210533371305,-0.14215210533371292,-0.3752558699578567,0.2857142857142857,0.35,AAOI,APLT-202602
momentum_60d,TREND_UP_LOW_VOL,20,0.6133884366215216,-0.38661156337847824,-0.0386611563378477,0.0046597485576898,0.55,1.0000000000000002,ABTC,ACRS
