symbol,trade_count,gross_return_sum,net_return_sum,weighted_net_return_sum,median_net_return,win_rate,cost_return_sum,best_symbol,worst_symbol
AA,1,-0.0540054242075924,-0.1040054242075924,-0.0104005424207592,-0.1040054242075924,0.0,0.05,AA,AA
AAL,1,0.0298245614035088,-0.0201754385964911,-0.0020175438596491,-0.0201754385964911,0.0,0.05,AAL,AAL
AAOI,14,3.0378573431683695,2.337857343168369,0.23378573431683677,0.0458483910961046,0.6428571428571429,0.7000000000000002,AAOI,AAOI
AAPB,2,0.0767509200179573,-0.023249079982042675,-0.002324907998204298,-0.011624539991021338,0.5,0.1,AAPB,AAPB
AAPX,3,0.14304291577019068,-0.006957084229809306,-0.0006957084229809994,0.0357301678841113,0.6666666666666666,0.15000000000000002,AAPX,AAPX
AARD,2,-0.055835199283474996,-0.155835199283475,-0.0155835199283474,-0.0779175996417375,0.0,0.1,AARD,AARD
ABAT,6,-0.7929980171171835,-1.0929980171171838,-0.1092998017117182,-0.2712006079027356,0.3333333333333333,0.3,ABAT,ABAT
ABBRF,3,0.1173004535767932,-0.032699546423206716,-0.003269954642320697,0.1314569536423842,0.6666666666666666,0.15000000000000002,ABBRF,ABBRF
ABCL,3,0.4796232504282656,0.32962325042826557,0.0329623250428265,0.0825581395348838,0.6666666666666666,0.15000000000000002,ABCL,ABCL
ABM,1,0.0468490504757883,-0.0031509495242116,-0.0003150949524211,-0.0031509495242116,0.0,0.05,ABM,ABM
ABOS,1,-0.0366300366300366,-0.0866300366300366,-0.0086630036630036,-0.0866300366300366,0.0,0.05,ABOS,ABOS
ABR,1,0.0182902304212433,-0.0317097695787566,-0.0031709769578756,-0.0317097695787566,0.0,0.05,ABR,ABR
ABSI,4,0.3767551858186531,0.1767551858186532,0.0176755185818653,0.0130916451969083,0.75,0.2,ABSI,ABSI
ABT,1,0.0236446334032702,-0.0263553665967297,-0.0026355366596729,-0.0263553665967297,0.0,0.05,ABT,ABT
ABTC,5,0.5242928268115156,0.2742928268115155,0.027429282681151593,0.0533099297893682,0.6,0.25,ABTC,ABTC
ABUS,1,-0.0746987951807229,-0.1246987951807229,-0.0124698795180722,-0.1246987951807229,0.0,0.05,ABUS,ABUS
ABVC,1,0.3807531380753137,0.3307531380753137,0.0330753138075313,0.3307531380753137,1.0,0.05,ABVC,ABVC
ABVEF,3,-1.2131961784822494,-1.3631961784822493,-0.1363196178482248,-0.4987704918032786,0.0,0.15000000000000002,ABVEF,ABVEF
ABVX,3,0.31474851531673054,0.16474851531673063,0.016474851531673,0.085808383233533,0.6666666666666666,0.15000000000000002,ABVX,ABVX
ABX,2,0.116723532342311,0.016723532342311054,0.0016723532342311012,0.008361766171155527,0.5,0.1,ABX,ABX
ABXXF,4,0.6091552885868381,0.4091552885868379,0.040915528858683596,0.05230841395426735,1.0,0.2,ABXXF,ABXXF
ACAD,1,-0.0568876351669017,-0.1068876351669017,-0.0106887635166901,-0.1068876351669017,0.0,0.05,ACAD,ACAD
ACB,1,-0.1456692913385827,-0.1956692913385827,-0.0195669291338582,-0.1956692913385827,0.0,0.05,ACB,ACB
ACCD-202504,3,0.0173790330178346,-0.1326209669821653,-0.0132620966982163,-0.0428263988522239,0.0,0.15000000000000002,ACCD-202504,ACCD-202504
ACDC,3,0.2584375825509585,0.10843758255095848,0.010843758255095905,-0.0926666666666667,0.3333333333333333,0.15000000000000002,ACDC,ACDC
ACET,1,-0.2626557413851161,-0.3126557413851161,-0.0312655741385116,-0.3126557413851161,0.0,0.05,ACET,ACET
ACH,7,-0.0427093440172509,-0.39270934401725094,-0.0392709344017249,-0.0917536534446764,0.2857142857142857,0.35,ACH,ACH
ACHR,5,0.0360544176579636,-0.21394558234203628,-0.021394558234203595,-0.0049180327868853,0.4,0.25,ACHR,ACHR
ACHV,2,0.2104748100482839,0.110474810048284,0.011047481004828401,0.055237405024142,0.5,0.1,ACHV,ACHV
ACLS,1,0.0493072025964298,-0.0006927974035701,-6.927974035701585e-05,-0.0006927974035701,0.0,0.05,ACLS,ACLS
ACLX-202604,2,-0.1668479798234644,-0.2668479798234643,-0.026684797982346298,-0.13342398991173215,0.0,0.1,ACLX-202604,ACLX-202604
ACM,1,-0.0352193046703822,-0.0852193046703822,-0.0085219304670382,-0.0852193046703822,0.0,0.05,ACM,ACM
ACMR,3,-0.6086754472295359,-0.7586754472295358,-0.0758675447229534,-0.3243463433118606,0.0,0.15000000000000002,ACMR,ACMR
ACOG,1,0.0656822810590631,0.0156822810590631,0.0015682281059063,0.0156822810590631,1.0,0.05,ACOG,ACOG
ACON,2,-0.6601732519744907,-0.7601732519744907,-0.076017325197449,-0.38008662598724535,0.0,0.1,ACON,ACON
ACRS,3,-0.5585863701363081,-0.7085863701363081,-0.07085863701363079,-0.3309734513274335,0.3333333333333333,0.15000000000000002,ACRS,ACRS
AD,1,0.0544767414033318,0.0044767414033318,0.0004476741403331,0.0044767414033318,1.0,0.05,AD,AD
ADCT,3,-0.2798403746274301,-0.4298403746274301,-0.0429840374627428,-0.0994699646643109,0.0,0.15000000000000002,ADCT,ADCT
ADEA,1,0.1800725113135999,0.1300725113135999,0.0130072511313599,0.1300725113135999,1.0,0.05,ADEA,ADEA
ADMA,1,-0.0770577933450087,-0.1270577933450087,-0.0127057793345008,-0.1270577933450087,0.0,0.05,ADMA,ADMA
AKYA-202507,1,-0.272,-0.322,-0.0322,-0.322,0.0,0.05,AKYA-202507,AKYA-202507
ALTM-202503,2,-0.0772963453113371,-0.1772963453113371,-0.0177296345311336,-0.08864817265566854,0.0,0.1,ALTM-202503,ALTM-202503
AMPS-202504,1,0.2346570397111913,0.1846570397111913,0.0184657039711191,0.1846570397111913,1.0,0.05,AMPS-202504,AMPS-202504
AMWD-202605,1,-0.0917795844625112,-0.1417795844625112,-0.0141779584462511,-0.1417795844625112,0.0,0.05,AMWD-202605,AMWD-202605
APLT-202602,4,-1.7616682204768304,-1.9616682204768303,-0.196166822047683,-0.609733043478261,0.25,0.2,APLT-202602,APLT-202602
ATXS-202601,1,-0.0217729393468117,-0.0717729393468118,-0.0071772939346811,-0.0717729393468118,0.0,0.05,ATXS-202601,ATXS-202601
AVDL-202602,1,0.2182227221597299,0.1682227221597299,0.0168222722159729,0.1682227221597299,1.0,0.05,AVDL-202602,AVDL-202602
AZN-202601,1,0.0131213004504102,-0.0368786995495897,-0.0036878699549589,-0.0368786995495897,0.0,0.05,AZN-202601,AZN-202601
AZULQ-202601,2,-0.1270446096654274,-0.2270446096654274,-0.0227044609665426,-0.1135223048327137,0.0,0.1,AZULQ-202601,AZULQ-202601
BASE-202509,1,-0.0812274368231047,-0.1312274368231047,-0.0131227436823104,-0.1312274368231047,0.0,0.05,BASE-202509,BASE-202509
BCOV-202502,1,0.0114942528735633,-0.0385057471264366,-0.0038505747126436,-0.0385057471264366,0.0,0.05,BCOV-202502,BCOV-202502
BLUE-202505,1,-0.0786841710526315,-0.1286841710526315,-0.0128684171052631,-0.1286841710526315,0.0,0.05,BLUE-202505,BLUE-202505
BRDG-202508,2,0.0491055380336095,-0.0508944619663905,-0.0050894461966391,-0.02544723098319525,0.5,0.1,BRDG-202508,BRDG-202508
BTFX-202512,3,-0.36365952275774893,-0.513659522757749,-0.051365952275774805,-0.1729966455460305,0.0,0.15000000000000002,BTFX-202512,BTFX-202512
CDTX-202601,7,0.720588333548989,0.3705883335489891,0.03705883335489879,0.0016243165004823,0.5714285714285714,0.35,CDTX-202601,CDTX-202601
CFLT-202603,4,0.639794171059732,0.4397941710597321,0.0439794171059731,0.0468278043113464,0.75,0.2,CFLT-202603,CFLT-202603
CIVI-202601,1,0.2227329143250283,0.1727329143250283,0.0172732914325028,0.1727329143250283,1.0,0.05,CIVI-202601,CIVI-202601
CKPT-202505,1,0.1342857142857143,0.0842857142857143,0.0084285714285714,0.0842857142857143,1.0,0.05,CKPT-202505,CKPT-202505
CMRX-202504,4,1.2295050722275211,1.0295050722275214,0.1029505072227522,0.04066046450250735,0.5,0.2,CMRX-202504,CMRX-202504
CVAC-202601,1,0.1310679611650484,0.0810679611650484,0.0081067961165048,0.0810679611650484,1.0,0.05,CVAC-202601,CVAC-202601
DADA-202506,2,-0.101123595505618,-0.201123595505618,-0.0201123595505617,-0.100561797752809,0.0,0.1,DADA-202506,DADA-202506
DALN-202509,1,0.0060769750168805,-0.0439230249831194,-0.0043923024983119,-0.0439230249831194,0.0,0.05,DALN-202509,DALN-202509
