symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,provider_query_performed,split,regime_label,universe_status,is_delisted
AAOI,momentum_60d,2024-10-10,2024-10-11,2024-11-08,16.66,27.76,0.5207667731629393,0.6662665066026412,0.05,0.6162665066026412,0.1,0.0616266506602641,False,False,is,INSUFFICIENT_HISTORY,active,False
ALTM-202503,momentum_60d,2024-10-10,2024-10-11,2024-11-08,5.53,5.36,0.5027173913043479,-0.0307414104882459,0.05,-0.0807414104882459,0.1,-0.0080741410488245,False,False,is,INSUFFICIENT_HISTORY,delisted,True
APLT-202602,momentum_60d,2024-10-10,2024-10-11,2024-11-08,8.2,10.09,0.4462081128747794,0.2304878048780487,0.05,0.1804878048780487,0.1,0.0180487804878048,False,False,is,INSUFFICIENT_HISTORY,delisted,True
DADA-202506,momentum_60d,2024-10-10,2024-10-11,2024-11-08,1.78,1.7,0.3214285714285716,-0.0449438202247191,0.05,-0.0949438202247191,0.1,-0.0094943820224719,False,False,is,INSUFFICIENT_HISTORY,delisted,True
DADA-202506,mean_reversion_5d,2024-10-10,2024-10-11,2024-10-25,1.78,1.68,-0.1435185185185185,-0.0561797752808989,0.05,-0.1061797752808989,0.1,-0.0106179775280898,False,False,is,INSUFFICIENT_HISTORY,delisted,True
ADMA,mean_reversion_5d,2024-10-10,2024-10-11,2024-10-25,17.13,15.81,-0.1308124680633622,-0.0770577933450087,0.05,-0.1270577933450087,0.1,-0.0127057793345008,False,False,is,INSUFFICIENT_HISTORY,active,False
AMPS-202504,mean_reversion_5d,2024-10-10,2024-10-11,2024-10-25,2.77,3.42,-0.1157556270096462,0.2346570397111913,0.05,0.1846570397111913,0.1,0.0184657039711191,False,False,is,INSUFFICIENT_HISTORY,delisted,True
DVAX-202602,mean_reversion_5d,2024-10-10,2024-10-11,2024-10-25,10.28,10.71,-0.0813226094727435,0.0418287937743191,0.05,-0.0081712062256808,0.1,-0.000817120622568,False,False,is,INSUFFICIENT_HISTORY,delisted,True
ACH,mean_reversion_5d,2024-10-10,2024-10-11,2024-10-25,13.46,13.41,-0.0768175582990396,-0.0037147102526003,0.05,-0.0537147102526004,0.1,-0.00537147102526,False,False,is,INSUFFICIENT_HISTORY,active,False
AAOI,momentum_60d,2024-11-07,2024-11-08,2024-12-09,19.5,36.16,1.1990171990171987,0.8543589743589741,0.05,0.8043589743589741,0.1,0.0804358974358974,False,False,is,INSUFFICIENT_HISTORY,active,False
