symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,provider_query_performed,split
AAOI,momentum_60d,2024-10-10,2024-10-11,2024-11-08,16.66,27.76,0.5207667731629393,0.6662665066026412,0.05,0.6162665066026412,0.1,0.06162665066026412,False,False,is
ALTM-202503,momentum_60d,2024-10-10,2024-10-11,2024-11-08,5.53,5.36,0.5027173913043479,-0.030741410488245968,0.05,-0.08074141048824597,0.1,-0.008074141048824597,False,False,is
APLT-202602,momentum_60d,2024-10-10,2024-10-11,2024-11-08,8.2,10.09,0.44620811287477946,0.23048780487804876,0.05,0.18048780487804877,0.1,0.018048780487804877,False,False,is
DADA-202506,momentum_60d,2024-10-10,2024-10-11,2024-11-08,1.78,1.7,0.3214285714285716,-0.0449438202247191,0.05,-0.0949438202247191,0.1,-0.00949438202247191,False,False,is
DADA-202506,mean_reversion_5d,2024-10-10,2024-10-11,2024-10-25,1.78,1.68,-0.1435185185185185,-0.0561797752808989,0.05,-0.1061797752808989,0.1,-0.010617977528089892,False,False,is
ADMA,mean_reversion_5d,2024-10-10,2024-10-11,2024-10-25,17.13,15.81,-0.13081246806336222,-0.07705779334500873,0.05,-0.12705779334500872,0.1,-0.012705779334500872,False,False,is
AMPS-202504,mean_reversion_5d,2024-10-10,2024-10-11,2024-10-25,2.77,3.42,-0.11575562700964626,0.23465703971119134,0.05,0.18465703971119135,0.1,0.018465703971119136,False,False,is
DVAX-202602,mean_reversion_5d,2024-10-10,2024-10-11,2024-10-25,10.28,10.71,-0.0813226094727435,0.04182879377431914,0.05,-0.008171206225680863,0.1,-0.0008171206225680863,False,False,is
ACH,mean_reversion_5d,2024-10-10,2024-10-11,2024-10-25,13.46,13.41,-0.07681755829903969,-0.003714710252600395,0.05,-0.0537147102526004,0.1,-0.00537147102526004,False,False,is
AAOI,momentum_60d,2024-11-07,2024-11-08,2024-12-09,19.5,36.16,1.1990171990171987,0.8543589743589741,0.05,0.8043589743589741,0.1,0.08043589743589741,False,False,is
ALTM-202503,momentum_60d,2024-11-07,2024-11-08,2024-12-09,5.37,5.12,1.0933852140077822,-0.046554934823091254,0.05,-0.09655493482309126,0.1,-0.009655493482309126,False,False,is
APLT-202602,momentum_60d,2024-11-07,2024-11-08,2024-12-09,9.74,1.24,0.6452702702702704,-0.8726899383983573,0.05,-0.9226899383983573,0.1,-0.09226899383983574,False,False,is
ACLX-202604,momentum_60d,2024-11-07,2024-11-08,2024-12-09,99.94,82.95,0.6452629832420771,-0.1700020012007204,0.05,-0.2200020012007204,0.1,-0.02200020012007204,False,False,is
CKPT-202505,momentum_60d,2024-11-07,2024-11-08,2024-12-09,3.5,3.97,0.6398104265402844,0.13428571428571434,0.05,0.08428571428571434,0.1,0.008428571428571435,False,False,is
BLUE-202505,mean_reversion_5d,2024-11-07,2024-11-08,2024-11-22,7.6,7.0020003,-0.17650865301724128,-0.07868417105263159,0.05,-0.12868417105263158,0.1,-0.01286841710526316,False,False,is
AZN-202601,mean_reversion_5d,2024-11-07,2024-11-08,2024-11-22,63.42664,64.25888,-0.09079416975041632,0.013121300450410267,0.05,-0.036878699549589736,0.1,-0.0036878699549589737,False,False,is
BRDG-202508,mean_reversion_5d,2024-11-07,2024-11-08,2024-11-22,9.629171,9.58049,-0.08088237376501717,-0.00505557539688517,0.05,-0.05505557539688517,0.1,-0.005505557539688517,False,False,is
ACB,mean_reversion_5d,2024-11-07,2024-11-08,2024-11-22,5.08,4.34,-0.060885608856088624,-0.14566929133858275,0.05,-0.19566929133858274,0.1,-0.019566929133858275,False,False,is
AZULQ-202601,mean_reversion_5d,2024-11-07,2024-11-08,2024-11-22,2.69,2.55,-0.05841924398625431,-0.052044609665427566,0.05,-0.10204460966542757,0.1,-0.010204460966542758,False,False,is
ACRS,momentum_60d,2024-12-06,2024-12-09,2025-01-08,3.97,2.46,2.3675213675213675,-0.38035264483627207,0.05,-0.43035264483627206,0.1,-0.04303526448362721,False,False,is
BTFX-202512,momentum_60d,2024-12-06,2024-12-09,2025-01-08,61.53,52.24,1.9161434977578473,-0.15098326019827724,0.05,-0.20098326019827722,0.1,-0.020098326019827722,False,False,is
AAOI,momentum_60d,2024-12-06,2024-12-09,2025-01-08,38.59,32.37,1.6776859504132235,-0.16118165327805145,0.05,-0.21118165327805144,0.1,-0.021118165327805145,False,False,is
ACHR,momentum_60d,2024-12-06,2024-12-09,2025-01-08,8.25,10.48,1.5090909090909088,0.27030303030303027,0.05,0.22030303030303028,0.1,0.02203030303030303,False,False,is
BCOV-202502,momentum_60d,2024-12-06,2024-12-09,2025-01-08,4.35,4.4,1.1485148514851486,0.011494252873563315,0.05,-0.03850574712643669,0.1,-0.0038505747126436687,False,False,is
APLT-202602,mean_reversion_5d,2024-12-06,2024-12-09,2024-12-23,1.25,0.8667,-0.3694581280788176,-0.30664,0.05,-0.35664,0.1,-0.035664,False,False,is
BASE-202509,mean_reversion_5d,2024-12-06,2024-12-09,2024-12-23,16.62,15.27,-0.2013651877133107,-0.08122743682310474,0.05,-0.13122743682310473,0.1,-0.013122743682310473,False,False,is
ACDC,mean_reversion_5d,2024-12-06,2024-12-09,2024-12-23,7.5,7.18,-0.18302094818081593,-0.04266666666666674,0.05,-0.09266666666666674,0.1,-0.009266666666666675,False,False,is
ACHR,mean_reversion_5d,2024-12-06,2024-12-09,2024-12-23,8.25,9.38,-0.13479623824451414,0.13696969696969696,0.05,0.08696969696969696,0.1,0.008696969696969696,False,False,is
ACMR,mean_reversion_5d,2024-12-06,2024-12-09,2024-12-23,15.43,15.29,-0.1337987201861548,-0.009073233959818627,0.05,-0.05907323395981863,0.1,-0.0059073233959818635,False,False,is
CMRX-202504,momentum_60d,2025-01-07,2025-01-08,2025-02-07,3.6,4.21,3.188122210779265,0.1694444444444445,0.05,0.1194444444444445,0.1,0.011944444444444452,False,False,is
ACHR,momentum_60d,2025-01-07,2025-01-08,2025-02-07,10.68,9.02,2.789115646258504,-0.15543071161048694,0.05,-0.20543071161048693,0.1,-0.020543071161048695,False,False,is
CDTX-202601,momentum_60d,2025-01-07,2025-01-08,2025-02-07,27.6,21.68,1.5665399239543727,-0.21449275362318843,0.05,-0.2644927536231884,0.1,-0.026449275362318843,False,False,is
BTFX-202512,momentum_60d,2025-01-07,2025-01-08,2025-02-07,54.31,49.4395,1.257578487086684,-0.08967961701344129,0.05,-0.13967961701344128,0.1,-0.01396796170134413,False,False,is
ABAT,momentum_60d,2025-01-07,2025-01-08,2025-02-07,2.1,1.31,1.21,-0.3761904761904762,0.05,-0.4261904761904762,0.1,-0.04261904761904762,False,False,is
ABAT,mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,2.1,1.41,-0.18450184501845024,-0.3285714285714286,0.05,-0.3785714285714286,0.1,-0.03785714285714287,False,False,is
