symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,provider_query_performed,regime_label,route_weight,split
CMRX-202504,momentum_60d,2025-03-07,2025-03-10,2025-04-07,8.42,8.52,9.132211538461538,0.01187648456057011,0.05,-0.03812351543942989,0.2,-0.007624703087885979,False,False,DRAWDOWN_STRESS,1.0,is
ACCD-202504,momentum_60d,2025-03-07,2025-03-10,2025-04-07,6.97,7.02,0.8888888888888888,0.007173601147776099,0.05,-0.042826398852223904,0.2,-0.008565279770444781,False,False,DRAWDOWN_STRESS,1.0,is
ACMR,momentum_60d,2025-03-07,2025-03-10,2025-04-07,26.39,19.15,0.8186702484889186,-0.2743463433118606,0.05,-0.3243463433118606,0.2,-0.06486926866237212,False,False,DRAWDOWN_STRESS,1.0,is
CMRX-202504,momentum_60d,2025-04-04,2025-04-07,2025-04-17,8.5,8.54,1.3306010928961745,0.004705882352941115,0.05,-0.04529411764705889,0.2,-0.009058823529411777,True,False,DRAWDOWN_STRESS,1.0,is
ACCD-202504,momentum_60d,2025-04-04,2025-04-07,2025-04-07,7.03,7.02,1.0985074626865674,-0.0014224751066856944,0.05,-0.0514224751066857,0.2,-0.01028449502133714,True,False,DRAWDOWN_STRESS,1.0,is
ABTC,momentum_60d,2025-07-02,2025-07-03,2025-08-01,5.6,5.25,6.948369565217391,-0.06249999999999989,0.05,-0.11249999999999989,0.2,-0.02249999999999998,False,False,RECOVERY_BOUNCE,1.0,oos
CDTX-202601,momentum_60d,2025-07-02,2025-07-03,2025-08-01,47.46,62.9,1.913572732805843,0.3253265908133165,0.05,0.2753265908133165,0.2,0.0550653181626633,False,False,RECOVERY_BOUNCE,1.0,oos
AAOI,momentum_60d,2025-07-02,2025-07-03,2025-08-01,26.76,21.53,1.471296296296296,-0.195440956651719,0.05,-0.245440956651719,0.2,-0.049088191330343804,False,False,RECOVERY_BOUNCE,1.0,oos
ADCT,momentum_60d,2025-07-02,2025-07-03,2025-08-01,2.83,2.69,1.3728813559322033,-0.04946996466431097,0.05,-0.09946996466431098,0.2,-0.019893992932862196,False,False,RECOVERY_BOUNCE,1.0,oos
ABVX,momentum_60d,2025-08-28,2025-08-29,2025-09-29,82.0,83.33,9.54780361757106,0.016219512195121855,0.05,-0.03378048780487815,0.2,-0.00675609756097563,False,False,RECOVERY_BOUNCE,1.0,oos
CDTX-202601,momentum_60d,2025-08-28,2025-08-29,2025-09-29,65.36,95.26,1.799570815450644,0.457466340269278,0.05,0.407466340269278,0.2,0.08149326805385561,False,False,RECOVERY_BOUNCE,1.0,oos
ABCL,momentum_60d,2025-08-28,2025-08-29,2025-09-29,4.3,4.87,0.8614718614718613,0.13255813953488382,0.05,0.08255813953488382,0.2,0.016511627906976765,False,False,RECOVERY_BOUNCE,1.0,oos
DAWN-202604,momentum_60d,2026-03-20,2026-03-23,2026-04-21,21.38,21.49,1.2403343782654126,0.005144995322731605,0.05,-0.0448550046772684,0.2,-0.00897100093545368,False,False,DRAWDOWN_STRESS,1.0,oos
AAOI,momentum_60d,2026-03-20,2026-03-23,2026-04-21,90.0,150.57,1.2391610180329966,0.6729999999999998,0.05,0.6229999999999998,0.2,0.12459999999999996,False,False,DRAWDOWN_STRESS,1.0,oos
AAOI,momentum_60d,2026-04-20,2026-04-21,2026-05-19,164.49,171.33,3.2849279161205764,0.04158307495896407,0.05,-0.00841692504103593,0.2,-0.0016833850082071861,False,False,RECOVERY_BOUNCE,1.0,oos
