symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,provider_query_performed,family,regime_label,selection_policy,split
AAOI,momentum_60d,2024-10-10,2024-10-11,2024-11-08,16.66,27.76,0.5207667731629393,0.6662665066026412,0.05,0.6162665066026412,0.2,0.12325330132052824,False,False,momentum_60d,INSUFFICIENT_HISTORY,predeclared_family_map,is
ALTM-202503,momentum_60d,2024-10-10,2024-10-11,2024-11-08,5.53,5.36,0.5027173913043479,-0.030741410488245968,0.05,-0.08074141048824597,0.2,-0.016148282097649194,False,False,momentum_60d,INSUFFICIENT_HISTORY,predeclared_family_map,is
APLT-202602,momentum_60d,2024-10-10,2024-10-11,2024-11-08,8.2,10.09,0.44620811287477946,0.23048780487804876,0.05,0.18048780487804877,0.2,0.03609756097560975,False,False,momentum_60d,INSUFFICIENT_HISTORY,predeclared_family_map,is
DADA-202506,momentum_60d,2024-10-10,2024-10-11,2024-11-08,1.78,1.7,0.3214285714285716,-0.0449438202247191,0.05,-0.0949438202247191,0.2,-0.01898876404494382,False,False,momentum_60d,INSUFFICIENT_HISTORY,predeclared_family_map,is
DADA-202506,mean_reversion_5d,2024-10-10,2024-10-11,2024-10-25,1.78,1.68,-0.1435185185185185,-0.0561797752808989,0.05,-0.1061797752808989,0.2,-0.021235955056179784,False,False,mean_reversion_5d,INSUFFICIENT_HISTORY,predeclared_family_map,is
ADMA,mean_reversion_5d,2024-10-10,2024-10-11,2024-10-25,17.13,15.81,-0.13081246806336222,-0.07705779334500873,0.05,-0.12705779334500872,0.2,-0.025411558669001744,False,False,mean_reversion_5d,INSUFFICIENT_HISTORY,predeclared_family_map,is
AMPS-202504,mean_reversion_5d,2024-10-10,2024-10-11,2024-10-25,2.77,3.42,-0.11575562700964626,0.23465703971119134,0.05,0.18465703971119135,0.2,0.03693140794223827,False,False,mean_reversion_5d,INSUFFICIENT_HISTORY,predeclared_family_map,is
DVAX-202602,mean_reversion_5d,2024-10-10,2024-10-11,2024-10-25,10.28,10.71,-0.0813226094727435,0.04182879377431914,0.05,-0.008171206225680863,0.2,-0.0016342412451361727,False,False,mean_reversion_5d,INSUFFICIENT_HISTORY,predeclared_family_map,is
ACH,mean_reversion_5d,2024-10-10,2024-10-11,2024-10-25,13.46,13.41,-0.07681755829903969,-0.003714710252600395,0.05,-0.0537147102526004,0.2,-0.01074294205052008,False,False,mean_reversion_5d,INSUFFICIENT_HISTORY,predeclared_family_map,is
BSCO-202412,volatility_compression_20d,2024-10-10,2024-10-11,2024-11-08,20.946985,21.023815,0.00024257374756352584,0.003667830955146778,0.05,-0.046332169044853225,0.2,-0.009266433808970645,False,False,volatility_compression_20d,INSUFFICIENT_HISTORY,predeclared_family_map,is
BSCP-202512,volatility_compression_20d,2024-10-10,2024-10-11,2024-11-08,19.643984,19.719189,0.0005061838568445185,0.003828398557033985,0.05,-0.04617160144296602,0.2,-0.009234320288593204,False,False,volatility_compression_20d,INSUFFICIENT_HISTORY,predeclared_family_map,is
BSJO-202412,volatility_compression_20d,2024-10-10,2024-10-11,2024-11-08,22.496784,22.576412,0.0006665329667449873,0.003539528138777559,0.05,-0.046460471861222444,0.2,-0.00929209437224449,False,False,volatility_compression_20d,INSUFFICIENT_HISTORY,predeclared_family_map,is
