symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,provider_query_performed,regime_label,split
ABAT,risk_off_mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,2.1,1.41,-0.18450184501845024,-0.3285714285714286,0.05,-0.3785714285714286,0.05,-0.018928571428571433,False,False,RISK_OFF,is
BRDG-202508,risk_off_mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,7.4461837,7.8494773,-0.09677414261314521,0.05416111343049468,0.05,0.004161113430494676,0.05,0.00020805567152473378,False,False,RISK_OFF,is
AAOI,risk_off_mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,32.7,30.69,-0.0899558498896249,-0.06146788990825691,0.05,-0.11146788990825691,0.05,-0.005573394495412846,False,False,RISK_OFF,is
AAPX,risk_off_mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,29.832087,25.073654,-0.08323165712757863,-0.15950721114483202,0.05,-0.209507211144832,0.05,-0.010475360557241601,False,False,RISK_OFF,is
AAPB,risk_off_mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,30.180614,25.378935,-0.07943931470578469,-0.15909812172807358,0.05,-0.20909812172807357,0.05,-0.01045490608640368,False,False,RISK_OFF,is
AAPU,risk_off_mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,31.960081,26.901257,-0.07936092260977001,-0.15828570647239593,0.05,-0.20828570647239592,0.05,-0.010414285323619796,False,False,RISK_OFF,is
ACVA,risk_off_mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,20.08,21.39,-0.07305936073059349,0.06523904382470125,0.05,0.015239043824701246,0.05,0.0007619521912350623,False,False,RISK_OFF,is
CTLP-202605,risk_off_mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,8.82,8.23,-0.07187499999999991,-0.06689342403628118,0.05,-0.11689342403628118,0.05,-0.0058446712018140595,False,False,RISK_OFF,is
CVGW-202605,risk_off_mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,22.393358,23.043995,-0.06781656744707021,0.029054909942492824,0.05,-0.02094509005750718,0.05,-0.001047254502875359,False,False,RISK_OFF,is
ADBE,risk_off_mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,417.34,435.38,-0.05197397936294301,0.04322614654717971,0.05,-0.0067738534528202915,0.05,-0.0003386926726410146,False,False,RISK_OFF,is
