source,bars_path,status,symbol,time_bar_count,dollar_bar_count,trade_count,gross_return_sum,net_return_sum,positive_net_trade_count,reason,target_dollar_bucket,median_net_return
AEHR_2023-03-02,experiments\provider_aware_research\data_inputs\gaprev_mini_panel_databento_intraday_probe_20260521\AEHR_2023-03-02\bars.csv,evaluated,AEHR,751,310,23,-0.0087283086,-1.1587283086,0,evaluated_existing_panel_static_dollarbars,88091.285985,-0.0468102073
AEHR_2025-04-07,experiments\provider_aware_research\data_inputs\gaprev_mini_panel_databento_intraday_probe_20260521\AEHR_2025-04-07\bars.csv,evaluated,AEHR,702,263,20,-0.1899167717,-1.1899167717,0,evaluated_existing_panel_static_dollarbars,7157.066887,-0.0531874254
ARRY_2024-11-06,experiments\provider_aware_research\data_inputs\gaprev_mini_panel_databento_intraday_probe_20260521\ARRY_2024-11-06\bars.csv,evaluated,ARRY,742,305,19,-0.1814420933,-1.1314420933,0,evaluated_existing_panel_static_dollarbars,58195.820499,-0.0475308642
CABA_2022-04-04,experiments\provider_aware_research\data_inputs\gaprev_mini_panel_databento_intraday_probe_20260521\CABA_2022-04-04\bars.csv,evaluated,CABA,124,34,1,0.0047619048,-0.0452380952,0,evaluated_existing_panel_static_dollarbars,1793.87629,-0.0452380952
CABA_2022-06-21,experiments\provider_aware_research\data_inputs\gaprev_mini_panel_databento_intraday_probe_20260521\CABA_2022-06-21\bars.csv,evaluated,CABA,230,86,3,0.0,-0.15,0,evaluated_existing_panel_static_dollarbars,473.450848,-0.05
CABA_2022-06-23,experiments\provider_aware_research\data_inputs\gaprev_mini_panel_databento_intraday_probe_20260521\CABA_2022-06-23\bars.csv,evaluated,CABA,131,42,2,0.0200875857,-0.0799124143,0,evaluated_existing_panel_static_dollarbars,896.864962,-0.0399562072
CABA_2022-07-28,experiments\provider_aware_research\data_inputs\gaprev_mini_panel_databento_intraday_probe_20260521\CABA_2022-07-28\bars.csv,evaluated,CABA,185,67,4,-0.0151578676,-0.2151578676,0,evaluated_existing_panel_static_dollarbars,939.931459,-0.0537756551
CABA_2025-06-11,experiments\provider_aware_research\data_inputs\gaprev_mini_panel_databento_intraday_probe_20260521\CABA_2025-06-11\bars.csv,evaluated,CABA,651,209,17,-0.1135201279,-0.9635201279,0,evaluated_existing_panel_static_dollarbars,4950.773756,-0.0558479532
CABA_2025-09-18,experiments\provider_aware_research\data_inputs\gaprev_mini_panel_databento_intraday_probe_20260521\CABA_2025-09-18\bars.csv,evaluated,CABA,442,146,7,-0.0226848946,-0.3726848946,0,evaluated_existing_panel_static_dollarbars,4184.095362,-0.054842615
CRMD_2024-03-12,experiments\provider_aware_research\data_inputs\gaprev_mini_panel_databento_intraday_probe_20260521\CRMD_2024-03-12\bars.csv,evaluated,CRMD,439,142,8,-0.1668707427,-0.5668707427,0,evaluated_existing_panel_static_dollarbars,2102.114784,-0.0683352945
IOVA_2022-11-18,experiments\provider_aware_research\data_inputs\gaprev_mini_panel_databento_intraday_probe_20260521\IOVA_2022-11-18\bars.csv,evaluated,IOVA,737,308,15,-0.1296511996,-0.8796511996,0,evaluated_existing_panel_static_dollarbars,24808.289376,-0.05
IOVA_2025-04-07,experiments\provider_aware_research\data_inputs\gaprev_mini_panel_databento_intraday_probe_20260521\IOVA_2025-04-07\bars.csv,evaluated,IOVA,721,333,21,-0.0438264741,-1.0938264741,0,evaluated_existing_panel_static_dollarbars,21138.666068,-0.05
