symbol,event_date,previous_date,daily_gap,daily_relative_volume,provider_dataset,start,end,status,decision,trade_count,rth_gap_return,relative_opening_volume,entry_price,exit_price,gross_return,net_return,reason,rows
AEHR,2023-03-02,2023-03-01,-0.06329832529094515,7.067259711245443,XNAS.ITCH,2023-03-01T14:30:00Z,2023-03-02T21:00:00Z,pass,GAPREV_CONTROLLED_BACKTEST_EXECUTED_PROMOTION_BLOCKED,1,-0.20416088765603324,16.830820770519264,28.61,29.65,0.036350926249563154,-0.01364907375043685,,751
ARRY,2024-11-06,2024-11-05,-0.06833114323258871,4.041632611311685,XNAS.ITCH,2024-11-05T14:30:00Z,2024-11-06T21:00:00Z,pass,GAPREV_CONTROLLED_BACKTEST_EXECUTED_PROMOTION_BLOCKED,1,-0.12614980289093303,7.627410693689682,6.19,6.185,-0.0008077544426495775,-0.05080775444264958,,742
CABA,2025-06-11,2025-06-10,-0.06808510638297882,3.9320406665248915,XNAS.ITCH,2025-06-10T13:30:00Z,2025-06-11T20:00:00Z,pass,GAPREV_CONTROLLED_BACKTEST_EXECUTED_PROMOTION_BLOCKED,1,-0.1343283582089554,15.145049055625188,1.75,1.685,-0.037142857142857144,-0.08714285714285715,,651
CABA,2022-07-28,2022-07-27,-0.054263565891472965,3.8668114261698885,XNAS.ITCH,2022-07-27T13:30:00Z,2022-07-28T20:00:00Z,pass,GAPREV_CONTROLLED_BACKTEST_EXECUTED_NO_TRADE,0,0.0,2.1767342043804834,,,,,setup_filter_not_met,185
CRMD,2024-03-12,2024-03-11,-0.05982905982905984,2.9447160219440693,XNAS.ITCH,2024-03-11T13:30:00Z,2024-03-12T20:00:00Z,pass,GAPREV_CONTROLLED_BACKTEST_EXECUTED_NO_TRADE,0,-0.026950354609929006,12.841255941956467,,,,,setup_filter_not_met,439
IOVA,2022-11-18,2022-11-17,-0.08873239436619718,2.8289106029513533,XNAS.ITCH,2022-11-17T14:30:00Z,2022-11-18T21:00:00Z,pass,GAPREV_CONTROLLED_BACKTEST_EXECUTED_PROMOTION_BLOCKED,1,-0.12376933895921238,6.425385967412474,5.9,6.42,0.08813559322033893,0.03813559322033892,,737
AEHR,2025-04-07,2025-04-04,-0.06796116504854377,2.4142436541315497,XNAS.ITCH,2025-04-04T13:30:00Z,2025-04-07T20:00:00Z,pass,GAPREV_CONTROLLED_BACKTEST_EXECUTED_PROMOTION_BLOCKED,1,-0.06464924346629985,2.251404579230351,6.79,7.135,0.05081001472754054,0.0008100147275405395,,702
CABA,2022-06-21,2022-06-17,-0.11864406779661008,2.3761970460057835,XNAS.ITCH,2022-06-17T13:30:00Z,2022-06-21T20:00:00Z,pass,GAPREV_CONTROLLED_BACKTEST_EXECUTED_NO_TRADE,0,0.0,1.6423721140787686,,,,,setup_filter_not_met,230
CABA,2022-06-23,2022-06-22,-0.0818181818181819,2.3087803659526633,XNAS.ITCH,2022-06-22T13:30:00Z,2022-06-23T20:00:00Z,pass,GAPREV_CONTROLLED_BACKTEST_EXECUTED_NO_TRADE,0,-0.01941747572815533,2.0939106058246377,,,,,setup_filter_not_met,131
CABA,2025-09-18,2025-09-17,-0.05392156862745101,2.2653040550078525,XNAS.ITCH,2025-09-17T13:30:00Z,2025-09-18T20:00:00Z,pass,GAPREV_CONTROLLED_BACKTEST_EXECUTED_NO_TRADE,0,0.01041666666666674,2.022466314362394,,,,,setup_filter_not_met,442
CABA,2022-04-04,2022-04-01,-0.08018867924528306,2.1173685367544683,XNAS.ITCH,2022-04-01T13:30:00Z,2022-04-04T20:00:00Z,pass,GAPREV_CONTROLLED_BACKTEST_EXECUTED_NO_TRADE,0,0.020942408376963373,2.9480582524271846,,,,,setup_filter_not_met,124
IOVA,2025-04-07,2025-04-04,-0.06333333333333335,2.0169838425303586,XNAS.ITCH,2025-04-04T13:30:00Z,2025-04-07T20:00:00Z,pass,GAPREV_CONTROLLED_BACKTEST_EXECUTED_NO_TRADE,0,-0.06020066889632114,1.8423581264201045,,,,,setup_filter_not_met,721
