trial_id,run_id,decision,promotion_allowed,provider_query_performed,backtest_performed,short_selling_performed,source_file
ACTIVE-ONLY-MOMENTUM-SMOKE-ROBUSTNESS-001,ACTIVE-ONLY-MOMENTUM-SMOKE-ROBUSTNESS-RUN-001,ACTIVE_ONLY_MOMENTUM_SMOKE_ROBUSTNESS_COMPLETE_NO_PROMOTION,False,False,False,False,experiments\provider_aware_research\execution_outputs\ACTIVE-ONLY-MOMENTUM-SMOKE-ROBUSTNESS-RUN-001\final_decision.json
ACTIVE-ONLY-MOMENTUM-SMOKE-001,ACTIVE-ONLY-MOMENTUM-SMOKE-RUN-001,ACTIVE_ONLY_MOMENTUM_SMOKE_COMPLETE_NO_PROMOTION,False,False,True,False,experiments\provider_aware_research\execution_outputs\ACTIVE-ONLY-MOMENTUM-SMOKE-RUN-001\final_decision.json
TRIAL-DOLLARBAR-MICROREV-001,DOLLARBAR-MICROREV-RUN-001,DOLLARBAR_MICROREV_ARCHIVE_CURRENT_FORM,False,False,False,False,experiments\provider_aware_research\execution_outputs\DOLLARBAR-MICROREV-RUN-001\final_decision.json
TRIAL-FORM4-CLUSTER-BUYING-001,FORM4-CLUSTER-BUYING-BACKTEST-001,FORM4_CLUSTER_BUYING_ARCHIVE_CURRENT_FORM,False,True,True,False,experiments\provider_aware_research\execution_outputs\FORM4-CLUSTER-BUYING-BACKTEST-001\final_decision.json
TRIAL-FORM4-CLUSTER-BUYING-001,FORM4-CLUSTER-BUYING-BACKTEST-002,FORM4_CLUSTER_BUYING_ARCHIVE_CURRENT_FORM,False,True,True,False,experiments\provider_aware_research\execution_outputs\FORM4-CLUSTER-BUYING-BACKTEST-002\final_decision.json
TRIAL-GAPREV-001,GAPREV-EVENT-SELECTION-PROBE-001,EVENT_SELECTION_CONTROLLED_PROBE_COMPLETE__NO_PROMOTION,False,False,False,False,experiments\provider_aware_research\execution_outputs\GAPREV-EVENT-SELECTION-PROBE-001\final_decision.json
TRIAL-GAPREV-001,GAPREV-MINI-PANEL-PROBE-001,MINI_PANEL_COMPLETE__NO_PROMOTION,False,False,False,False,experiments\provider_aware_research\execution_outputs\GAPREV-MINI-PANEL-PROBE-001\final_decision.json
TRIAL-GAPREV-001,GAPREV-SINGLE-CONTROLLED-BACKTEST-001,TECHNICAL_CONTROLLED_RUN_COMPLETE__NO_PROMOTION,False,False,False,False,experiments\provider_aware_research\execution_outputs\GAPREV-SINGLE-CONTROLLED-BACKTEST-001\final_decision.json
TRIAL-LOWVOL-TRADABILITY-001,LOWVOL-TRADABILITY-BACKTEST-001,LOWVOL_TRADABILITY_ARCHIVE_CURRENT_FORM,False,False,True,False,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\final_decision.json
TRIAL-OPENING-RECLAIM-001,OPENING-RECLAIM-INTRADAY-PROBE-001,OPENING_RECLAIM_INTRADAY_PROBE_COMPLETE__NO_PROMOTION,False,False,False,False,experiments\provider_aware_research\execution_outputs\OPENING-RECLAIM-INTRADAY-PROBE-001\final_decision.json
UNIVERSE-ACTIVE-ONLY-EXPLORATORY-POLICY-GATE-001,POLYGON-ACTIVE-ONLY-EXPLORATORY-POLICY-GATE-RUN-001,POLYGON_ACTIVE_ONLY_EXPLORATORY_RESEARCH_ALLOWED_NO_PROMOTION,False,False,False,False,experiments\provider_aware_research\execution_outputs\POLYGON-ACTIVE-ONLY-EXPLORATORY-POLICY-GATE-RUN-001\final_decision.json
UNIVERSE-ACTIVE-SEED-001,POLYGON-ACTIVE-UNIVERSE-SEED-001,POLYGON_ACTIVE_UNIVERSE_SEED_PASS,False,True,False,False,experiments\provider_aware_research\execution_outputs\POLYGON-ACTIVE-UNIVERSE-SEED-001\final_decision.json
UNIVERSE-DELISTED-LISTING-DATE-PROBE-001,POLYGON-DELISTED-LISTING-DATE-PROBE-001,POLYGON_DELISTED_LISTING_DATE_SUPPORT_BLOCKED,False,True,False,False,experiments\provider_aware_research\execution_outputs\POLYGON-DELISTED-LISTING-DATE-PROBE-001\final_decision.json
UNIVERSE-SURVIVORSHIP-AUDIT-001,POLYGON-DELISTED-SURVIVORSHIP-AUDIT-001,POLYGON_DELISTED_METADATA_SUPPORT_PASS,False,True,False,False,experiments\provider_aware_research\execution_outputs\POLYGON-DELISTED-SURVIVORSHIP-AUDIT-001\final_decision.json
UNIVERSE-LIQUIDITY-PROBE-001,POLYGON-GROUPED-DAILY-LIQUIDITY-PROBE-001,POLYGON_GROUPED_DAILY_LIQUIDITY_PASS,False,True,False,False,experiments\provider_aware_research\execution_outputs\POLYGON-GROUPED-DAILY-LIQUIDITY-PROBE-001\final_decision.json
UNIVERSE-LISTING-DATE-COMBINED-POLICY-GATE-001,POLYGON-LISTING-DATE-COMBINED-POLICY-GATE-RUN-001,POLYGON_LISTING_DATE_SAMPLE_COVERAGE_PASS_NO_PIT_UNIVERSE,False,False,False,False,experiments\provider_aware_research\execution_outputs\POLYGON-LISTING-DATE-COMBINED-POLICY-GATE-RUN-001\final_decision.json
UNIVERSE-LISTING-DATE-COVERAGE-CONTINUATION-001,POLYGON-LISTING-DATE-COVERAGE-CONTINUATION-001,POLYGON_LISTING_DATE_COVERAGE_CONTINUATION_PASS,False,True,False,False,experiments\provider_aware_research\execution_outputs\POLYGON-LISTING-DATE-COVERAGE-CONTINUATION-001\final_decision.json
UNIVERSE-LISTING-DATE-COVERAGE-PROBE-001,POLYGON-LISTING-DATE-COVERAGE-PROBE-001,POLYGON_LISTING_DATE_COVERAGE_SUPPORT_BLOCKED,False,True,False,False,experiments\provider_aware_research\execution_outputs\POLYGON-LISTING-DATE-COVERAGE-PROBE-001\final_decision.json
UNIVERSE-PIT-CONSTRUCTION-METHOD-GATE-001,POLYGON-PIT-CONSTRUCTION-METHOD-GATE-RUN-001,POLYGON_PIT_CONSTRUCTION_METHOD_APPROVED_PARTIAL_SAMPLE_ONLY,False,False,False,False,experiments\provider_aware_research\execution_outputs\POLYGON-PIT-CONSTRUCTION-METHOD-GATE-RUN-001\final_decision.json
UNIVERSE-PIT-POLICY-GATE-001,POLYGON-PIT-MEMBERSHIP-POLICY-GATE-RUN-001,POLYGON_DATA_STACK_READY_SINGLE_DAY_ONLY,False,False,False,False,experiments\provider_aware_research\execution_outputs\POLYGON-PIT-MEMBERSHIP-POLICY-GATE-RUN-001\final_decision.json
UNIVERSE-LISTING-DATE-SOURCE-PROBE-001,POLYGON-TICKER-DETAILS-LISTING-DATE-PROBE-001,POLYGON_TICKER_DETAILS_LISTING_DATE_SUPPORT_PASS,False,True,False,False,experiments\provider_aware_research\execution_outputs\POLYGON-TICKER-DETAILS-LISTING-DATE-PROBE-001\final_decision.json
UNIVERSE-SOURCE-PROBE-002,POLYGON-TICKER-REFERENCE-PROBE-001,POLYGON_TICKER_REFERENCE_SOURCE_PASS,False,True,False,False,experiments\provider_aware_research\execution_outputs\POLYGON-TICKER-REFERENCE-PROBE-001\final_decision.json
UNIVERSE-QUALITY-PROBE-001,POLYGON-UNIVERSE-QUALITY-PROBE-001,POLYGON_UNIVERSE_REFERENCE_QUALITY_BLOCKED,False,True,False,False,experiments\provider_aware_research\execution_outputs\POLYGON-UNIVERSE-QUALITY-PROBE-001\final_decision.json
,PROBE-PEAD-ALPHAVANTAGE-EARNINGS-001,BLOCKED_ALPHAVANTAGE_SOURCE_INSUFFICIENT,False,True,False,False,experiments\provider_aware_research\execution_outputs\PROBE-PEAD-ALPHAVANTAGE-EARNINGS-001\final_decision.json
,PROBE-PEAD-EARNINGS-SOURCE-001,BLOCKED_EARNINGS_SOURCE_PROVIDER_ERROR,False,True,False,False,experiments\provider_aware_research\execution_outputs\PROBE-PEAD-EARNINGS-SOURCE-001\final_decision.json
REFERENCE-DATA-PROVIDER-SCAN-001,REFERENCE-DATA-PROVIDER-SCAN-RUN-001,REFERENCE_DATA_PROVIDER_SCAN_COMPLETE_PROBE_CANDIDATE_SELECTED,False,False,False,False,experiments\provider_aware_research\execution_outputs\REFERENCE-DATA-PROVIDER-SCAN-RUN-001\final_decision.json
REGIME-MAP-001,REGIME-MAP-DIAGNOSTIC-001,REGIME_MAP_DIAGNOSTIC_COMPLETE_NO_STRATEGY,False,False,False,False,experiments\provider_aware_research\execution_outputs\REGIME-MAP-DIAGNOSTIC-001\final_decision.json
RESEARCH-PROGRAM-TRANSITION-POLICY-GATE-001,RESEARCH-PROGRAM-TRANSITION-POLICY-GATE-RUN-001,RESEARCH_PROGRAM_TRANSITION_ACTIVE,False,False,False,False,experiments\provider_aware_research\execution_outputs\RESEARCH-PROGRAM-TRANSITION-POLICY-GATE-RUN-001\final_decision.json
UNIVERSE-SOURCE-PROBE-001,SEC-COMPANY-TICKERS-UNIVERSE-PROBE-001,SEC_COMPANY_TICKERS_UNIVERSE_SOURCE_BLOCKED_METADATA_INSUFFICIENT,False,True,False,False,experiments\provider_aware_research\execution_outputs\SEC-COMPANY-TICKERS-UNIVERSE-PROBE-001\final_decision.json
