date,period_net_return,cumulative_weighted_net_return,drawdown
2024-09-13T00:00:00.000,-0.0214393977,-0.0214393977,0.0
2024-09-27T00:00:00.000,0.0427761613,0.0213367636,0.0
2024-10-11T00:00:00.000,-0.0107908235,0.0105459402,-0.0107908235
2024-10-25T00:00:00.000,0.0074291586,0.0179750988,-0.0033616648
2024-11-08T00:00:00.000,0.0256249914,0.0436000902,0.0
2024-11-22T00:00:00.000,-0.0116074598,0.0319926304,-0.0116074598
2024-12-09T00:00:00.000,-0.0144935741,0.0174990563,-0.0261010339
2024-12-23T00:00:00.000,-0.0193918917,-0.0018928354,-0.0454929256
2025-01-08T00:00:00.000,-0.0120500972,-0.0139429326,-0.0575430228
2025-01-24T00:00:00.000,-0.0011662976,-0.0151092302,-0.0587093204
2025-02-07T00:00:00.000,0.0023234012,-0.0127858289,-0.0563859191
2025-02-24T00:00:00.000,-0.001775363,-0.014561192,-0.0581612821
2025-03-10T00:00:00.000,-0.0272557703,-0.0418169622,-0.0854170524
2025-03-24T00:00:00.000,-0.0351003005,-0.0769172627,-0.1205173528
2025-04-07T00:00:00.000,-0.0501496526,-0.1270669153,-0.1706670054
2025-04-22T00:00:00.000,-0.0270392168,-0.1541061321,-0.1977062223
2025-05-06T00:00:00.000,0.0313867672,-0.1227193648,-0.166319455
2025-05-20T00:00:00.000,-0.0134462086,-0.1361655735,-0.1797656636
2025-06-04T00:00:00.000,0.0910554966,-0.0451100769,-0.0887101671
2025-06-18T00:00:00.000,-0.0090490011,-0.054159078,-0.0977591681
2025-07-03T00:00:00.000,0.0243829759,-0.0297761021,-0.0733761922
2025-07-18T00:00:00.000,-0.0150820492,-0.0448581513,-0.0884582415
2025-08-01T00:00:00.000,-0.0140849649,-0.0589431162,-0.1025432064
2025-08-15T00:00:00.000,0.0104792251,-0.048463891,-0.0920639812
2025-08-29T00:00:00.000,0.062589789,0.0141258979,-0.0294741923
2025-09-15T00:00:00.000,0.0011675402,0.0152934381,-0.0283066521
2025-09-29T00:00:00.000,-0.0029838963,0.0123095418,-0.0312905484
2025-10-13T00:00:00.000,-0.0022953699,0.0100141719,-0.0335859183
2025-10-27T00:00:00.000,0.003975907,0.0139900789,-0.0296100113
2025-11-10T00:00:00.000,-0.0016195615,0.0123705174,-0.0312295728
2025-11-24T00:00:00.000,-0.0390117335,-0.0266412161,-0.0702413063
2025-12-09T00:00:00.000,0.0184084329,-0.0082327832,-0.0518328734
2025-12-23T00:00:00.000,-0.0094220124,-0.0176547957,-0.0612548859
2026-01-08T00:00:00.000,0.0974255282,0.0797707325,0.0
2026-01-23T00:00:00.000,-0.00160423,0.0781665025,-0.00160423
2026-02-06T00:00:00.000,-0.0041789969,0.0739875056,-0.0057832269
2026-02-23T00:00:00.000,0.014390478,0.0883779836,0.0
2026-03-09T00:00:00.000,0.0094318052,0.0978097888,0.0
2026-03-23T00:00:00.000,-0.0043365455,0.0934732434,-0.0043365455
2026-04-07T00:00:00.000,-0.0019543867,0.0915188566,-0.0062909322
2026-05-05T00:00:00.000,-0.0331761023,0.0583427543,-0.0394670345
2026-05-19T00:00:00.000,-0.0004043052,0.0579384491,-0.0398713397
2026-06-01T00:00:00.000,0.047500008,0.1054384571,0.0
