symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,sleeve_weight,weighted_net_return,forced_end_of_history_exit
ACLX-202604,Momentum,2024-08-28,2024-08-29,2024-09-27,70.0699996948,82.7600021362,0.1211778274,0.1811046453,0.01,0.1711046453,0.25,0.0427761613,False
AA,Momentum,2024-09-26,2024-09-27,2024-10-25,38.8107261658,40.3521575928,0.2240572878,0.0397166345,0.01,0.0297166345,0.25,0.0074291586,False
ALTM-202503,Momentum,2024-10-24,2024-10-25,2024-11-22,5.4899997711,5.2899999619,0.9503546561,-0.0364298393,0.01,-0.0464298393,0.25,-0.0116074598,False
ACCD-202504,Momentum,2024-11-21,2024-11-22,2024-12-23,3.7000000477,3.4500000477,0.1630093955,-0.0675675667,0.01,-0.0775675667,0.25,-0.0193918917,False
AAL,Momentum,2024-12-20,2024-12-23,2025-01-24,16.8700008392,16.9599990845,0.1887323512,0.0053348098,0.01,-0.0046651902,0.25,-0.0011662976,False
ACCD-202504,Momentum,2025-01-23,2025-01-24,2025-02-24,6.9000000954,6.9200000763,0.9798850083,0.0028985479,0.01,-0.0071014521,0.25,-0.001775363,False
AKRO-202512,Momentum,2025-02-21,2025-02-24,2025-03-24,51.8400001526,45.0800018311,0.9816513935,-0.1304012018,0.01,-0.1404012018,0.25,-0.0351003005,False
ACLX-202604,Momentum,2025-03-21,2025-03-24,2025-04-22,69.9899978638,63.1199989319,0.0875294405,-0.0981568673,0.01,-0.1081568673,0.25,-0.0270392168,False
AAAU,Momentum,2025-04-21,2025-04-22,2025-05-20,34.0299987793,32.5400009155,0.1331658402,-0.0437848345,0.01,-0.0537848345,0.25,-0.0134462086,False
AL-202604,Momentum,2025-05-19,2025-05-20,2025-06-18,57.3255882263,55.8238868713,0.3788610613,-0.0261960043,0.01,-0.0361960043,0.25,-0.0090490011,False
AKRO-202512,Momentum,2025-06-17,2025-06-18,2025-07-18,54.8400001526,52.0800018311,0.4525433249,-0.0503281968,0.01,-0.0603281968,0.25,-0.0150820492,False
