date,period_net_return,cumulative_weighted_net_return,drawdown
2024-09-13,-0.02733443329561266,-0.02733443329561266,0.0
2024-09-27,-0.06149715554509088,-0.08883158884070354,-0.06149715554509087
2024-10-11,-0.030384601982387346,-0.11921619082309089,-0.09188175752747822
2024-10-25,-0.018317207078249072,-0.13753339790133995,-0.11019896460572728
2024-11-08,-0.03272453456088392,-0.17025793246222387,-0.1429234991666112
2024-11-22,-0.02321491963599864,-0.19347285209822251,-0.16613841880260985
2024-12-09,0.12395349087934937,-0.06951936121887314,-0.04218492792326048
2024-12-23,-0.029668522454721787,-0.09918788367359493,-0.07185345037798227
2025-01-08,-0.017731913003143526,-0.11691979667673846,-0.0895853633811258
2025-01-24,-0.09224831838896885,-0.20916811506570732,-0.18183368177009465
2025-02-07,-0.035535709744408006,-0.24470382481011532,-0.21736939151450266
2025-02-24,0.00038526104105974113,-0.24431856376905559,-0.21698413047344292
2025-03-10,-0.08827282908157255,-0.3325913928506281,-0.3052569595550155
2025-03-24,-0.07759951853964098,-0.4101909113902691,-0.38285647809465645
2025-04-07,-0.10898149136108007,-0.5191724027513491,-0.4918379694557365
2025-04-22,-0.0022808262776720057,-0.5214532290290211,-0.4941187957334085
2025-05-06,0.06990099550380324,-0.4515522335252179,-0.42421780022960526
2025-05-20,-0.0011240345895466809,-0.4526762681147646,-0.42534183481915194
2025-06-04,-0.021210201087841687,-0.47388646920260624,-0.4465520359069936
2025-06-18,-0.0010083920136906245,-0.47489486121629687,-0.44756042792068423
2025-07-03,0.019570130644910925,-0.45532473057138595,-0.4279902972757733
2025-07-18,-0.017075154310983106,-0.47239988488236906,-0.4450654515867564
2025-08-01,-0.06327982270115273,-0.5356797075835218,-0.5083452742879091
2025-08-15,0.07243044916015862,-0.4632492584233632,-0.43591482512775054
2025-08-29,0.03159091063028524,-0.43165834779307793,-0.4043239144974653
2025-09-15,0.0008754068804854897,-0.43078294091259245,-0.4034485076169798
2025-10-13,-0.0019550512176390545,-0.4327379921302315,-0.40540355883461887
2025-11-10,-0.3094614173946675,-0.7421994095248989,-0.7148649762292862
2025-11-24,-0.07077163009781301,-0.8129710396227119,-0.7856366063270992
2025-12-09,0.6320192643237862,-0.1809517752989257,-0.15361734200331303
2025-12-23,-0.018983522481649192,-0.1999352977805749,-0.17260086448496223
2026-01-08,-0.03788273820271459,-0.2378180359832895,-0.21048360268767682
2026-01-23,0.048732873576961155,-0.18908516240632833,-0.16175072911071567
2026-02-06,0.016843358413053403,-0.17224180399327493,-0.14490737069766227
2026-02-23,-0.008049683860997829,-0.18029148785427276,-0.1529570545586601
2026-03-23,0.04887145547724281,-0.13142003237702995,-0.10408559908141729
2026-04-07,0.2989689641551423,0.16754893177811234,0.0
2026-05-05,0.006539700742237868,0.1740886325203502,0.0
2026-05-19,0.013928102101035235,0.18801673462138543,0.0
2026-06-01,0.30219696113119643,0.4902136957525819,0.0
