symbol,rows,start,end,columns
NAVN,146,2025-10-30,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
NRC,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
DAN,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
CTRE,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
YOU,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
ARKO,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
HZO,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
DCO,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
SSRM,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
ARR,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
NBR,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
ENVX,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
EFOR,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
LRN,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
BLMN,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
FULT,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
ATEN,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
HCKT,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
ALX,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
LXU,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
TENB,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
SDGR,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
FSLY,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
ADV,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
ENS,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
MNRO,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
LADR,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
FNKO,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
PSMT,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
CMRE,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
KIDS,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
TNET,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
ECPG,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
PATK,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
NWN,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
MGPI,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
DHC,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
SXI,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
APPS,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
VSTS,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
MRVI,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
AVNS,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
KE,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
CRK,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
CRMT,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
ISSC,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
MBIN,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
NPCE,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
GBX,500,2024-06-03,2026-06-01,"['Open', 'High', 'Low', 'Close', 'Volume', 'Turnover', 'Unadjusted Close', 'Dividend']"
