symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,sleeve_weight,weighted_net_return,forced_end_of_history_exit,component_id,component_template,component_weight
APPS,Momentum,2024-08-28,2024-08-29,2024-09-27,3.5399999618530273,3.140000104904175,0.4663864881185409,-0.11299431109018176,0.01,-0.12299431109018176,0.25,-0.03074857777254544,False,28fb7b03aa56a91e,Momentum,0.25
APLD,Momentum,2024-09-26,2024-09-27,2024-10-25,8.260000228881836,8.039999961853027,0.8707483640484233,-0.026634414156498143,0.01,-0.036634414156498145,0.25,-0.009158603539124536,False,28fb7b03aa56a91e,Momentum,0.25
ALTM-202503,Momentum,2024-10-24,2024-10-25,2024-11-22,5.489999771118164,5.289999961853027,0.9503546560993688,-0.03642983927199728,0.01,-0.04642983927199728,0.25,-0.01160745981799932,False,28fb7b03aa56a91e,Momentum,0.25
SMLR-202601,Momentum,2024-11-21,2024-11-22,2024-12-23,64.86000061035156,61.65999984741211,1.4016630756196848,-0.04933704490944357,0.01,-0.059337044909443575,0.25,-0.014834261227360894,False,28fb7b03aa56a91e,Momentum,0.25
KULR,Momentum,2024-12-20,2024-12-23,2025-01-24,23.84000015258789,19.68000030517578,6.074340714732596,-0.1744966367779377,0.01,-0.1844966367779377,0.25,-0.046124159194484426,False,28fb7b03aa56a91e,Momentum,0.25
ITCI-202504,Momentum,2025-01-23,2025-01-24,2025-02-24,127.19999694824219,128.57000732421875,0.5227082605363818,0.010770522082119482,0.01,0.0007705220821194823,0.25,0.00019263052052987057,False,28fb7b03aa56a91e,Momentum,0.25
APPS,Momentum,2025-02-21,2025-02-24,2025-03-24,4.269999980926514,3.6500000953674316,0.8800000084771051,-0.14519903707928195,0.01,-0.15519903707928195,0.25,-0.03879975926982049,False,28fb7b03aa56a91e,Momentum,0.25
RDUS-202507,Momentum,2025-03-21,2025-03-24,2025-04-22,28.72378921508789,28.8799991607666,1.2057705539991592,0.005438347444655989,0.01,-0.0045616525553440115,0.25,-0.0011404131388360029,False,28fb7b03aa56a91e,Momentum,0.25
THRD-202507,Momentum,2025-04-21,2025-04-22,2025-05-20,5.159999847412109,5.199999809265137,0.47142859867640907,0.007751930820906638,0.01,-0.0022480691790933618,0.25,-0.0005620172947733404,False,28fb7b03aa56a91e,Momentum,0.25
FL-202509,Momentum,2025-05-19,2025-05-20,2025-06-18,23.799999237060547,23.989999771118164,1.0812227354295012,0.007983215972618751,0.01,-0.002016784027381249,0.25,-0.0005041960068453122,False,28fb7b03aa56a91e,Momentum,0.25
VERV-202507,Momentum,2025-06-17,2025-06-18,2025-07-18,11.180000305175781,10.90999984741211,1.6041190875191527,-0.02415030862196621,0.01,-0.03415030862196621,0.25,-0.008537577155491553,False,28fb7b03aa56a91e,Momentum,0.25
CDTX-202601,Momentum,2025-07-17,2025-07-18,2025-08-15,56.470001220703125,65.21499633789062,1.5407240070891226,0.15486089832031724,0.01,0.14486089832031723,0.25,0.03621522458007931,False,28fb7b03aa56a91e,Momentum,0.25
YMAB-202509,Momentum,2025-08-14,2025-08-15,2025-09-15,8.510000228881836,8.609999656677246,0.9699073821122273,0.01175081376097098,0.01,0.0017508137609709793,0.25,0.0004377034402427448,False,28fb7b03aa56a91e,Momentum,0.25
TRML-202510,Momentum,2025-09-12,2025-09-15,2025-10-13,47.619998931884766,47.90999984741211,1.1263957975971666,0.006089897564721891,0.01,-0.003910102435278109,0.25,-0.0009775256088195273,False,28fb7b03aa56a91e,Momentum,0.25
NTLA,Momentum,2025-10-10,2025-10-13,2025-11-10,24.8799991607666,9.729999542236328,1.1471103584896807,-0.608922834789335,0.01,-0.618922834789335,0.25,-0.15473070869733374,False,28fb7b03aa56a91e,Momentum,0.25
TERN-202605,Momentum,2025-11-07,2025-11-10,2025-12-09,18.719999313354492,42.56999969482422,1.2662576905353613,1.2740385286475724,0.01,1.2640385286475724,0.25,0.3160096321618931,False,28fb7b03aa56a91e,Momentum,0.25
OLMA,Momentum,2025-12-08,2025-12-09,2026-01-08,27.3700008392334,25.56999969482422,2.3508979956850524,-0.06576547640542918,0.01,-0.07576547640542917,0.25,-0.018941369101357294,False,28fb7b03aa56a91e,Momentum,0.25
ISSC,Momentum,2026-01-07,2026-01-08,2026-02-06,18.770000457763672,19.59000015258789,0.7536091156208451,0.04368671682610681,0.01,0.033686716826106806,0.25,0.008421679206526702,False,28fb7b03aa56a91e,Momentum,0.25
FSLY,Momentum,2026-03-06,2026-03-09,2026-04-07,19.65250015258789,31.600000381469727,1.530150664966187,0.6079379283102846,0.01,0.5979379283102846,0.25,0.14948448207757115,False,28fb7b03aa56a91e,Momentum,0.25
FSLY,Momentum,2026-04-06,2026-04-07,2026-05-05,31.6299991607666,32.36000061035156,0.5660378287666823,0.023079401484475737,0.01,0.013079401484475736,0.25,0.003269850371118934,False,28fb7b03aa56a91e,Momentum,0.25
FCEL,Momentum,2026-05-04,2026-05-05,2026-06-01,13.199999809265137,21.309999465942383,0.9520240343082544,0.6143939222623929,0.01,0.6043939222623929,0.25,0.15109848056559821,True,28fb7b03aa56a91e,Momentum,0.25
AISP,Mean Reversion,2024-08-28,2024-08-29,2024-09-13,3.0199999809265137,2.7200000286102295,-0.22875816708286556,-0.09933773318245065,0.01,-0.10933773318245064,0.25,-0.02733443329561266,False,a42078cbf0a2ea94,Mean Reversion,0.25
FCEL,Mean Reversion,2024-09-26,2024-09-27,2024-10-11,11.699999809265137,10.395000457763672,-0.1558952135404542,-0.11153840792954939,0.01,-0.12153840792954938,0.25,-0.030384601982387346,False,a42078cbf0a2ea94,Mean Reversion,0.25
MGPI,Mean Reversion,2024-10-24,2024-10-25,2024-11-08,56.07047653198242,49.29166030883789,-0.2939805833869614,-0.12089813824353568,0.01,-0.1308981382435357,0.25,-0.03272453456088392,False,a42078cbf0a2ea94,Mean Reversion,0.25
NGNE,Mean Reversion,2024-11-21,2024-11-22,2024-12-09,15.479999542236328,23.309999465942383,-0.6022959222152102,0.5058139635173975,0.01,0.4958139635173975,0.25,0.12395349087934937,False,a42078cbf0a2ea94,Mean Reversion,0.25
IIPR,Mean Reversion,2024-12-20,2024-12-23,2025-01-08,58.42327880859375,54.863685607910156,-0.2966004472810938,-0.06092765201257411,0.01,-0.0709276520125741,0.25,-0.017731913003143526,False,a42078cbf0a2ea94,Mean Reversion,0.25
WKHS,Mean Reversion,2025-01-23,2025-01-24,2025-02-07,84.0,72.9000015258789,-0.19842717980042934,-0.13214283897763202,0.01,-0.14214283897763202,0.25,-0.035535709744408006,False,a42078cbf0a2ea94,Mean Reversion,0.25
APPS,Mean Reversion,2025-02-21,2025-02-24,2025-03-10,4.269999980926514,2.805000066757202,-0.3512269890417409,-0.3430913163262902,0.01,-0.3530913163262902,0.25,-0.08827282908157255,False,a42078cbf0a2ea94,Mean Reversion,0.25
WKHS,Mean Reversion,2025-03-21,2025-03-24,2025-04-07,25.920001983642578,14.880000114440918,-0.1815561399953608,-0.42592596544432026,0.01,-0.4359259654443203,0.25,-0.10898149136108007,False,a42078cbf0a2ea94,Mean Reversion,0.25
APLD,Mean Reversion,2025-04-21,2025-04-22,2025-05-06,4.039999961853027,5.210000038146973,-0.25330811414598287,0.289603982015213,0.01,0.27960398201521297,0.25,0.06990099550380324,False,a42078cbf0a2ea94,Mean Reversion,0.25
AUR,Mean Reversion,2025-05-19,2025-05-20,2025-06-04,6.28000020980835,5.809999942779541,-0.20807057430617337,-0.07484080435136675,0.01,-0.08484080435136675,0.25,-0.021210201087841687,False,a42078cbf0a2ea94,Mean Reversion,0.25
KULR,Mean Reversion,2025-06-17,2025-06-18,2025-07-03,6.239200115203857,6.789999961853027,-0.358305053958875,0.0882805225796437,0.01,0.0782805225796437,0.25,0.019570130644910925,False,a42078cbf0a2ea94,Mean Reversion,0.25
WKHS,Mean Reversion,2025-07-17,2025-07-18,2025-08-01,26.15999984741211,19.799999237060547,-0.27835058922977307,-0.24311929080461092,0.01,-0.25311929080461093,0.25,-0.06327982270115273,False,a42078cbf0a2ea94,Mean Reversion,0.25
