symbol,trades,weighted_net
TERN-202605,2,0.6320192643237862
FSLY,4,0.30550866489738
FCEL,3,0.2718123591488091
NGNE,1,0.1239534908793493
CDTX-202601,2,0.0724304491601586
APLD,3,0.05158378842555421
DSGR,1,0.0488714554772428
CORT,1,0.0487328735769611
ACDC,1,0.0315909106302852
ISSC,2,0.0168433584130534
YMAB-202509,2,0.0008754068804854
ITCI-202504,2,0.0003852610410596
FL-202509,2,-0.0010083920136906
THRD-202507,2,-0.0011240345895466
TRML-202510,2,-0.001955051217639
RDUS-202507,2,-0.002280826277672
GEOS,1,-0.0080496838609978
VERV-202507,2,-0.017075154310983
IIPR,1,-0.0177319130031435
BDTX,1,-0.0189835224816491
AUR,1,-0.0212102010878416
ALTM-202503,2,-0.0232149196359986
AISP,1,-0.0273344332956126
SMLR-202601,2,-0.0296685224547216
MGPI,1,-0.0327245345608839
