date,period_net_return,cumulative_weighted_net_return,drawdown
2024-09-13T00:00:00.000,0.005677352,0.005677352,0.0
2024-10-11T00:00:00.000,0.0700508708,0.0757282228,0.0
2024-10-17T00:00:00.000,-0.2347222224,-0.1589939997,-0.2347222224
2024-11-11T00:00:00.000,0.7375,0.5785060003,0.0
2024-11-18T00:00:00.000,0.7106481082,1.2891541086,0.0
2024-12-09T00:00:00.000,-0.0125,1.2766541086,-0.0125
2024-12-23T00:00:00.000,0.1722825974,1.448936706,0.0
2025-01-24T00:00:00.000,-0.1471938803,1.3017428257,-0.1471938803
2025-02-07T00:00:00.000,-0.0125,1.2892428257,-0.1596938803
2025-02-24T00:00:00.000,-0.043217761,1.2460250647,-0.2029116413
2025-03-24T00:00:00.000,-0.0156250236,1.230400041,-0.218536665
2025-04-02T00:00:00.000,-0.167261899,1.063138142,-0.385798564
2025-04-25T00:00:00.000,-0.0125,1.050638142,-0.398298564
2025-05-06T00:00:00.000,-0.1375,0.913138142,-0.535798564
2025-05-21T00:00:00.000,-0.1761363617,0.7370017803,-0.7119349257
2025-06-04T00:00:00.000,-0.1309210513,0.606080729,-0.842855977
2025-06-11T00:00:00.000,0.2567107998,0.8627915288,-0.5861451772
2025-06-18T00:00:00.000,-0.2374999992,0.6252915296,-0.8236451764
2025-07-18T00:00:00.000,0.0255886405,0.65088017,-0.798056536
2025-08-01T00:00:00.000,12.2375000364,12.8883802064,0.0
2025-08-18T00:00:00.000,-0.0125,12.8758802064,-0.0125
2025-08-20T00:00:00.000,-0.0125,12.8633802064,-0.025
2025-09-19T00:00:00.000,-0.0125,12.8508802064,-0.0375
2025-09-30T00:00:00.000,-0.0125,12.8383802064,-0.05
2025-11-11T00:00:00.000,0.1458333318,12.9842135382,0.0
2025-11-14T00:00:00.000,-0.0125,12.9717135382,-0.0125
2025-12-03T00:00:00.000,-0.0125,12.9592135382,-0.025
2025-12-30T00:00:00.000,-0.2724999999,12.6867135383,-0.2974999999
2026-05-11T00:00:00.000,-0.0125,12.6742135383,-0.3099999999
