symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,sleeve_weight,weighted_net_return,forced_end_of_history_exit
AASP,Momentum,2024-08-28,2024-08-29,2024-10-11,0.6389999986,0.8500000238,1.9957805194,0.3302034832,0.05,0.2802034832,0.25,0.0700508708,False
ADXS-202602,Momentum,2024-09-26,2024-09-30,2024-11-18,0.0270000007,0.1050999984,1.3350000903,2.8925924329,0.05,2.8425924329,0.25,0.7106481082,False
ADXS-202602,Momentum,2024-10-24,2024-10-29,2024-12-09,0.0270000007,0.0270000007,1.8750001164,0.0,0.05,-0.05,0.25,-0.0125,False
AASP,Momentum,2024-11-21,2024-11-22,2024-12-23,1.6100000143,2.7999999523,1.0918366453,0.7391303897,0.05,0.6891303897,0.25,0.1722825974,False
ATIP-202507,Momentum,2024-12-20,2024-12-23,2025-01-24,2.4500000477,1.1299999952,0.6092715776,-0.5387755211,0.05,-0.5887755211,0.25,-0.1471938803,False
AAUAF,Momentum,2025-01-23,2025-01-24,2025-02-24,0.0821999982,0.0720999986,1.4534341952,-0.1228710441,0.05,-0.1728710441,0.25,-0.043217761,False
AAGR,Momentum,2025-02-21,2025-02-24,2025-03-24,0.0080000004,0.0078999996,7999.0004001777,-0.0125000946,0.05,-0.0625000946,0.25,-0.0156250236,False
AAPJ,Momentum,2025-03-21,2025-03-24,2025-04-25,0.0001,0.0001,0.6500000909,0.0,0.05,-0.05,0.25,-0.0125,False
AAGH,Momentum,2025-04-21,2025-04-22,2025-05-21,0.0055,0.0019,24.0000000728,-0.6545454468,0.05,-0.7045454468,0.25,-0.1761363617,False
AAGR,Momentum,2025-05-19,2025-05-20,2025-06-18,0.0149999997,0.0015,2.0,-0.8999999969,0.05,-0.9499999969,0.25,-0.2374999992,False
ABBRF,Momentum,2025-06-17,2025-06-18,2025-07-18,3.6099998951,4.1599998474,0.5735229135,0.1523545619,0.05,0.1023545619,0.25,0.0255886405,False
AAGR,Momentum,2025-08-14,2025-08-18,2025-09-19,0.0049999999,0.0049999999,4998.9999008651,0.0,0.05,-0.05,0.25,-0.0125,False
AAPT,Momentum,2025-11-07,2025-11-17,2025-12-30,1e-06,1e-06,1999.0001000444,0.0,0.05,-0.05,0.25,-0.0125,False
AAMCF,Mean Reversion,2024-08-28,2024-08-29,2024-09-13,12213.0,13101.0,-0.471884334,0.072709408,0.05,0.022709408,0.25,0.005677352,False
AAGRW,Mean Reversion,2024-09-26,2024-09-27,2024-10-17,0.0009,0.0001,-0.9014084549,-0.8888888898,0.05,-0.9388888898,0.25,-0.2347222224,False
AAGR,Mean Reversion,2024-10-24,2024-10-25,2024-11-11,0.0001,0.0004,-0.9999473684,3.0,0.05,2.95,0.25,0.7375,False
AAGRW,Mean Reversion,2024-11-21,2024-12-09,2025-08-18,1e-06,1e-06,-0.9992307692,0.0,0.05,-0.05,0.25,-0.0125,False
AAGRW,Mean Reversion,2024-12-20,2024-12-30,2025-11-14,1e-06,1e-06,-0.9899999998,0.0,0.05,-0.05,0.25,-0.0125,False
AAGR,Mean Reversion,2025-01-23,2025-01-24,2025-02-07,0.0080000004,0.0080000004,-0.999875,0.0,0.05,-0.05,0.25,-0.0125,False
AASZF,Mean Reversion,2025-02-21,2025-02-25,2025-04-02,1.0499999523,0.400000006,-0.310344804,-0.6190475961,0.05,-0.6690475961,0.25,-0.167261899,False
AASZF,Mean Reversion,2025-03-21,2025-03-26,2025-06-11,0.4814999998,1.0,-0.1714285812,1.0768431994,0.05,1.0268431994,0.25,0.2567107998,False
AKTSQ-202601,Mean Reversion,2025-04-21,2025-04-22,2025-05-06,0.0002,0.0001,-0.9529411802,-0.5,0.05,-0.55,0.25,-0.1375,False
AXDXQ-202508,Mean Reversion,2025-05-19,2025-05-20,2025-06-04,0.0189999994,0.0099999998,-0.8620432547,-0.4736842054,0.05,-0.5236842054,0.25,-0.1309210513,False
AAPJ,Mean Reversion,2025-06-17,2025-06-20,2025-12-30,0.0001,1e-06,-0.9899999998,-0.9899999998,0.05,-1.0399999998,0.25,-0.2599999999,False
AAGR,Mean Reversion,2025-07-17,2025-07-18,2025-08-01,0.0001,0.0049999999,-0.9999,49.0000001455,0.05,48.9500001455,0.25,12.2375000364,False
AXDXQ-202508,Mean Reversion,2025-08-14,2025-08-15,2025-08-20,1e-06,1e-06,-0.9966666668,0.0,0.05,-0.05,0.25,-0.0125,True
AAGR,Mean Reversion,2025-09-12,2025-09-15,2025-09-30,0.0049999999,0.0049999999,-0.9998,0.0,0.05,-0.05,0.25,-0.0125,False
AATV,Mean Reversion,2025-10-10,2025-10-13,2025-11-11,0.0599999987,0.0979999974,-0.3333333747,0.6333333271,0.05,0.5833333271,0.25,0.1458333318,False
AKTSQ-202601,Mean Reversion,2025-11-07,2025-11-13,2025-12-03,1e-06,1e-06,-0.9990000001,0.0,0.05,-0.05,0.25,-0.0125,False
AAPJ,Mean Reversion,2026-04-06,2026-04-13,2026-05-11,1e-06,1e-06,-0.9899999998,0.0,0.05,-0.05,0.25,-0.0125,True
