date,period_net_return,cumulative_weighted_net_return,drawdown
2024-09-13T00:00:00.000,-0.0409491872,-0.0409491872,0.0
2024-09-27T00:00:00.000,0.0067133193,-0.0342358679,0.0
2024-10-11T00:00:00.000,-0.0375331604,-0.0717690283,-0.0375331604
2024-10-25T00:00:00.000,0.0314986619,-0.0402703664,-0.0060344985
2024-11-08T00:00:00.000,0.0156249914,-0.024645375,0.0
2024-11-22T00:00:00.000,-0.0216074598,-0.0462528348,-0.0216074598
2024-12-09T00:00:00.000,-0.0244935741,-0.0707464089,-0.0461010339
2024-12-23T00:00:00.000,-0.0062300448,-0.0769764537,-0.0523310787
2025-01-08T00:00:00.000,-0.0062239975,-0.0832004512,-0.0585550762
2025-01-24T00:00:00.000,-0.0744254421,-0.1576258933,-0.1329805183
2025-02-07T00:00:00.000,-0.0082391496,-0.1658650429,-0.1412196679
2025-02-24T00:00:00.000,-0.011775363,-0.1776404059,-0.1529950309
2025-03-10T00:00:00.000,-0.0519797202,-0.2296201261,-0.2049747511
2025-03-24T00:00:00.000,-0.0451003005,-0.2747204266,-0.2500750516
2025-04-07T00:00:00.000,-0.1299769905,-0.404697417,-0.3800520421
2025-04-22T00:00:00.000,-0.0006465329,-0.40534395,-0.380698575
2025-05-06T00:00:00.000,0.0788320159,-0.3265119341,-0.3018665591
2025-05-20T00:00:00.000,-0.0234462086,-0.3499581427,-0.3253127677
2025-06-04T00:00:00.000,0.0810554966,-0.2689026461,-0.2442572711
2025-06-18T00:00:00.000,0.0002591842,-0.2686434619,-0.2439980869
2025-07-03T00:00:00.000,0.0189737569,-0.249669705,-0.22502433
2025-07-18T00:00:00.000,0.0930555463,-0.1566141587,-0.1319687837
2025-08-01T00:00:00.000,-0.0223113131,-0.1789254718,-0.1542800968
2025-08-15T00:00:00.000,-0.0761250019,-0.2550504737,-0.2304050987
2025-08-29T00:00:00.000,0.052589789,-0.2024606848,-0.1778153098
2025-09-15T00:00:00.000,-0.0433231519,-0.2457838367,-0.2211384617
2025-09-29T00:00:00.000,-0.0354551009,-0.2812389376,-0.2565935626
2025-10-13T00:00:00.000,-0.003511034,-0.2847499715,-0.2601045965
2025-10-27T00:00:00.000,0.0210850726,-0.263664899,-0.239019524
2025-11-10T00:00:00.000,-0.1024754764,-0.3661403753,-0.3414950003
2025-11-24T00:00:00.000,-0.0484712309,-0.4146116063,-0.3899662313
2025-12-09T00:00:00.000,-0.0069751434,-0.4215867497,-0.3969413747
2025-12-23T00:00:00.000,-0.0356794094,-0.4572661591,-0.4326207841
2026-01-08T00:00:00.000,-1.80798e-05,-0.4572842388,-0.4326388639
2026-01-23T00:00:00.000,-0.0312805858,-0.4885648247,-0.4639194497
2026-02-06T00:00:00.000,-0.0141789969,-0.5027438215,-0.4780984465
2026-02-23T00:00:00.000,-0.0048469462,-0.5075907677,-0.4829453928
2026-03-09T00:00:00.000,-0.0180502348,-0.5256410026,-0.5009956276
2026-03-23T00:00:00.000,-0.0842105178,-0.6098515204,-0.5852061454
2026-04-07T00:00:00.000,0.0465097074,-0.563341813,-0.538696438
2026-05-05T00:00:00.000,-0.0102837934,-0.5736256064,-0.5489802314
2026-05-19T00:00:00.000,-0.0524901675,-0.6261157739,-0.6014703989
2026-05-29T00:00:00.000,-0.036548611,-0.6626643849,-0.6380190099
