symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,sleeve_weight,weighted_net_return,forced_end_of_history_exit
AZPN-202503,Momentum,2024-08-28,2024-08-29,2024-09-27,220.2899932861,237.2200012207,0.1677573785,0.0768532773,0.05,0.0268532773,0.25,0.0067133193,False
AAOI,Momentum,2024-09-26,2024-09-27,2024-10-25,14.8299999237,17.4400005341,0.6239035752,0.1759946476,0.05,0.1259946476,0.25,0.0314986619,False
ALTM-202503,Momentum,2024-10-24,2024-10-25,2024-11-22,5.4899997711,5.2899999619,0.9503546561,-0.0364298393,0.05,-0.0864298393,0.25,-0.0216074598,False
AAOI,Momentum,2024-11-21,2024-11-22,2024-12-23,35.8216018677,36.7200012207,1.0343838652,0.0250798207,0.05,-0.0249201793,0.25,-0.0062300448,False
AAPU,Momentum,2024-12-20,2024-12-23,2025-01-24,35.7587661743,26.9012565613,0.2295633077,-0.2477017683,0.05,-0.2977017683,0.25,-0.0744254421,False
ACCD-202504,Momentum,2025-01-23,2025-01-24,2025-02-24,6.9000000954,6.9200000763,0.9798850083,0.0028985479,0.05,-0.0471014521,0.25,-0.011775363,False
AKRO-202512,Momentum,2025-02-21,2025-02-24,2025-03-24,51.8400001526,45.0800018311,0.9816513935,-0.1304012018,0.05,-0.1804012018,0.25,-0.0451003005,False
ABEV,Momentum,2025-03-21,2025-03-24,2025-04-22,2.1847839355,2.2883729935,0.2410552411,0.0474138684,0.05,-0.0025861316,0.25,-0.0006465329,False
AAAU,Momentum,2025-04-21,2025-04-22,2025-05-20,34.0299987793,32.5400009155,0.1331658402,-0.0437848345,0.05,-0.0937848345,0.25,-0.0234462086,False
AAOI,Momentum,2025-05-19,2025-05-20,2025-06-18,18.8099994659,19.7700004578,0.8945274183,0.0510367368,0.05,0.0010367368,0.25,0.0002591842,False
ABCL,Momentum,2025-06-17,2025-06-18,2025-07-18,3.1500000954,4.4800000191,0.5445544134,0.4222221852,0.05,0.3722221852,0.25,0.0930555463,False
AAOI,Momentum,2025-07-17,2025-07-18,2025-08-15,30.0,22.3649997711,0.7532776444,-0.2545000076,0.05,-0.3045000076,0.25,-0.0761250019,False
APLS-202605,Momentum,2025-08-14,2025-08-15,2025-09-15,27.8199996948,24.3899993896,0.3782434919,-0.1232926076,0.05,-0.1732926076,0.25,-0.0433231519,False
AAOI,Momentum,2025-09-12,2025-09-15,2025-10-13,28.0900001526,29.1000003815,0.2884340504,0.0359558641,0.05,-0.0140441359,0.25,-0.003511034,False
AARD,Momentum,2025-10-10,2025-10-13,2025-11-10,16.3099994659,10.4399995804,0.8928987125,-0.3599019054,0.05,-0.4099019054,0.25,-0.1024754764,False
ATXS-202601,Momentum,2025-11-07,2025-11-10,2025-12-09,12.6700000763,12.9499998093,0.505415114,0.0220994263,0.05,-0.0279005737,0.25,-0.0069751434,False
AARD,Momentum,2025-12-08,2025-12-09,2026-01-08,13.8199996948,14.5100002289,0.3629190559,0.0499276808,0.05,-7.23192e-05,0.25,-1.80798e-05,False
AA,Momentum,2026-01-07,2026-01-08,2026-02-06,59.3676147461,58.9689025879,0.4111561446,-0.0067159875,0.05,-0.0567159875,0.25,-0.0141789969,False
AAP,Momentum,2026-02-05,2026-02-06,2026-03-09,52.0189285278,50.8640594482,0.2917051645,-0.0222009394,0.05,-0.0722009394,0.25,-0.0180502348,False
AAOI,Momentum,2026-03-06,2026-03-09,2026-04-07,95.1750030518,117.6399993896,1.5066876253,0.2360388297,0.05,0.1860388297,0.25,0.0465097074,False
APLS-202605,Momentum,2026-04-06,2026-04-07,2026-05-05,40.6100006104,40.9700012207,1.0244146331,0.0088648265,0.05,-0.0411351735,0.25,-0.0102837934,False
