source,symbol,status,trade_count,opening_shock,relative_opening_volume,first_open,decision,entry_timestamp,entry_price,exit_timestamp,exit_price,gross_return,net_return,reason
AEHR_2023-03-02,AEHR,pass,1,-0.18089926803764378,16.830820770519264,28.69,TRADE_EXECUTED_PROMOTION_BLOCKED,2023-03-02T14:30:00+00:00,28.61,2023-03-02T16:30:00+00:00,29.65,0.036350926249563154,-0.01364907375043685,
AEHR_2025-04-07,AEHR,pass,0,-0.026470588235294024,2.251404579230351,6.8,NO_TRADE,,,,,,,opening_shock_or_volume_filter_not_met
ARRY_2024-11-06,ARRY,pass,1,-0.11127819548872186,7.627410693689682,6.65,TRADE_EXECUTED_PROMOTION_BLOCKED,2024-11-06T15:08:00+00:00,6.19,2024-11-06T17:08:00+00:00,6.185,-0.0008077544426495775,-0.05080775444264958,
CABA_2022-04-04,CABA,pass,0,0.0,2.9480582524271846,1.95,NO_TRADE,,,,,,,opening_shock_or_volume_filter_not_met
CABA_2022-06-21,CABA,pass,0,0.0,1.6423721140787686,1.04,NO_TRADE,,,,,,,opening_shock_or_volume_filter_not_met
CABA_2022-06-23,CABA,pass,0,0.0,2.0939106058246377,1.01,NO_TRADE,,,,,,,opening_shock_or_volume_filter_not_met
CABA_2022-07-28,CABA,pass,0,-0.024590163934426257,2.1767342043804834,1.22,NO_TRADE,,,,,,,opening_shock_or_volume_filter_not_met
CABA_2025-06-11,CABA,pass,1,-0.18226600985221675,15.145049055625188,2.03,TRADE_EXECUTED_PROMOTION_BLOCKED,2025-06-11T14:14:00+00:00,1.75,2025-06-11T16:14:00+00:00,1.685,-0.037142857142857144,-0.08714285714285715,
CABA_2025-09-18,CABA,pass,0,0.0,2.022466314362394,1.94,NO_TRADE,,,,,,,opening_shock_or_volume_filter_not_met
CRMD_2024-03-12,CRMD,pass,1,-0.11661807580174932,12.841255941956467,3.43,TRADE_EXECUTED_PROMOTION_BLOCKED,2024-03-12T13:30:00+00:00,3.43,2024-03-12T15:30:00+00:00,3.335,-0.0276967930029155,-0.0776967930029155,
IOVA_2022-11-18,IOVA,pass,1,-0.12841091492776902,6.425385967412474,6.23,TRADE_EXECUTED_PROMOTION_BLOCKED,2022-11-18T14:45:00+00:00,5.9,2022-11-18T16:45:00+00:00,6.42,0.08813559322033893,0.03813559322033892,
IOVA_2025-04-07,IOVA,pass,0,-0.03558718861209964,1.8423581264201045,2.81,NO_TRADE,,,,,,,opening_shock_or_volume_filter_not_met
