symbol,range_minutes,reward_r,trades,win_rate,gross_return_sum,net_return_sum,average_net_return,median_net_return
BTC-USD,5,1,59,0.525424,0.01710053,-0.01239947,-0.00021016,0.00031154
BTC-USD,5,3,59,0.389831,0.05022309,0.02072309,0.00035124,-0.00159155
BTC-USD,5,4,59,0.355932,0.03235163,0.00285163,4.833e-05,-0.00179145
BTC-USD,15,1,55,0.563636,0.00091302,-0.02658698,-0.0004834,0.00081476
BTC-USD,15,3,55,0.363636,-0.02743925,-0.05493925,-0.0009989,-0.00211746
BTC-USD,15,4,55,0.345455,-0.01584352,-0.04334352,-0.00078806,-0.00211746
EURUSD=X,5,1,59,0.20339,-0.00556506,-0.03506506,-0.00059432,-0.00085104
EURUSD=X,5,3,59,0.254237,0.00072914,-0.02877086,-0.00048764,-0.00096536
EURUSD=X,5,4,59,0.186441,-0.00568952,-0.03518952,-0.00059643,-0.00096829
EURUSD=X,15,1,58,0.344828,-0.01277595,-0.04177595,-0.00072028,-0.00108034
EURUSD=X,15,3,58,0.224138,-0.00550253,-0.03450253,-0.00059487,-0.00120197
EURUSD=X,15,4,58,0.206897,-0.0030296,-0.0320296,-0.00055223,-0.00120197
GC=F,5,1,50,0.48,0.01834314,-0.00665686,-0.00013314,-0.00104507
GC=F,5,3,50,0.3,0.01466378,-0.01033622,-0.00020672,-0.00338396
GC=F,5,4,50,0.28,-0.00439317,-0.02939317,-0.00058786,-0.00338396
GC=F,15,1,49,0.469388,0.0300109,0.0055109,0.00011247,-0.00019762
GC=F,15,3,49,0.346939,0.01402626,-0.01047374,-0.00021375,-0.00324231
GC=F,15,4,49,0.346939,0.0163542,-0.0081458,-0.00016624,-0.00324231
