ticker,primary_exchange,type,active,delisted_utc,cik,raw_payload_retained
AABA,XNAS,CS,False,2019-10-07T04:00:00Z,0001011006,False
AAC,XNYS,CS,False,2023-11-07T05:00:00Z,0001829432,False
AACQ,XNAS,CS,False,2021-06-25T04:00:00Z,0001802457,False
AACT,XNYS,CS,False,2025-09-25T00:00:00Z,0001853138,False
AADI,XNAS,CS,False,,0001422142,False
AAGR,XNAS,CS,False,2024-09-26T04:00:00Z,0001848898,False
AAI,XNYS,CS,False,2011-05-03T04:00:00Z,0000948846,False
AAIC,XNYS,CS,False,2023-12-15T05:00:00Z,0001209028,False
AAM,XNYS,CS,False,2026-02-03T00:00:00Z,0002012964,False
AAMC,XASE,CS,False,2024-09-17T04:00:00Z,0001555074,False
AAN,XNYS,CS,False,2024-10-04T04:00:00Z,0001821393,False
AAN.A,XNYS,CS,False,2010-12-13T05:00:00Z,0000706688,False
AANw,XNYS,CS,False,2020-12-01T05:00:00Z,0001821393,False
AAPC,XNAS,CS,False,2017-10-05T04:00:00Z,0001630940,False
AAQC,XNYS,CS,False,2022-12-16T05:00:00Z,0001838883,False
AATC,XNAS,CS,False,2022-12-30T05:00:00Z,0000943034,False
AAU,XASE,CS,False,2024-04-05T04:00:00Z,0001015647,False
AAV,XNYS,CS,False,2018-09-24T04:00:00Z,0001468079,False
AAWW,XNAS,CS,False,2023-03-20T04:00:00Z,0001135185,False
ABAC,XNAS,CS,False,2019-01-17T05:00:00Z,0001486299,False
ABAX,XNAS,CS,False,2018-08-01T04:00:00Z,0000881890,False
ABC,XNYS,CS,False,,0001140859,False
ABCD,XNAS,CS,False,2018-12-19T05:00:00Z,0001466815,False
ABCO,XNAS,CS,False,2017-11-20T05:00:00Z,0001157377,False
ABDC,XNAS,CS,False,2020-02-03T05:00:00Z,0001578620,False
ABDw,XNYS,CS,False,,0000712034,False
ABGI,XNAS,CS,False,2023-02-28T05:00:00Z,0001833764,False
ABH,XNYS,CS,False,2012-05-24T04:00:00Z,0001468079,False
ABHw,XNYS,CS,False,2010-12-20T05:00:00Z,0001468079,False
ABIL,XNAS,CS,False,2019-12-27T05:00:00Z,0001652866,False
ABIO,XNAS,CS,False,2024-09-03T04:00:00Z,0000907654,False
ABK,XNYS,CS,False,2010-11-10T05:00:00Z,0000874501,False
ABL,XNAS,CS,False,2025-12-30T00:00:00Z,0001814287,False
ABLLL,XNAS,CS,False,2025-12-30T00:00:00Z,0001814287,False
ABMD,XNAS,CS,False,2022-12-23T05:00:00Z,0000815094,False
ABN,XNYS,CS,False,2008-04-28T04:00:00Z,,False
ABP,XNAS,CS,False,2026-02-23T00:00:00Z,0001893219,False
ABS,XNYS,CS,False,2006-06-02T04:00:00Z,0000003333,False
ABST,XNAS,CS,False,2023-07-28T04:00:00Z,0001071058,False
ABTL,XNAS,CS,False,2017-10-09T04:00:00Z,0001023364,False
ABTX,XNAS,CS,False,2022-10-03T04:00:00Z,0001642081,False
ABTw,XNYS,CS,False,2013-01-02T05:00:00Z,0000001800,False
ABV,XNYS,CS,False,2013-11-11T05:00:00Z,0001113172,False
ABV.C,XNYS,CS,False,2013-11-11T05:00:00Z,0001113172,False
ABVT,XNYS,CS,False,2012-07-03T04:00:00Z,0001043533,False
ABY,XNAS,CS,False,2017-11-14T05:00:00Z,0001601072,False
AC,XNYS,CS,False,2025-09-05T00:00:00Z,0001642122,False
AC,XNYS,CS,False,2025-09-05T00:00:00Z,0001642122,False
ACAB,XNAS,CS,False,2024-11-13T05:00:00Z,0001893219,False
ACAC,XNAS,CS,False,2024-09-27T04:00:00Z,0001914023,False
ACAH,XNAS,CS,False,2024-02-26T05:00:00Z,0001836274,False
ACAM,XNAS,CS,False,2021-01-22T05:00:00Z,0001759008,False
ACAQ,XASE,CS,False,2023-10-20T04:00:00Z,0001869141,False
ACAS,XNAS,CS,False,2017-01-04T05:00:00Z,0000817473,False
ACAT,XNAS,CS,False,2017-03-07T05:00:00Z,0000719866,False
ACAX,XNAS,CS,False,2024-01-09T05:00:00Z,0001897245,False
ACBA,XNAS,CS,False,2024-05-24T04:00:00Z,0001844389,False
ACBI,XNAS,CS,False,2022-03-01T05:00:00Z,0001461755,False
ACC,XNYS,CS,False,2022-08-10T04:00:00Z,0001283630,False
ACCD,XNAS,CS,False,2025-04-09T00:00:00Z,0001481646,False
ACCP,XNAS,CS,False,2017-07-24T04:00:00Z,,False
ACDI,XNYS,CS,False,2023-02-16T05:00:00Z,0001850316,False
ACE,XNYS,CS,False,2016-01-15T05:00:00Z,0000896159,False
ACER,XNAS,CS,False,2023-11-09T05:00:00Z,0001069308,False
ACEV,XNAS,CS,False,2022-11-23T05:00:00Z,0001813658,False
ACF,XNYS,CS,False,2010-10-01T04:00:00Z,0001405287,False
ACFC,XNAS,CS,False,2018-05-29T04:00:00Z,0001404296,False
ACG,XNYS,CS,False,2016-04-19T04:00:00Z,0000816754,False
ACGN,XNAS,CS,False,2023-08-22T04:00:00Z,0000861838,False
ACHN,XNAS,CS,False,2020-01-29T05:00:00Z,0001070336,False
ACIA,XNAS,CS,False,2021-03-02T05:00:00Z,0001651235,False
ACL,XNYS,CS,False,2011-04-11T04:00:00Z,0001167379,False
ACLL,XNAS,CS,False,2020-07-20T04:00:00Z,,False
ACLX,XNAS,CS,False,2026-04-29T00:00:00Z,0001786205,False
ACMP,XNYS,CS,False,2015-02-03T05:00:00Z,0001483096,False
ACND,XNYS,CS,False,2021-07-22T04:00:00Z,0001805651,False
ACO,XNYS,CS,False,2014-05-12T04:00:00Z,0000919991,False
ACOR,XNAS,CS,False,2024-04-12T04:00:00Z,0001008848,False
ACPW,XNAS,CS,False,2016-11-30T05:00:00Z,0001044435,False
ACQR,XNAS,CS,False,2023-03-13T04:00:00Z,0001837393,False
ACRO,XNYS,CS,False,2023-12-19T05:00:00Z,0001847891,False
ACRX,XNAS,CS,False,,0001427925,False
ACS,XNYS,CS,False,2010-02-08T05:00:00Z,0000002135,False
ACSF,XNAS,CS,False,2018-08-27T04:00:00Z,0001581934,False
ACST,XNAS,CS,False,,0001444192,False
ACTA,XNAS,CS,False,2018-02-08T05:00:00Z,0001085621,False
ACTC,XNAS,CS,False,2021-06-15T04:00:00Z,0001820630,False
ACTD,XNAS,CS,False,2022-07-22T04:00:00Z,0001842279,False
ACTT,XNAS,CS,False,2020-06-25T04:00:00Z,0001753706,False
ACTw,XNYS,CS,False,2014-07-02T04:00:00Z,0000884629,False
ACUR,XNAS,CS,False,2017-02-23T05:00:00Z,0000786947,False
ACVw,XNYS,CS,False,2006-11-17T05:00:00Z,0000003327,False
ACW,XNYS,CS,False,2016-11-21T05:00:00Z,0000817979,False
ACXM,XNAS,CS,False,2018-10-02T04:00:00Z,0000733269,False
ACY,XASE,CS,False,2022-03-28T04:00:00Z,0001036848,False
ADAL,XNAS,CS,False,2023-05-03T04:00:00Z,0001853928,False
ADD,XNAS,CS,False,2025-08-22T00:00:00Z,0001747661,False
ADER,XNAS,CS,False,2023-09-26T04:00:00Z,0001822912,False
ADES,XNAS,CS,False,,0001515156,False
ADEX,XASE,CS,False,2024-01-03T05:00:00Z,0001830029,False
