ticker,primary_exchange,type,close,volume,dollar_volume,passes_liquidity_filter,raw_payload_retained
A,XNYS,CS,114.960000,2036584,234125713.77,True,False
AA,XNYS,CS,71.380000,6952378,496260753.11,True,False
AAL,XNAS,CS,13.850000,99284834,1375094950.23,True,False
AAMI,XNYS,CS,71.580000,529377,37892770.69,True,False
AAOI,XNAS,CS,181.490000,10301821,1869677492.70,True,False
AAON,XNAS,CS,134.600000,944171,127085421.25,True,False
AAP,XNYS,CS,57.950000,3468637,201007526.51,True,False
AAPL,XNAS,CS,308.820000,43670224,13486238486.56,True,False
AAT,XNYS,CS,22.780000,340722,7761642.55,True,False
AAUC,XNYS,CS,27.320000,2847855,77803398.21,True,False
AB,XNYS,CS,37.930000,564228,21401158.09,True,False
ABAT,XNAS,CS,3.230000,5328832,17212126.54,True,False
ABBV,XNYS,CS,215.700000,5407981,1166501546.27,True,False
ABCB,XNYS,CS,84.690000,300263,25429280.99,True,False
ABCL,XNAS,CS,5.200000,6466570,33626163.24,True,False
ABEO,XNAS,CS,5.440000,671999,3655671.92,True,False
ABG,XNYS,CS,187.720000,112418,21103152.00,True,False
ABM,XNYS,CS,40.190000,390857,15708536.29,True,False
ABNB,XNAS,CS,132.350000,3097907,410007958.96,True,False
ABR,XNYS,CS,5.570000,6091381,33928990.79,True,False
ABSI,XNAS,CS,5.100000,2242864,11438607.55,True,False
ABT,XNYS,CS,87.410000,9519417,832092237.08,True,False
ABTC,XNAS,CS,1.110000,7968136,8844631.10,True,False
ABUS,XNAS,CS,4.350000,847357,3686001.44,True,False
ABX,XNYS,CS,9.040000,441430,3990524.09,True,False
ACA,XNYS,CS,120.750000,334069,40338885.78,True,False
ACAD,XNAS,CS,21.100000,1376987,29054426.76,True,False
ACB,XNAS,CS,3.460000,422104,1460478.78,True,False
ACCO,XNYS,CS,3.820000,966264,3691126.65,True,False
ACDC,XNAS,CS,7.150000,1271674,9092467.42,True,False
ACEL,XNYS,CS,11.650000,207577,2418268.77,True,False
ACGL,XNAS,CS,96.300000,1942055,187019920.23,True,False
ACH,XNYS,CS,2.830000,617401,1747243.89,True,False
