as_of_date,ticker,primary_exchange,type,active,list_date,delisted_date,is_member,raw_payload_retained
2024-01-02,A,XNYS,CS,True,1999-11-18,,True,False
2024-01-02,AA,XNYS,CS,True,2016-10-18,,True,False
2024-01-02,AACB,XNAS,CS,True,2025-04-07,,False,False
2024-01-02,AACI,XNAS,CS,True,2026-03-27,,False,False
2024-01-02,AACO,XNAS,CS,True,2026-04-13,,False,False
2024-01-02,AAL,XNAS,CS,True,1972-06-01,,True,False
2024-01-02,AAME,XNAS,CS,True,1973-01-02,,True,False
2024-01-02,AAMI,XNYS,CS,True,2014-10-09,,True,False
2024-01-02,AAOI,XNAS,CS,True,2013-09-26,,True,False
2024-01-02,AAON,XNAS,CS,True,1990-12-01,,True,False
2026-05-22,A,XNYS,CS,True,1999-11-18,,True,False
2026-05-22,AA,XNYS,CS,True,2016-10-18,,True,False
2026-05-22,AACB,XNAS,CS,True,2025-04-07,,True,False
2026-05-22,AACI,XNAS,CS,True,2026-03-27,,True,False
2026-05-22,AACO,XNAS,CS,True,2026-04-13,,True,False
2026-05-22,AAL,XNAS,CS,True,1972-06-01,,True,False
2026-05-22,AAME,XNAS,CS,True,1973-01-02,,True,False
2026-05-22,AAMI,XNYS,CS,True,2014-10-09,,True,False
2026-05-22,AAOI,XNAS,CS,True,2013-09-26,,True,False
2026-05-22,AAON,XNAS,CS,True,1990-12-01,,True,False
