event_id,symbol,event_date,admissible,matured_as_of_2026_06_01,covered_by_trade_log,trade_count,max_exit_date,window_matured_as_of_2026_06_01,mapping_issue,loaded_symbol,price_failure_reason,outcome_status,negative_retention_flag
HYB-PDUFA-001,SUPN,2025-02-01,true,true,true,3,2025-01-31,true,false,true,,unknown,false
HYB-PDUFA-002,KALV,2025-06-17,true,true,true,3,2025-06-16,true,false,true,,delayed,true
HYB-PDUFA-003,FBIO,2025-06-30,true,true,true,3,2025-06-27,true,false,true,,CRL,true
HYB-PDUFA-004,REPL,2025-07-22,true,true,true,3,2025-07-21,true,false,true,,CRL,true
HYB-PDUFA-005,TNXP,2025-08-15,true,true,true,3,2025-08-14,true,false,true,,unknown,false
HYB-PDUFA-006,CAPR,2025-08-31,true,true,true,3,2025-08-29,true,false,true,,CRL,true
HYB-PDUFA-007,AGIO,2025-09-07,true,true,true,3,2025-09-05,true,false,true,,delayed,true
HYB-PDUFA-008,GKOS,2025-10-20,true,true,true,3,2025-10-17,true,false,true,,unknown,false
HYB-PDUFA-009,SNDX,2025-10-25,true,true,true,3,2025-10-24,true,false,true,,unknown,false
HYB-PDUFA-010,MIST,2025-12-13,true,true,true,3,2025-12-12,true,false,true,,unknown,false
HYB-PDUFA-011,DNLI,2026-01-05,true,true,true,3,2026-01-02,true,false,true,,unknown,false
HYB-PDUFA-012,AQST,2026-01-31,true,true,true,3,2026-01-30,true,false,true,,unknown,false
EXP-PDUFA-013,PTCT,2025-08-19,true,true,true,3,2025-08-18,true,false,true,,CRL,true
EXP-PDUFA-014,CING,2026-05-31,true,true,true,3,2026-05-29,true,false,true,,unresolved,true
EXP-PDUFA-015,TLX.AX,2025-08-27,true,true,false,0,,false,true,false,ValueError,unknown,false
EXP-PDUFA-016,RARE,2025-08-18,true,true,true,3,2025-08-15,true,false,true,,unknown,false
EXP-PDUFA-017,ATRA,2025-01-15,true,true,true,3,2025-01-14,true,true,true,,CRL,true
EXP-PDUFA-018,KRTX,2024-09-26,true,true,false,0,,false,true,false,ValueError,approved,false
EXP-PDUFA-019,DCPH,2025-02-17,true,true,false,0,,false,true,false,ValueError,approved,false
EXP-PDUFA-020,OTLK,2025-12-31,true,true,true,3,2025-12-30,true,false,true,,CRL,true
EXP-PDUFA-021,UNCY,2025-06-28,true,true,true,3,2025-06-27,true,false,true,,CRL,true
EXP-PDUFA-022,UNCY,2026-06-29,true,false,false,0,,false,false,true,,unresolved,true
EXP-PDUFA-023,ORCA-PRIVATE,2026-04-06,true,true,false,0,,false,true,false,ValueError,unresolved,true
EXP-PDUFA-024,VRDN,2026-06-30,true,false,false,0,,false,false,true,,unresolved,true
EXP-PDUFA-025,VERA,2026-07-07,true,false,false,0,,false,false,true,,unresolved,true
EXP-PDUFA-026,SVRA,2026-08-22,true,false,false,0,,false,false,true,,delayed,true
EXP-PDUFA-027,ASND,2026-02-28,true,true,true,3,2026-02-27,true,false,true,,delayed,true
EXP-PDUFA-028,IONS,2026-09-22,true,false,false,0,,false,false,true,,unresolved,true
EXP-PDUFA-029,BBIO,2026-11-27,true,false,false,0,,false,false,true,,unresolved,true
EXP-PDUFA-030,COGT,2026-11-30,true,false,false,0,,false,false,true,,unresolved,true
EXP-PDUFA-031,VRTX,2026-11-30,true,false,false,0,,false,true,true,,unresolved,true
EXP-PDUFA-032,RARE,2026-08-23,true,false,false,0,,false,false,true,,unresolved,true
EXP-PDUFA-033,SAVA,2024-11-25,false,true,false,0,,false,false,false,ValueError,failed,true
EXP-PDUFA-034,MNKD,2026-07-26,true,false,false,0,,false,false,true,,unresolved,true
