cik,symbol,title,exchange,security_type,first_trade_date,last_trade_date,raw_payload_retained
0001045810,NVDA,NVIDIA CORP,,,,,False
0001652044,GOOGL,Alphabet Inc.,,,,,False
0000320193,AAPL,Apple Inc.,,,,,False
0000789019,MSFT,MICROSOFT CORP,,,,,False
0001018724,AMZN,AMAZON COM INC,,,,,False
0001730168,AVGO,Broadcom Inc.,,,,,False
0001318605,TSLA,"Tesla, Inc.",,,,,False
0001326801,META,"Meta Platforms, Inc.",,,,,False
0000104169,WMT,Walmart Inc.,,,,,False
0001067983,BRK-B,BERKSHIRE HATHAWAY INC,,,,,False
0000059478,LLY,ELI LILLY & Co,,,,,False
0000723125,MU,MICRON TECHNOLOGY INC,,,,,False
0000019617,JPM,JPMORGAN CHASE & CO,,,,,False
0000002488,AMD,ADVANCED MICRO DEVICES INC,,,,,False
0000034088,XOM,EXXON MOBIL CORP,,,,,False
0001403161,V,VISA INC.,,,,,False
0000050863,INTC,INTEL CORP,,,,,False
0000937966,ASML,ASML HOLDING NV,,,,,False
0000200406,JNJ,JOHNSON & JOHNSON,,,,,False
0001341439,ORCL,ORACLE CORP,,,,,False
0000909832,COST,COSTCO WHOLESALE CORP /NEW,,,,,False
0000858877,CSCO,"CISCO SYSTEMS, INC.",,,,,False
0001141391,MA,Mastercard Inc,,,,,False
0000018230,CAT,CATERPILLAR INC,,,,,False
0002070829,CYATY,"Contemporary Amperex Technology Co., Limited/ADR",,,,,False
