symbol,event_date,is_sec8k_event,pre_window_start,pre_window_end,pre_window_days,baseline_lookback_days,pre_window_return,pre_window_abs_return,pre_window_volume_ratio,provider_query_performed,market_data_downloaded,source
AEHR,2022-02-08,False,2022-02-01,2022-02-07,5,20,-0.0794007491,0.0794007491,0.445574,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-02-09,False,2022-02-02,2022-02-08,5,20,0.0975609756,0.0975609756,0.43823187,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-02-10,False,2022-02-03,2022-02-09,5,20,0.2091131001,0.2091131001,0.44706468,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-02-11,False,2022-02-04,2022-02-10,5,20,0.1790429043,0.1790429043,0.46232783,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-02-14,False,2022-02-07,2022-02-11,5,20,0.0797396257,0.0797396257,0.66894845,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-02-15,False,2022-02-08,2022-02-14,5,20,-0.0222222222,0.0222222222,0.67410675,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-02-16,False,2022-02-09,2022-02-15,5,20,-0.0255720054,0.0255720054,0.68129698,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-02-17,False,2022-02-10,2022-02-16,5,20,0.011196641,0.011196641,0.59335446,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-02-18,False,2022-02-11,2022-02-17,5,20,0.0278824416,0.0278824416,0.5253298,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-02-22,False,2022-02-14,2022-02-18,5,20,-0.046969697,0.046969697,0.56225895,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-02-23,False,2022-02-15,2022-02-22,5,20,-0.1698895028,0.1698895028,0.6932037,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-02-24,False,2022-02-16,2022-02-23,5,20,-0.1882352941,0.1882352941,0.53980706,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-02-25,False,2022-02-17,2022-02-24,5,20,-0.0791788856,0.0791788856,0.79764409,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-02-28,False,2022-02-18,2022-02-25,5,20,0.0214626391,0.0214626391,0.87230784,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-01,False,2022-02-22,2022-02-28,5,20,0.1214642263,0.1214642263,1.10823926,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-02,False,2022-02-23,2022-03-01,5,20,0.147485081,0.147485081,0.69974775,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-03,False,2022-02-24,2022-03-02,5,20,0.1162420382,0.1162420382,0.71555448,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-04,False,2022-02-25,2022-03-03,5,20,0.0147859922,0.0147859922,0.70978889,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-07,False,2022-02-28,2022-03-04,5,20,-0.1216617211,0.1216617211,0.75548266,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-08,False,2022-03-01,2022-03-07,5,20,-0.1827637444,0.1827637444,0.70978889,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-09,False,2022-03-02,2022-03-08,5,20,-0.2289586305,0.2289586305,1.06360955,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-10,False,2022-03-03,2022-03-09,5,20,-0.1211656442,0.1211656442,1.14082061,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-11,False,2022-03-04,2022-03-10,5,20,-0.0768581081,0.0768581081,1.18027669,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-14,False,2022-03-07,2022-03-11,5,20,-0.0472727273,0.0472727273,1.10600887,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-15,False,2022-03-08,2022-03-14,5,20,-0.150786309,0.150786309,1.03115387,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-16,False,2022-03-09,2022-03-15,5,20,-0.184991274,0.184991274,0.97116288,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-17,False,2022-03-10,2022-03-16,5,20,-0.0365965233,0.0365965233,1.63640903,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-18,False,2022-03-11,2022-03-17,5,20,0.0276717557,0.0276717557,1.66180764,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-21,False,2022-03-14,2022-03-18,5,20,0.2331154684,0.2331154684,1.73650939,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-22,False,2022-03-15,2022-03-21,5,20,0.1070663812,0.1070663812,0.92344214,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-23,False,2022-03-16,2022-03-22,5,20,0.037037037,0.037037037,0.88371719,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-24,False,2022-03-17,2022-03-23,5,20,-0.0018570102,0.0018570102,0.88371719,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-25,False,2022-03-18,2022-03-24,5,20,-0.0265017668,0.0265017668,0.88371719,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-28,False,2022-03-21,2022-03-25,5,20,0.0212765957,0.0212765957,0.77793481,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-29,False,2022-03-22,2022-03-28,5,20,-0.0558608059,0.0558608059,0.73140483,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-30,False,2022-03-23,2022-03-29,5,20,0.0223255814,0.0223255814,0.73140483,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-03-31,False,2022-03-24,2022-03-30,5,20,-0.0444646098,0.0444646098,0.67643928,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-04-01,True,2022-03-25,2022-03-31,5,20,0.0179924242,0.0179924242,0.73140483,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-04-04,False,2022-03-28,2022-04-01,5,20,-0.0174587779,0.0174587779,1.18605664,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-04-05,False,2022-03-29,2022-04-04,5,20,-0.0318471338,0.0318471338,1.25318175,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-04-06,False,2022-03-30,2022-04-05,5,20,-0.032288699,0.032288699,1.15955806,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-04-07,False,2022-03-31,2022-04-06,5,20,-0.1106976744,0.1106976744,1.15955806,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-04-08,False,2022-04-01,2022-04-07,5,20,-0.0671273445,0.0671273445,0.95362424,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-04-11,False,2022-04-04,2022-04-08,5,20,-0.1306390977,0.1306390977,0.95362424,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-04-12,False,2022-04-05,2022-04-11,5,20,-0.1256133464,0.1256133464,0.95362424,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-04-13,False,2022-04-06,2022-04-12,5,20,-0.0627615063,0.0627615063,1.22481035,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-04-14,False,2022-04-07,2022-04-13,5,20,-0.0042328042,0.0042328042,1.24914259,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-04-18,False,2022-04-08,2022-04-14,5,20,-0.0281081081,0.0281081081,1.26419242,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-04-19,False,2022-04-11,2022-04-18,5,20,-0.0056116723,0.0056116723,0.85901879,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-04-20,False,2022-04-12,2022-04-19,5,20,0.0122767857,0.0122767857,0.76333974,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-04-21,False,2022-04-13,2022-04-20,5,20,-0.0541976621,0.0541976621,0.75179697,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
AEHR,2022-04-22,False,2022-04-14,2022-04-21,5,20,-0.0901001112,0.0901001112,0.79176504,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
