symbol,event_date,bars_path,status,first15_return,first15_volume,control_first15_volume_median,first15_volume_ratio,positive_oracle_candidate,entry_price,exit_price,gross_return,net_return_after_500bps
AEHR,2022-04-01,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\AEHR_2022-04-01\bars.csv,evaluated,-0.023364486,87065.0,15582.0,5.587537,False,,,0.0,0.0
AEHR,2022-10-07,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\AEHR_2022-10-07\bars.csv,evaluated,0.0735989196,220183.0,15726.0,14.001208,True,16.49,17.23,0.0448756822,-0.0051243178
AEHR,2023-01-06,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\AEHR_2023-01-06\bars.csv,evaluated,0.0470980019,216549.0,19141.0,11.313359,True,22.67,22.7,0.0013233348,-0.0486766652
AEHR,2023-03-31,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\AEHR_2023-03-31\bars.csv,evaluated,-0.0493716338,308023.0,33719.0,9.134998,False,,,0.0,0.0
AEHR,2023-07-14,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\AEHR_2023-07-14\bars.csv,evaluated,0.0715893742,335799.0,20718.0,16.20808,True,47.87,48.8,0.0194276165,-0.0305723835
AEHR,2023-10-06,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\AEHR_2023-10-06\bars.csv,evaluated,-0.0557263643,320980.0,13941.0,23.024173,False,,,0.0,0.0
AEHR,2024-01-10,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\AEHR_2024-01-10\bars.csv,evaluated,0.0577942736,547590.0,47701.0,11.479634,True,19.67,18.565,-0.0561769192,-0.1061769192
AEHR,2024-04-10,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\AEHR_2024-04-10\bars.csv,evaluated,0.1078947368,101220.0,18169.0,5.571028,True,12.47,11.5,-0.0777866881,-0.1277866881
ARRY,2022-04-06,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\ARRY_2022-04-06\bars.csv,evaluated,-0.0976594027,446894.0,78527.0,5.69096,False,,,0.0,0.0
ARRY,2022-05-11,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\ARRY_2022-05-11\bars.csv,evaluated,0.145631068,278393.0,143420.0,1.941103,False,,,0.0,0.0
