symbol,event_date,bars_path,status,first15_return,first15_volume,control_first15_volume_median,first15_volume_ratio,positive_oracle_candidate,entry_price,exit_price,gross_return,net_return_after_500bps
AEHR,2022-04-01,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\AEHR_2022-04-01\bars.csv,evaluated,-0.023364486,87065.0,15582.0,5.587537,False,,,0.0,0.0
AEHR,2022-10-07,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\AEHR_2022-10-07\bars.csv,evaluated,0.0735989196,220183.0,15726.0,14.001208,True,16.49,17.23,0.0448756822,-0.0051243178
AEHR,2023-01-06,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\AEHR_2023-01-06\bars.csv,evaluated,0.0470980019,216549.0,19141.0,11.313359,True,22.67,22.7,0.0013233348,-0.0486766652
AEHR,2023-03-31,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\AEHR_2023-03-31\bars.csv,evaluated,-0.0493716338,308023.0,33719.0,9.134998,False,,,0.0,0.0
ARRY,2022-04-06,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\ARRY_2022-04-06\bars.csv,evaluated,-0.0976594027,446894.0,78527.0,5.69096,False,,,0.0,0.0
ARRY,2022-05-11,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\ARRY_2022-05-11\bars.csv,evaluated,0.145631068,278393.0,143420.0,1.941103,False,,,0.0,0.0
ARRY,2022-08-10,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\ARRY_2022-08-10\bars.csv,evaluated,-0.0114231318,522837.0,253946.0,2.058851,False,,,0.0,0.0
ARRY,2022-11-09,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\ARRY_2022-11-09\bars.csv,evaluated,-0.0297997069,578952.0,72238.0,8.014508,False,,,0.0,0.0
ARRY,2023-03-02,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\ARRY_2023-03-02\bars.csv,evaluated,-0.0111761575,240134.0,80820.0,2.97122,False,,,0.0,0.0
ARRY,2023-03-22,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\ARRY_2023-03-22\bars.csv,evaluated,0.0105042017,181561.0,111939.0,1.621964,False,,,0.0,0.0
ARRY,2023-05-10,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\ARRY_2023-05-10\bars.csv,evaluated,0.0115321252,377775.0,77898.0,4.849611,True,18.63,18.675,0.0024154589,-0.0475845411
CABA,2022-03-17,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CABA_2022-03-17\bars.csv,purged_incomplete_intraday_window,,,,,False,,,0.0,0.0
CABA,2022-05-12,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CABA_2022-05-12\bars.csv,purged_incomplete_intraday_window,,,,,False,,,0.0,0.0
CABA,2022-08-11,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CABA_2022-08-11\bars.csv,purged_incomplete_intraday_window,,,,,False,,,0.0,0.0
CABA,2022-11-10,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CABA_2022-11-10\bars.csv,purged_incomplete_intraday_window,,,,,False,,,0.0,0.0
CABA,2023-03-16,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CABA_2023-03-16\bars.csv,evaluated,-0.0547752809,16922.0,3032.0,5.581135,False,,,0.0,0.0
CABA,2023-05-11,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CABA_2023-05-11\bars.csv,purged_incomplete_intraday_window,,,,,False,,,0.0,0.0
CRMD,2022-03-30,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CRMD_2022-03-30\bars.csv,purged_incomplete_intraday_window,,,,,False,,,0.0,0.0
CRMD,2022-05-13,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CRMD_2022-05-13\bars.csv,evaluated,0.0341614907,6821.0,5660.0,1.205124,False,,,0.0,0.0
CRMD,2022-08-11,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CRMD_2022-08-11\bars.csv,evaluated,0.027607362,50341.0,25627.0,1.964374,False,,,0.0,0.0
CRMD,2022-11-10,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CRMD_2022-11-10\bars.csv,purged_incomplete_intraday_window,,,,,False,,,0.0,0.0
CRMD,2023-03-30,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CRMD_2023-03-30\bars.csv,purged_incomplete_intraday_window,,,,,False,,,0.0,0.0
CRMD,2023-05-16,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\CRMD_2023-05-16\bars.csv,evaluated,-0.0181451613,12619.0,3227.0,3.910443,False,,,0.0,0.0
IOVA,2022-02-25,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\IOVA_2022-02-25\bars.csv,evaluated,0.0853916725,69783.0,19291.0,3.617386,True,15.46,15.49,0.0019404916,-0.0480595084
IOVA,2022-05-06,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\IOVA_2022-05-06\bars.csv,evaluated,-0.0211978466,47886.0,24231.0,1.976229,False,,,0.0,0.0
IOVA,2022-08-05,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\IOVA_2022-08-05\bars.csv,evaluated,0.0231759657,130165.0,61064.0,2.131616,False,,,0.0,0.0
IOVA,2022-11-04,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\IOVA_2022-11-04\bars.csv,evaluated,-0.012195122,64860.0,33668.0,1.926458,False,,,0.0,0.0
IOVA,2023-03-01,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\IOVA_2023-03-01\bars.csv,evaluated,0.031420765,89977.0,37106.0,2.424864,False,,,0.0,0.0
IOVA,2023-05-10,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\IOVA_2023-05-10\bars.csv,evaluated,-0.0052493438,118798.0,55460.0,2.142048,False,,,0.0,0.0
IOVA,2023-07-11,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_databento_mini_panel_20260522\IOVA_2023-07-11\bars.csv,evaluated,-0.0114795918,841272.0,55543.0,15.146319,False,,,0.0,0.0
