period,drawdown
2018-01-04,0.0
2018-01-09,0.0
2018-01-11,0.0
2018-01-12,-0.0052017
2018-01-16,-0.00095938
2018-01-17,-0.01650737
2018-01-23,-0.00206532
2018-01-31,0.0
2018-02-01,-0.00934205
2018-02-02,-0.00483452
2018-02-05,0.0
2018-02-06,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-13,-0.00017106
2018-02-15,-0.00051765
2018-02-21,-0.00259056
2018-02-23,-0.01254594
2018-02-26,-0.01897059
2018-03-01,-0.02062763
2018-03-02,-0.02101241
2018-03-05,-0.02082605
2018-03-06,-0.02299583
2018-03-07,-0.02097315
2018-03-08,-0.0370866
2018-03-09,-0.0567617
2018-03-12,-0.07020553
2018-03-13,-0.07524631
2018-03-16,-0.08598623
2018-03-19,-0.10831552
2018-03-20,-0.12276003
2018-03-21,-0.12290757
2018-03-22,-0.12349808
2018-03-23,-0.10550984
2018-03-26,-0.11432797
2018-03-27,-0.10816805
2018-03-28,-0.02027232
2018-04-02,-0.01363167
2018-04-03,-0.01768756
2018-04-04,-0.00849261
2018-04-06,-0.01023811
2018-04-09,-0.01100035
2018-04-10,-0.01072011
2018-04-11,-0.01379926
2018-04-12,-0.01435664
2018-04-18,-0.01565106
2018-04-19,-0.01766871
2018-04-20,-0.00623525
2018-04-24,0.0
2018-04-25,0.0
2018-04-26,0.0
2018-04-27,0.0
2018-05-01,0.0
2018-05-02,0.0
2018-05-03,0.0
2018-05-04,-0.00026094
2018-05-08,-0.00296548
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,-0.00556264
2018-05-14,-0.00757972
2018-05-15,-0.00918728
2018-05-16,0.0
2018-05-17,0.0
2018-05-18,0.0
2018-05-21,0.0
2018-05-22,-0.00464691
2018-05-23,0.0
2018-05-24,0.0
2018-05-25,0.0
2018-05-29,0.0
2018-05-30,0.0
2018-05-31,-0.00276202
2018-06-01,0.0
2018-06-04,0.0
2018-06-05,0.0
2018-06-06,0.0
2018-06-11,-0.01260893
2018-06-12,-0.0256328
2018-06-13,-0.03471818
2018-06-14,-0.03161141
2018-06-15,-0.02685681
2018-06-18,-0.02162736
2018-06-19,-0.02167547
2018-06-20,-0.01675591
2018-06-22,-0.01616074
2018-06-25,-0.00736388
2018-06-26,-0.00742253
2018-06-27,-0.00770497
2018-06-29,-0.00777252
2018-07-02,-0.01246957
2018-07-03,-0.01957046
2018-07-05,-0.01944558
2018-07-06,-0.01963773
2018-07-13,-0.01985213
2018-07-17,-0.02125257
2018-07-18,-0.02130649
2018-07-19,-0.02108598
2018-07-20,-0.02090013
2018-07-23,-0.02221802
2018-07-24,-0.05395002
2018-07-25,-0.06964571
2018-07-26,-0.03642911
2018-07-27,-0.04567284
2018-08-01,-0.04087732
2018-08-02,-0.07269724
2018-08-03,-0.06734908
2018-08-06,-0.07835712
2018-08-07,-0.12501627
2018-08-08,-0.13574089
2018-08-09,-0.16239275
2018-08-10,-0.16563656
2018-08-13,-0.18228291
2018-08-14,-0.18608107
2018-08-15,-0.19428037
2018-08-17,-0.21360595
2018-08-22,-0.22018126
2018-08-23,-0.24948088
2018-08-24,-0.249863
2018-08-27,-0.26420702
2018-08-28,-0.28075936
2018-08-29,-0.28816742
2018-08-30,-0.30591121
2018-08-31,-0.3314052
2018-09-04,-0.37511507
2018-09-05,-0.38018726
2018-09-06,-0.40155815
2018-09-07,-0.40764728
2018-09-10,-0.42360225
2018-09-11,-0.44186445
2018-09-12,-0.47781285
2018-09-13,-0.50404571
2018-09-14,-0.54053678
2018-09-17,-0.56152505
2018-09-18,-0.57559294
2018-09-19,-0.58780764
2018-09-20,-0.61063816
2018-09-21,-0.65387217
2018-09-24,-0.66079334
2018-09-25,-0.66987838
2018-09-26,-0.66861107
2018-09-27,-0.67375361
2018-09-28,-0.71023596
2018-10-01,-0.74084883
2018-10-02,-0.73818221
2018-10-03,-0.80560818
2018-10-04,-0.81899888
2018-10-05,-0.79917626
2018-10-08,-0.78050955
2018-10-09,-0.78118285
2018-10-10,-0.82524291
2018-10-11,-0.87248038
2018-10-12,-0.88722014
2018-10-15,-0.88871973
2018-10-16,-0.9071072
2018-10-17,-0.90828905
2018-10-18,-0.92088909
2018-10-19,-0.93592677
2018-10-22,-0.93690899
2018-10-23,-0.94244872
2018-10-24,-1.00463815
2018-10-25,-1.02852532
2018-10-26,-1.00141176
2018-10-29,-0.94907466
2018-10-30,-0.97486686
2018-10-31,-0.9774811
2018-11-01,-0.97113152
2018-11-02,-1.01062195
2018-11-05,-1.03762679
2018-11-06,-1.03453843
2018-11-07,-1.04453087
2018-11-08,-1.04695512
2018-11-09,-1.04671158
2018-11-12,-1.071028
2018-11-13,-1.0871472
2018-11-16,-1.10687752
2018-11-19,-1.08794111
2018-11-20,-1.08270665
2018-11-21,-1.08858428
2018-11-23,-1.10010729
2018-11-26,-1.10171546
2018-11-27,-1.10386481
2018-11-28,-1.11688522
2018-11-29,-1.11767005
2018-11-30,-1.11579202
2018-12-03,-1.13249399
2018-12-04,-1.13443051
2018-12-06,-1.14118591
2018-12-07,-1.11942322
2018-12-10,-1.12117116
2018-12-11,-1.12350961
2018-12-13,-1.13074267
2018-12-14,-1.13483314
2018-12-17,-1.11975809
2018-12-18,-1.12052853
2018-12-19,-1.1037325
2018-12-20,-1.01677207
2018-12-21,-0.83502758
2018-12-24,-0.68997738
2018-12-26,-0.57233337
2018-12-27,-0.57401287
2018-12-31,-0.57539714
2019-01-02,-0.58092265
2019-01-03,-0.52452336
2019-01-04,-0.46935036
2019-01-07,-0.47202223
2019-01-08,-0.47779187
2019-01-09,-0.48012946
2019-01-10,-0.48610082
2019-01-11,-0.48757448
2019-01-14,-0.49173504
2019-01-15,-0.48633644
2019-01-16,-0.48797037
