period,portfolio_return,cumulative_net_return,drawdown
2018-01-04,0.00026598,0.00026598,0.0
2018-01-09,0.00230664,0.00257263,0.0
2018-01-11,0.00514105,0.00771368,0.0
2018-01-12,-0.0052017,0.00251197,-0.0052017
2018-01-16,0.00424232,0.0067543,-0.00095938
2018-01-17,-0.01554799,-0.0087937,-0.01650737
2018-01-23,0.01444205,0.00564835,-0.00206532
2018-01-31,0.00541727,0.01106562,0.0
2018-02-01,-0.00934205,0.00172357,-0.00934205
2018-02-02,0.00450753,0.0062311,-0.00483452
2018-02-05,0.07830025,0.08453135,0.0
2018-02-06,0.02348641,0.10801776,0.0
2018-02-08,0.09743464,0.2054524,0.0
2018-02-09,0.04719138,0.25264378,0.0
2018-02-13,-0.00017106,0.25247271,-0.00017106
2018-02-15,-0.00034658,0.25212613,-0.00051765
2018-02-21,-0.00207291,0.25005322,-0.00259056
2018-02-23,-0.00995538,0.24009784,-0.01254594
2018-02-26,-0.00642464,0.23367319,-0.01897059
2018-03-01,-0.00165704,0.23201615,-0.02062763
2018-03-02,-0.00038478,0.23163137,-0.02101241
2018-03-05,0.00018635,0.23181772,-0.02082605
2018-03-06,-0.00216978,0.22964795,-0.02299583
2018-03-07,0.00202268,0.23167063,-0.02097315
2018-03-08,-0.01611345,0.21555718,-0.0370866
2018-03-09,-0.0196751,0.19588208,-0.0567617
2018-03-12,-0.01344383,0.18243825,-0.07020553
2018-03-13,-0.00504078,0.17739747,-0.07524631
2018-03-16,-0.01073992,0.16665755,-0.08598623
2018-03-19,-0.02232929,0.14432826,-0.10831552
2018-03-20,-0.01444451,0.12988375,-0.12276003
2018-03-21,-0.00014755,0.1297362,-0.12290757
2018-03-22,-0.00059051,0.1291457,-0.12349808
2018-03-23,0.01798824,0.14713394,-0.10550984
2018-03-26,-0.00881813,0.13831581,-0.11432797
2018-03-27,0.00615992,0.14447573,-0.10816805
2018-03-28,0.08789573,0.23237146,-0.02027232
2018-04-02,0.00664066,0.23901211,-0.01363167
2018-04-03,-0.0040559,0.23495621,-0.01768756
2018-04-04,0.00919495,0.24415116,-0.00849261
2018-04-06,-0.00174549,0.24240567,-0.01023811
2018-04-09,-0.00076224,0.24164343,-0.01100035
2018-04-10,0.00028024,0.24192367,-0.01072011
2018-04-11,-0.00307916,0.23884452,-0.01379926
2018-04-12,-0.00055737,0.23828714,-0.01435664
2018-04-18,-0.00129442,0.23699272,-0.01565106
2018-04-19,-0.00201765,0.23497507,-0.01766871
2018-04-20,0.01143346,0.24640853,-0.00623525
2018-04-24,0.01470788,0.26111641,0.0
2018-04-25,0.0234249,0.28454131,0.0
2018-04-26,0.08540718,0.36994849,0.0
2018-04-27,0.00731348,0.37726197,0.0
2018-05-01,0.0002086,0.37747057,0.0
2018-05-02,0.00614206,0.38361263,0.0
2018-05-03,0.00063786,0.38425049,0.0
2018-05-04,-0.00026094,0.38398955,-0.00026094
2018-05-08,-0.00270454,0.38128501,-0.00296548
2018-05-09,0.03776434,0.41904935,0.0
2018-05-10,0.00459835,0.42364771,0.0
2018-05-11,-0.00556264,0.41808507,-0.00556264
2018-05-14,-0.00201708,0.41606799,-0.00757972
2018-05-15,-0.00160756,0.41446043,-0.00918728
