component_id,strategy_name,template,analysis_mode,decision,trade_count,net_return_sum,bias_warnings,weight,sleeve,source
9474fe601e0f2bd2,Factory Dollar-Bar Microstructure 180d 100bps,Dollar-Bar Microstructure,Investment,FACTORY_MATERIALIZED_DIAGNOSTIC_ONLY,1040,378.814167,DRAWNDOWN_TOO_SMOOTH_FOR_EVENT_BASKET;PROXY_DATA_SCOPE_NOT_PROMOTABLE;FACTORY_GENERATED_NOT_PREREGISTERED;FACTORY_SELECTED_AFTER_SEARCH_NOT_PROMOTABLE,0.0019802,tactical,
a42078cbf0a2ea94,Factory Mean Reversion 180d 100bps,Mean Reversion,Investment,FACTORY_MATERIALIZED_DIAGNOSTIC_ONLY,1120,488.065604,DRAWNDOWN_TOO_SMOOTH_FOR_EVENT_BASKET;PROXY_DATA_SCOPE_NOT_PROMOTABLE;FACTORY_GENERATED_NOT_PREREGISTERED;FACTORY_SELECTED_AFTER_SEARCH_NOT_PROMOTABLE,0.00645161,core,
28fb7b03aa56a91e,Factory Momentum 180d 100bps,Momentum,Investment,FACTORY_MATERIALIZED_DIAGNOSTIC_ONLY,1440,559.116288,DRAWNDOWN_TOO_SMOOTH_FOR_EVENT_BASKET;PROXY_DATA_SCOPE_NOT_PROMOTABLE;FACTORY_GENERATED_NOT_PREREGISTERED;FACTORY_SELECTED_AFTER_SEARCH_NOT_PROMOTABLE,0.0019802,tactical,
aeb3c97678fffc03,My falsifiable strategy,Catalyst,Trading,REJECTED_OUTLIER_DEPENDENCY,275,2.552208,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.00192308,convex,
bcfc1ff3b7cf8a4a,My falsifiable strategy,Momentum,Trading,REJECTED_OUTLIER_DEPENDENCY,450,21.178782,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.0019802,tactical,
9c7fb1982851f609,My falsifiable strategy,Mean Reversion,Trading,REJECTED_OUTLIER_DEPENDENCY,350,10.534003,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.00645161,core,
f884aeb8a0a20815,My falsifiable strategy,Mean Reversion,Trading,REJECTED_OUTLIER_DEPENDENCY,700,-7.187305,,0.00645161,core,
a37a53c4e1fce137,My falsifiable strategy,Momentum,Trading,REJECTED_OUTLIER_DEPENDENCY,900,-28.395823,,0.0019802,tactical,
dcfbeec9cf4c5190,strategia folle,PDUFA Run-Up,Trading,RESEARCH_CANDIDATE_ONLY,120,29.116515,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.00192308,convex,
ef3f1ebb21d03d5c,My falsifiable strategy,9:30 AM ORB,Trading,REJECTED_OUTLIER_DEPENDENCY,275,2.552208,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.0019802,tactical,
292441755c5ffdcc,nuova versione,Custom Rule Builder,Trading,REJECTED_OUTLIER_DEPENDENCY,100,3.57132,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.0019802,tactical,
7d30471f7325a2a8,gg,PDUFA Run-Up,Investment,INVESTMENT_RESEARCH_CANDIDATE_ONLY,120,129.015692,SURVIVORSHIP_BIAS_SUSPECTED_HIGH;DRAWNDOWN_TOO_SMOOTH_FOR_EVENT_BASKET;PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.00192308,convex,
f173207ae9bd5ccd,Abed,Regime Filter,Trading,REJECTED_OUTLIER_DEPENDENCY,250,5.418033,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.00645161,core,
0dc08daefa67c12e,9:15,9:30 AM ORB,Trading,REJECTED_OUTLIER_DEPENDENCY,880,-7.026917,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.0019802,tactical,
ee5692c4832db94b,9:15,9:30 AM ORB,Trading,REJECTED_OUTLIER_DEPENDENCY,275,2.552208,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.0019802,tactical,
91510d8163e121fc,Nigga Strartegy,Dollar-Bar Microstructure,Investment,REJECTED_OUTLIER_DEPENDENCY,325,-0.317909,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.0019802,tactical,
2496e35863212c76,My falsifiable strategy,Catalyst,Investment,REJECTED_OUTLIER_DEPENDENCY,275,6.346256,SURVIVORSHIP_BIAS_SUSPECTED_HIGH;PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.00192308,convex,
208d36ae3c31f890,My falsifiable strategy,Custom Rule Builder,Trading,REJECTED_OUTLIER_DEPENDENCY,200,-11.654983,,0.0019802,tactical,
8bf949936eddd596,My falsifiable strategy,Custom Rule Builder,Trading,REJECTED_OUTLIER_DEPENDENCY,100,-0.676934,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.0019802,tactical,
e8cde4045a54b14a,My falsifiable strategy,Custom Rule Builder,Trading,REJECTED_OUTLIER_DEPENDENCY,100,-2.419615,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.0019802,tactical,
64880f270f8f6861,My falsifiable strategy,Custom Rule Builder,Trading,REJECTED_OUTLIER_DEPENDENCY,100,-3.919615,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.0019802,tactical,
913c67d63ee5a478,My falsifiable strategy,Momentum,Trading,REJECTED_OUTLIER_DEPENDENCY,900,-28.395823,,0.0019802,tactical,
28a0d94ccf2a6c08,My falsifiable strategy,Mean Reversion,Investment,REJECTED_OUTLIER_DEPENDENCY,700,12.052916,,0.00645161,core,
e0008aaebb2fda63,My falsifiable strategy,Mean Reversion,Trading,REJECTED_OUTLIER_DEPENDENCY,700,-7.187305,,0.00645161,core,
680166d42265ad55,My falsifiable strategy,13D Activist Follow-On,Trading,REJECTED_OUTLIER_DEPENDENCY,150,-1.147374,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.00192308,convex,
816022f1cffa8310,My falsifiable strategy,Custom Rule Builder,Trading,REJECTED_OUTLIER_DEPENDENCY,600,-1.362515,PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.0019802,tactical,
f8e4773a916f0f75,My falsifiable strategy,PDUFA Run-Up,Investment,INVESTMENT_RESEARCH_CANDIDATE_ONLY,120,129.015692,SURVIVORSHIP_BIAS_SUSPECTED_HIGH;DRAWNDOWN_TOO_SMOOTH_FOR_EVENT_BASKET;PROXY_DATA_SCOPE_NOT_PROMOTABLE,0.00192308,convex,
