period,drawdown
2018-01-04,0.0
2018-01-09,0.0
2018-01-11,0.0
2018-01-12,-0.00518288
2018-01-16,-0.00101967
2018-01-17,-0.01640047
2018-01-23,-0.00200456
2018-01-31,0.0
2018-02-01,-0.00913174
2018-02-02,-0.00462399
2018-02-05,0.0
2018-02-06,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-13,-0.00016768
2018-02-15,-0.00052426
2018-02-21,-0.00265697
2018-02-23,-0.0125053
2018-02-26,-0.01883846
2018-03-01,-0.02046269
2018-03-02,-0.02083986
2018-03-05,-0.02065719
2018-03-06,-0.02280428
2018-03-07,-0.02080517
2018-03-08,-0.0369598
2018-03-09,-0.0566042
2018-03-12,-0.06999342
2018-03-13,-0.07510172
2018-03-16,-0.08568782
2018-03-19,-0.1078059
2018-03-20,-0.12217419
2018-03-21,-0.12231881
2018-03-22,-0.12289763
2018-03-23,-0.10510281
2018-03-26,-0.11382186
2018-03-27,-0.10765812
2018-03-28,-0.02043389
2018-04-02,-0.01372497
2018-04-03,-0.01773725
2018-04-04,-0.00864118
2018-04-06,-0.01037069
2018-04-09,-0.01112474
2018-04-10,-0.01083641
2018-04-11,-0.0138546
2018-04-12,-0.01440093
2018-04-18,-0.01567987
2018-04-19,-0.01772898
2018-04-20,-0.00638039
2018-04-24,0.0
2018-04-25,0.0
2018-04-26,0.0
2018-04-27,0.0
2018-05-01,0.0
2018-05-02,0.0
2018-05-03,0.0
2018-05-04,-0.00025814
2018-05-08,-0.00293359
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,-0.0055973
2018-05-14,-0.0075982
2018-05-15,-0.00918452
2018-05-16,0.0
2018-05-17,0.0
2018-05-18,0.0
2018-05-21,0.0
2018-05-22,-0.00458459
2018-05-23,0.0
2018-05-24,0.0
2018-05-25,0.0
2018-05-29,0.0
2018-05-30,0.0
2018-05-31,-0.00273231
2018-06-01,0.0
2018-06-04,0.0
2018-06-05,0.0
2018-06-06,0.0
2018-06-11,-0.01245787
2018-06-12,-0.02537014
2018-06-13,-0.03431274
2018-06-14,-0.03120809
2018-06-15,-0.02651035
2018-06-18,-0.02131407
2018-06-19,-0.02128175
2018-06-20,-0.01640915
2018-06-22,-0.01582577
2018-06-25,-0.00720309
2018-06-26,-0.00726343
2018-06-27,-0.00754027
2018-06-29,-0.00760977
2018-07-02,-0.01221382
2018-07-03,-0.0192369
2018-07-05,-0.01910842
2018-07-06,-0.01929675
2018-07-13,-0.01950691
2018-07-17,-0.02094775
2018-07-18,-0.02099041
2018-07-19,-0.02076661
2018-07-20,-0.02058443
2018-07-23,-0.02187623
2018-07-24,-0.05336233
2018-07-25,-0.06895578
2018-07-26,-0.03591124
2018-07-27,-0.04506502
2018-08-01,-0.04031485
2018-08-02,-0.07196716
2018-08-03,-0.06664869
2018-08-06,-0.07748755
2018-08-07,-0.12411666
2018-08-08,-0.13495386
2018-08-09,-0.16135314
2018-08-10,-0.16452743
2018-08-13,-0.18099478
2018-08-14,-0.18467955
2018-08-15,-0.19271651
2018-08-17,-0.21190371
2018-08-22,-0.21840687
2018-08-23,-0.24723194
2018-08-24,-0.24783663
2018-08-27,-0.26218901
2018-08-28,-0.27853809
2018-08-29,-0.28584175
2018-08-30,-0.30357363
2018-08-31,-0.32900401
2018-09-04,-0.37249121
2018-09-05,-0.37759948
2018-09-06,-0.39881942
2018-09-07,-0.40484801
2018-09-10,-0.42072281
2018-09-11,-0.43890412
2018-09-12,-0.47454882
2018-09-13,-0.5005593
2018-09-14,-0.53687457
2018-09-17,-0.55744536
2018-09-18,-0.57112231
2018-09-19,-0.58311134
2018-09-20,-0.6054962
2018-09-21,-0.64820039
2018-09-24,-0.65498452
2018-09-25,-0.66388967
2018-09-26,-0.66251779
2018-09-27,-0.66760407
2018-09-28,-0.70353205
2018-10-01,-0.73413083
2018-10-02,-0.73093973
2018-10-03,-0.79789592
2018-10-04,-0.81102148
2018-10-05,-0.79144875
2018-10-08,-0.7729797
2018-10-09,-0.77363155
2018-10-10,-0.817447
2018-10-11,-0.86417881
2018-10-12,-0.87882589
2018-10-15,-0.88029579
2018-10-16,-0.89847561
2018-10-17,-0.89994492
2018-10-18,-0.91193295
2018-10-19,-0.92000807
2018-10-22,-0.9089516
2018-10-23,-0.91381279
2018-10-24,-0.97555158
2018-10-25,-0.99226439
2018-10-26,-0.96327758
2018-10-29,-0.91145228
2018-10-30,-0.93719097
2018-10-31,-0.93981108
2018-11-01,-0.93346306
2018-11-02,-0.97268264
2018-11-05,-0.99939708
2018-11-06,-0.99634194
2018-11-07,-1.00622692
2018-11-08,-1.00861897
2018-11-09,-1.00837751
2018-11-12,-1.03243071
2018-11-13,-1.04837657
2018-11-14,-1.04870615
2018-11-16,-1.06830822
2018-11-19,-1.04967534
2018-11-20,-1.04459871
2018-11-21,-1.0504488
2018-11-23,-1.06188571
2018-11-26,-1.06392409
2018-11-27,-1.06620193
2018-11-28,-1.0791212
2018-11-29,-1.07987766
2018-11-30,-1.07809643
2018-12-03,-1.09691408
2018-12-04,-1.10002629
2018-12-06,-1.10668896
2018-12-07,-1.08518084
2018-12-10,-1.08538105
2018-12-11,-1.08772559
2018-12-12,-1.08781791
2018-12-13,-1.09135247
2018-12-14,-1.09544089
2018-12-17,-1.0805727
2018-12-18,-1.08133716
2018-12-19,-1.06458689
2018-12-20,-0.97855945
2018-12-21,-0.79793958
2018-12-24,-0.65444914
2018-12-26,-0.53744055
2018-12-27,-0.53914006
2018-12-31,-0.54056426
2019-01-02,-0.5459974
2019-01-03,-0.49005934
2019-01-04,-0.43555392
2019-01-07,-0.43856831
2019-01-08,-0.44512162
2019-01-09,-0.44742987
2019-01-10,-0.45276952
2019-01-11,-0.45211731
2019-01-14,-0.45628058
