period,portfolio_return,cumulative_net_return,drawdown
2018-01-04,0.00026072,0.00026072,0.0
2018-01-09,0.0025047,0.00276542,0.0
2018-01-11,0.00528935,0.00805477,0.0
2018-01-12,-0.00518288,0.00287189,-0.00518288
2018-01-16,0.00416321,0.0070351,-0.00101967
2018-01-17,-0.0153808,-0.0083457,-0.01640047
2018-01-23,0.01439592,0.00605022,-0.00200456
2018-01-31,0.0054358,0.01148602,0.0
2018-02-01,-0.00913174,0.00235428,-0.00913174
2018-02-02,0.00450775,0.00686203,-0.00462399
2018-02-05,0.07793868,0.08480071,0.0
2018-02-06,0.02331756,0.10811828,0.0
2018-02-08,0.09664377,0.20476205,0.0
2018-02-09,0.04663919,0.25140124,0.0
2018-02-13,-0.00016768,0.25123356,-0.00016768
2018-02-15,-0.00035658,0.25087698,-0.00052426
2018-02-21,-0.00213271,0.24874427,-0.00265697
2018-02-23,-0.00984833,0.23889594,-0.0125053
2018-02-26,-0.00633317,0.23256278,-0.01883846
2018-03-01,-0.00162423,0.23093854,-0.02046269
2018-03-02,-0.00037716,0.23056138,-0.02083986
2018-03-05,0.00018266,0.23074405,-0.02065719
2018-03-06,-0.00214708,0.22859696,-0.02280428
2018-03-07,0.0019991,0.23059607,-0.02080517
2018-03-08,-0.01615462,0.21444144,-0.0369598
2018-03-09,-0.0196444,0.19479704,-0.0566042
2018-03-12,-0.01338922,0.18140782,-0.06999342
2018-03-13,-0.00510831,0.17629951,-0.07510172
2018-03-16,-0.01058609,0.16571342,-0.08568782
2018-03-19,-0.02211808,0.14359534,-0.1078059
2018-03-20,-0.01436829,0.12922705,-0.12217419
2018-03-21,-0.00014462,0.12908243,-0.12231881
2018-03-22,-0.00057882,0.12850361,-0.12289763
2018-03-23,0.01779481,0.14629843,-0.10510281
2018-03-26,-0.00871904,0.13757938,-0.11382186
2018-03-27,0.00616374,0.14374312,-0.10765812
2018-03-28,0.08722423,0.23096735,-0.02043389
2018-04-02,0.00670891,0.23767627,-0.01372497
2018-04-03,-0.00401228,0.23366399,-0.01773725
2018-04-04,0.00909607,0.24276006,-0.00864118
2018-04-06,-0.00172951,0.24103055,-0.01037069
2018-04-09,-0.00075404,0.2402765,-0.01112474
2018-04-10,0.00028833,0.24056483,-0.01083641
2018-04-11,-0.00301819,0.23754664,-0.0138546
2018-04-12,-0.00054634,0.23700031,-0.01440093
2018-04-18,-0.00127893,0.23572137,-0.01567987
2018-04-19,-0.00204911,0.23367226,-0.01772898
2018-04-20,0.01134859,0.24502085,-0.00638039
2018-04-24,0.01453095,0.2595518,0.0
2018-04-25,0.02296109,0.28251289,0.0
2018-04-26,0.08495448,0.36746737,0.0
2018-04-27,0.0072373,0.37470467,0.0
2018-05-01,0.00020447,0.37490915,0.0
2018-05-02,0.00611068,0.38101982,0.0
2018-05-03,0.00062523,0.38164506,0.0
2018-05-04,-0.00025814,0.38138692,-0.00025814
2018-05-08,-0.00267546,0.37871146,-0.00293359
2018-05-09,0.03721103,0.4159225,0.0
2018-05-10,0.00493359,0.42085608,0.0
2018-05-11,-0.0055973,0.41525878,-0.0055973
2018-05-14,-0.00200089,0.41325789,-0.0075982
2018-05-15,-0.00158633,0.41167156,-0.00918452
2018-05-16,0.05831676,0.46998832,0.0
2018-05-17,0.05770532,0.52769365,0.0
2018-05-18,0.02234984,0.55004349,0.0
2018-05-21,0.00041087,0.55045436,0.0
2018-05-22,-0.00458459,0.54586977,-0.00458459
2018-05-23,0.05519692,0.60106669,0.0
2018-05-24,0.02834193,0.62940862,0.0
2018-05-25,0.01129254,0.64070116,0.0
2018-05-29,7.691e-05,0.64077807,0.0
2018-05-30,0.00453151,0.64530957,0.0
2018-05-31,-0.00273231,0.64257726,-0.00273231
