period,drawdown
2022-02-04,0.0
2022-02-07,-0.006137
2022-02-08,-0.0499832
2022-02-09,-0.036441
2022-02-10,-0.0147686
2022-02-14,-0.0307936
2022-02-16,-0.0779174
2022-02-17,-0.0603944
2022-02-22,-0.1103198
2022-02-25,-0.1148926
2022-02-28,-0.0720624
2022-03-15,-0.1152538
2022-03-22,-0.1516448
2022-03-23,-0.1827762
2022-03-24,-0.145767
2022-03-31,-0.1132138
2022-04-01,-0.0561106
2022-04-04,-0.0303824
2022-04-05,-0.0077702
2022-04-06,0.0
2022-04-12,0.0
2022-04-13,-0.008501
2022-04-14,-0.0719564
2022-04-19,-0.143448
2022-04-20,-0.2255308
2022-04-21,-0.3287486
2022-04-22,-0.5017458
2022-04-25,-0.7670206
2022-04-26,-0.8498682
2022-04-27,-0.9346086
2022-05-09,-1.0033418
2022-05-10,-1.0741928
2022-05-12,-1.1403854
2022-05-17,-1.1673596
2022-05-18,-1.1683852
2022-05-19,-1.157977
2022-05-20,-1.1758324
2022-05-23,-1.1795474
2022-05-26,-1.3211972
2022-05-27,-1.3555598
2022-06-06,-1.401671
2022-06-07,-1.456474
2022-06-08,-1.3149694
2022-06-09,-1.1105964
2022-06-10,-0.910872
2022-06-13,-0.9269122
2022-06-21,-1.0434666
2022-06-22,-1.098537
2022-06-23,-1.1476348
2022-06-27,-1.0991892
2022-06-28,-1.0092816
2022-06-29,-0.9293868
2022-06-30,-0.820137
2022-07-01,-0.6873438
2022-07-05,-0.6299524
2022-07-07,-0.6637654
2022-07-08,-0.6944106
2022-07-11,-0.7367572
2022-07-12,-0.7814436
2022-07-13,-0.6423498
2022-07-14,-0.4906882
2022-07-15,-0.4052082
2022-07-18,-0.3545002
2022-07-19,-0.3554504
2022-07-20,-0.3752712
2022-07-21,-0.3947874
2022-07-22,-0.4192188
2022-07-25,-0.450663
2022-07-28,-0.4505638
2022-07-29,-0.3500144
2022-08-01,-0.3656628
2022-08-02,-0.3827852
2022-08-03,-0.2934334
2022-08-04,-0.302586
2022-08-05,-0.3245276
2022-08-08,-0.3369354
2022-08-10,-0.160714
2022-08-11,-0.2227852
2022-08-12,-0.2453396
2022-08-15,-0.3350064
2022-08-16,-0.3427702
2022-08-17,-0.4623186
2022-08-18,-0.5230234
2022-08-19,-0.5962862
2022-08-22,-0.6559144
2022-08-23,-0.4863716
2022-08-24,-0.4991934
2022-08-25,-0.638311
2022-08-26,-0.6199146
2022-08-29,-0.5862038
2022-08-30,-0.5008462
2022-08-31,-0.6456216
2022-09-01,-0.7072144
2022-09-02,-0.9203142
2022-09-06,-1.1646702
2022-09-07,-1.1474818
2022-09-08,-1.1997648
2022-09-09,-1.274341
2022-09-12,-1.3297594
2022-09-13,-1.4010088
2022-09-14,-1.464353
2022-09-15,-1.5263142
2022-09-16,-1.596989
2022-09-19,-1.6781712
2022-09-20,-1.7156448
2022-09-21,-1.7904628
2022-09-22,-2.02464
2022-09-23,-2.1209342
2022-09-26,-2.252634
2022-09-27,-2.446336
2022-09-28,-2.5838488
2022-09-29,-2.6878928
2022-09-30,-2.77017
2022-10-18,-2.7592796
2022-10-19,-2.6115332
2022-10-20,-2.2518362
2022-10-25,-2.1433008
2022-11-08,-2.161412
2022-11-09,-2.1911822
2022-11-10,-2.0853928
2022-11-15,-2.0042772
2022-11-17,-1.6378992
2022-11-18,-1.2344948
2022-11-21,-0.8966
2022-11-22,-0.4617912
2022-11-23,-0.0362616
2022-11-25,0.0
2022-11-28,0.0
2022-11-29,0.0
2022-11-30,0.0
2022-12-01,0.0
2022-12-02,0.0
2022-12-05,0.0
2022-12-06,0.0
2022-12-07,0.0
2022-12-08,0.0
2022-12-09,0.0
2022-12-12,0.0
2022-12-13,0.0
2022-12-14,0.0
2022-12-15,0.0
2022-12-16,0.0
2022-12-19,0.0
2022-12-20,0.0
2022-12-21,0.0
2022-12-22,0.0
2022-12-23,0.0
2022-12-27,0.0
2022-12-28,0.0
2022-12-29,0.0
2022-12-30,0.0
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-17,0.0
2023-01-18,0.0
2023-01-19,0.0
2023-01-20,0.0
2023-01-23,0.0
2023-01-24,0.0
2023-01-25,0.0
2023-01-26,0.0
2023-01-27,0.0
2023-01-30,0.0
2023-01-31,0.0
2023-02-01,0.0
2023-02-02,0.0
2023-02-03,0.0
2023-02-06,0.0
2023-02-07,0.0
2023-02-08,0.0
2023-02-09,0.0
2023-02-10,0.0
2023-02-13,-0.0044086
2023-02-14,-0.02944
2023-02-16,-0.0987728
2023-02-17,-0.161238
2023-02-21,-0.2196282
2023-02-22,-0.2413554
2023-02-23,-0.2622538
2023-02-24,-0.3156028
2023-02-27,-0.384778
2023-02-28,-0.4434266
2023-03-01,-0.4732378
2023-03-02,-0.5078444
2023-03-03,-0.5316496
2023-03-06,-0.5672052
2023-03-07,-0.5912554
2023-03-08,-0.611658
2023-03-09,-0.6472694
2023-03-14,-0.7195328
2023-03-15,-0.77765
2023-03-16,-0.8163182
2023-03-17,-0.824071
2023-03-23,-0.865353
2023-04-04,-0.8546276
2023-04-05,-0.8472592
2023-04-10,-0.8862268
2023-04-11,-0.8798044
2023-04-12,-0.8702392
2023-04-17,-0.837559
2023-05-02,-0.8963928
2023-05-05,-0.9095088
2023-05-11,-0.9179908
2023-05-15,-0.934063
2023-05-16,-0.9708592
2023-05-17,-0.9966486
2023-05-18,-1.0226072
2023-05-19,-1.0165056
2023-05-22,-1.0244576
2023-05-23,-1.0328148
2023-05-25,-1.0188712
2023-05-31,-1.0501954
2023-06-01,-1.0050722
2023-06-06,-1.0246112
2023-06-12,-1.0528204
2023-06-14,-1.0276634
2023-06-15,-1.0058248
2023-06-16,-0.9817676
2023-06-22,-0.9897776
2023-06-23,-1.0608048
2023-06-26,-1.0193258
2023-06-27,-1.0022736
2023-06-28,-1.0909604
2023-06-29,-1.1412318
2023-07-03,-1.1683306
2023-07-05,-1.1862586
2023-07-06,-1.2090036
2023-07-07,-1.2350768
2023-07-10,-1.2536428
2023-07-11,-1.2756128
2023-07-12,-1.2976588
2023-07-13,-1.3071948
2023-07-14,-1.2895716
2023-07-17,-1.2569778
2023-07-18,-1.3188154
2023-07-20,-1.2772672
2023-07-26,-1.329816
2023-07-27,-1.3780454
2023-07-28,-1.3710138
2023-07-31,-1.3555036
2023-08-04,-1.3315158
2023-09-14,-1.2942858
2023-09-15,-1.24096
2023-09-18,-1.2598914
2023-09-19,-1.2879242
2023-10-02,-1.3267132
2023-10-03,-1.3796048
2023-10-04,-1.4290962
2023-10-05,-1.4848686
2023-10-13,-1.5567554
2023-10-17,-1.5875554
2023-10-19,-1.7169224
2023-10-20,-1.7773986
2023-11-01,-1.8156194
2023-11-06,-1.9064026
2023-11-16,-1.9641368
2023-11-17,-2.0452204
2023-11-29,-2.06445
2023-11-30,-2.0774414
2023-12-07,-2.0843724
2023-12-08,-2.082584
2023-12-11,-2.0439108
2023-12-19,-1.9464304
2023-12-20,-1.8482324
2023-12-21,-1.759623
2023-12-26,-1.6582436
2023-12-27,-1.604315
2023-12-28,-1.3406982
2023-12-29,-1.115222
2024-01-02,-1.0606216
2024-01-03,-0.9739124
2024-01-04,-0.9017436
2024-01-05,-0.8412492
2024-01-08,-0.754546
2024-01-09,-0.5834744
2024-01-10,-0.499412
2024-01-11,-0.4175898
2024-01-12,-0.2734714
2024-01-16,-0.2234714
2024-01-17,-0.225809
2024-01-18,-0.238107
2024-01-19,-0.2616738
2024-01-22,-0.265784
2024-01-23,-0.3152814
2024-01-24,-0.333352
2024-01-25,-0.3624108
2024-01-26,-0.4029756
2024-01-29,-0.3872652
2024-01-30,-0.4458242
2024-01-31,-0.4961506
